,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Hold,721.68,0,0,0,10000,0.0,10000.0
20160112,Hold,730.85,0,0,0,10000,0.0,10000.0
20160113,Hold,705.38,0,0,0,10000,0.0,10000.0
20160114,Hold,692.29,0,0,0,10000,0.0,10000.0
20160115,Hold,703.3,0,0,0,10000,0.0,10000.0
20160119,Hold,688.61,0,0,0,10000,0.0,10000.0
20160120,Buy,702.18,14,-9835.435259999998,14,164.565,-4.915,9995.085
20160121,Hold,723.6,0,0,14,164.565,294.965,10294.965
20160122,Hold,723.58,0,0,14,164.565,294.685,10294.685
20160125,Sell,713.85,-14,9988.90305,0,10153.468,153.468,10153.468
20160126,Buy,713.67,14,-9996.375689999999,14,157.092,148.472,10148.472
20160127,Sell,722.22,-14,10106.02446,0,10263.117,263.117,10263.117
20160128,Buy,731.53,14,-10246.54071,14,16.576,257.996,10257.996
20160129,Hold,750.46,0,0,14,16.576,523.016,10523.016
20160201,Hold,784.5,0,0,14,16.576,999.576,10999.576
20160202,Hold,770.22,0,0,14,16.576,799.656,10799.656
20160203,Sell,722.81,-14,10114.280330000001,0,10130.856,130.856,10130.856
20160204,Hold,703.87,0,0,0,10130.856,130.856,10130.856
20160205,Hold,667.85,0,0,0,10130.856,130.856,10130.856
20160208,Hold,672.32,0,0,0,10130.856,130.856,10130.856
20160209,Hold,686.86,0,0,0,10130.856,130.856,10130.856
20160210,Hold,675.0,0,0,0,10130.856,130.856,10130.856
20160211,Buy,690.26,14,-9668.471819999999,14,462.384,126.024,10126.024
20160212,Hold,692.98,0,0,14,462.384,164.104,10164.104
20160216,Hold,699.0,0,0,14,462.384,248.384,10248.384
20160217,Hold,710.0,0,0,14,462.384,402.384,10402.384
20160218,Hold,695.03,0,0,14,462.384,192.804,10192.804
20160219,Hold,707.45,0,0,14,462.384,366.684,10366.684
20160222,Hold,701.45,0,0,14,462.384,282.684,10282.684
20160223,Sell,688.92,-14,9640.05756,0,10102.442,102.442,10102.442
20160224,Buy,700.01,14,-9805.04007,14,297.402,97.542,10097.542
20160225,Hold,708.58,0,0,14,297.402,217.522,10217.522
20160226,Hold,700.32,0,0,14,297.402,101.882,10101.882
20160229,Hold,703.62,0,0,14,297.402,148.082,10148.082
20160301,Hold,719.0,0,0,14,297.402,363.402,10363.402
20160302,Hold,718.68,0,0,14,297.402,358.922,10358.922
20160303,Sell,714.99,-14,10004.855070000001,0,10302.257,302.257,10302.257
