,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Hold,130.46,0,0,0,10000,0.0,10000.0
20170111,Buy,131.8,75,-9889.9425,75,110.058,-4.942,9995.058
20170112,Hold,131.95,0,0,75,110.058,6.308,10006.308
20170113,Hold,130.94,0,0,75,110.058,-69.442,9930.558
20170117,Hold,131.56,0,0,75,110.058,-22.942,9977.058
20170118,Hold,131.16,0,0,75,110.058,-52.942,9947.058
20170119,Hold,131.83,0,0,75,110.058,-2.692,9997.308
20170120,Hold,133.61,0,0,75,110.058,130.808,10130.808
20170123,Hold,134.62,0,0,75,110.058,206.558,10206.558
20170124,Hold,138.48,0,0,75,110.058,496.058,10496.058
20170125,Hold,139.88,0,0,75,110.058,601.058,10601.058
20170126,Hold,140.2,0,0,75,110.058,625.058,10625.058
20170127,Hold,139.04,0,0,75,110.058,538.058,10538.058
20170130,Sell,137.53,-75,10309.592625000001,0,10419.65,419.65,10419.65
20170131,Hold,137.49,0,0,0,10419.65,419.65,10419.65
20170201,Hold,136.85,0,0,0,10419.65,419.65,10419.65
20170202,Buy,137.49,75,-10316.905874999999,75,102.744,414.494,10414.494
20170203,Hold,137.71,0,0,75,102.744,430.994,10430.994
20170206,Hold,138.27,0,0,75,102.744,472.994,10472.994
20170207,Hold,140.55,0,0,75,102.744,643.994,10643.994
20170208,Hold,139.5,0,0,75,102.744,565.244,10565.244
20170209,Hold,140.43,0,0,75,102.744,634.994,10634.994
20170210,Hold,141.91,0,0,75,102.744,745.994,10745.994
20170213,Hold,141.4,0,0,75,102.744,707.744,10707.744
20170214,Hold,142.69,0,0,75,102.744,804.494,10804.494
20170215,Hold,143.67,0,0,75,102.744,877.994,10877.994
20170216,Hold,143.53,0,0,75,102.744,867.494,10867.494
20170217,Hold,142.99,0,0,75,102.744,826.994,10826.994
20170221,Hold,142.6,0,0,75,102.744,797.744,10797.744
20170222,Hold,144.11,0,0,75,102.744,910.994,10910.994
20170223,Hold,142.7,0,0,75,102.744,805.244,10805.244
20170224,Hold,143.47,0,0,75,102.744,862.994,10862.994
20170227,Sell,142.02,-75,10646.17425,0,10748.919,748.919,10748.919
20170228,Hold,142.91,0,0,0,10748.919,748.919,10748.919
20170301,Buy,144.03,74,-10663.549109999998,74,85.369,743.589,10743.589
20170302,Hold,142.56,0,0,74,85.369,634.809,10634.809
20170303,Sell,142.31,-74,10525.67453,0,10611.044,611.044,10611.044
20170306,Hold,143.07,0,0,0,10611.044,611.044,10611.044
20170307,Hold,143.11,0,0,0,10611.044,611.044,10611.044
20170308,Hold,141.86,0,0,0,10611.044,611.044,10611.044
20170309,Hold,141.09,0,0,0,10611.044,611.044,10611.044
20170310,Hold,140.83,0,0,0,10611.044,611.044,10611.044
20170313,Hold,139.51,0,0,0,10611.044,611.044,10611.044
20170314,Hold,139.14,0,0,0,10611.044,611.044,10611.044
20170315,Hold,141.3,0,0,0,10611.044,611.044,10611.044
20170316,Buy,139.58,75,-10473.734250000001,75,137.31,605.81,10605.81
20170317,Sell,139.08,-75,10425.784500000002,0,10563.094,563.094,10563.094
20170320,Hold,139.35,0,0,0,10563.094,563.094,10563.094
20170321,Hold,137.8,0,0,0,10563.094,563.094,10563.094
20170322,Hold,138.12,0,0,0,10563.094,563.094,10563.094
20170323,Hold,138.66,0,0,0,10563.094,563.094,10563.094
