,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140109,Hold,48.876,0,0,0,10000,0.0,10000.0
20140110,Hold,48.822,0,0,0,10000,0.0,10000.0
20140113,Hold,48.289,0,0,0,10000,0.0,10000.0
20140114,Buy,49.052,203,-9962.534778,203,37.465,-4.979,9995.021
20140115,Hold,49.29,0,0,203,37.465,43.335,10043.335
20140116,Hold,49.457,0,0,203,37.465,77.236,10077.236
20140117,Hold,52.713,0,0,203,37.465,738.204,10738.204
20140121,Hold,53.061,0,0,203,37.465,808.848,10808.848
20140122,Hold,51.935,0,0,203,37.465,580.27,10580.27
20140123,Sell,50.727,-203,10292.4322095,0,10329.897,329.897,10329.897
20140124,Hold,50.016,0,0,0,10329.897,329.897,10329.897
20140127,Hold,49.657,0,0,0,10329.897,329.897,10329.897
20140128,Hold,52.094,0,0,0,10329.897,329.897,10329.897
20140129,Buy,52.006,198,-10302.336594,198,27.561,324.749,10324.749
20140130,Hold,50.966,0,0,198,27.561,118.829,10118.829
20140131,Hold,52.21,0,0,198,27.561,365.141,10365.141
20140203,Sell,51.947,-198,10280.363247000001,0,10307.924,307.924,10307.924
20140204,Buy,51.291,200,-10263.329099999999,200,44.595,302.795,10302.795
20140205,Hold,51.67,0,0,200,44.595,378.595,10378.595
20140206,Hold,52.808,0,0,200,44.595,606.195,10606.195
20140207,Hold,52.069,0,0,200,44.595,458.395,10458.395
20140210,Hold,52.613,0,0,200,44.595,567.195,10567.195
20140211,Hold,53.15,0,0,200,44.595,674.595,10674.595
20140212,Hold,52.682,0,0,200,44.595,580.995,10580.995
20140213,Hold,53.061,0,0,200,44.595,656.795,10656.795
20140214,Hold,53.439,0,0,200,44.595,732.395,10732.395
20140218,Hold,53.692,0,0,200,44.595,782.995,10782.995
20140219,Hold,53.477,0,0,200,44.595,739.995,10739.995
20140220,Hold,54.381,0,0,200,44.595,920.795,10920.795
20140221,Hold,53.91,0,0,200,44.595,826.595,10826.595
20140224,Hold,54.076,0,0,200,44.595,859.795,10859.795
20140225,Hold,54.292,0,0,200,44.595,902.995,10902.995
20140226,Hold,54.922,0,0,200,44.595,1028.995,11028.995
20140227,Hold,55.731,0,0,200,44.595,1190.795,11190.795
20140228,Hold,55.224,0,0,200,44.595,1089.395,11089.395
20140303,Hold,56.189,0,0,200,44.595,1282.395,11282.395
20140304,Hold,56.787,0,0,200,44.595,1401.995,11401.995
20140305,Hold,57.44,0,0,200,44.595,1532.595,11532.595
20140306,Hold,57.37,0,0,200,44.595,1518.595,11518.595
20140307,Sell,56.731,-200,11340.5269,0,11385.122,1385.122,11385.122
20140310,Hold,57.097,0,0,0,11385.122,1385.122,11385.122
20140311,Hold,56.329,0,0,0,11385.122,1385.122,11385.122
20140312,Hold,56.614,0,0,0,11385.122,1385.122,11385.122
20140313,Hold,55.842,0,0,0,11385.122,1385.122,11385.122
20140314,Hold,56.269,0,0,0,11385.122,1385.122,11385.122
20140317,Buy,56.488,201,-11359.765044,201,25.357,1379.445,11379.445
20140318,Hold,57.295,0,0,201,25.357,1541.652,11541.652
20140319,Hold,56.898,0,0,201,25.357,1461.855,11461.855
20140320,Hold,58.215,0,0,201,25.357,1726.572,11726.572
20140321,Hold,57.776,0,0,201,25.357,1638.333,11638.333
20140324,Sell,57.947,-201,11641.5233265,0,11666.88,1666.88,11666.88
20140325,Hold,57.947,0,0,0,11666.88,1666.88,11666.88
20140326,Hold,56.752,0,0,0,11666.88,1666.88,11666.88
20140327,Hold,55.823,0,0,0,11666.88,1666.88,11666.88
20140328,Hold,56.278,0,0,0,11666.88,1666.88,11666.88
20140331,Hold,56.59,0,0,0,11666.88,1666.88,11666.88
20140401,Buy,57.621,202,-11645.261721,202,21.618,1661.06,11661.06
20140402,Hold,57.907,0,0,202,21.618,1718.832,11718.832
20140403,Sell,58.167,-202,11743.859133000002,0,11765.478,1765.478,11765.478
20140404,Hold,56.365,0,0,0,11765.478,1765.478,11765.478
20140407,Hold,55.689,0,0,0,11765.478,1765.478,11765.478
20140408,Hold,55.963,0,0,0,11765.478,1765.478,11765.478
20140409,Buy,56.637,207,-11729.7209295,207,35.757,1759.616,11759.616
20140410,Sell,54.898,-207,11358.204057,0,11393.961,1393.961,11393.961
20140411,Hold,54.854,0,0,0,11393.961,1393.961,11393.961
20140414,Hold,55.129,0,0,0,11393.961,1393.961,11393.961
20140415,Buy,55.626,204,-11353.377852,204,40.583,1388.287,11388.287
20140416,Hold,56.069,0,0,204,40.583,1478.659,11478.659
20140417,Hold,56.637,0,0,204,40.583,1594.531,11594.531
20140421,Hold,56.637,0,0,204,40.583,1594.531,11594.531
20140422,Hold,58.152,0,0,204,40.583,1903.591,11903.591
20140423,Hold,57.513,0,0,204,40.583,1773.235,11773.235
20140424,Sell,56.729,-204,11566.929642000001,0,11607.512,1607.512,11607.512
20140425,Hold,56.335,0,0,0,11607.512,1607.512,11607.512
20140428,Hold,55.466,0,0,0,11607.512,1607.512,11607.512
20140429,Buy,56.413,205,-11570.447332499998,205,37.065,1601.73,11601.73
20140430,Hold,57.746,0,0,205,37.065,1874.995,11874.995
20140501,Sell,56.693,-205,11616.253967499999,0,11653.319,1653.319,11653.319
20140502,Hold,56.206,0,0,0,11653.319,1653.319,11653.319
20140505,Buy,57.006,204,-11635.038612,204,18.281,1647.505,11647.505
20140506,Hold,56.974,0,0,204,18.281,1640.977,11640.977
20140507,Hold,57.276,0,0,204,18.281,1702.585,11702.585
20140508,Hold,57.04,0,0,204,18.281,1654.441,11654.441
20140509,Hold,57.538,0,0,204,18.281,1756.033,11756.033
20140512,Hold,58.045,0,0,204,18.281,1859.461,11859.461
