,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Buy,103.94,96,-9983.22912,96,16.771,-4.989,9995.011
20170111,Hold,103.53,0,0.0,96,16.771,-44.349,9955.651
20170112,Sell,102.62,-96,9846.59424,0,9863.365,-136.635,9863.365
20170113,Hold,103.34,0,0.0,0,9863.365,-136.635,9863.365
20170117,Hold,102.4,0,0.0,0,9863.365,-136.635,9863.365
20170118,Buy,103.35,95,-9823.159125,95,40.206,-141.544,9858.456
20170119,Sell,102.8,-95,9761.117,0,9801.323,-198.677,9801.323
20170120,Buy,102.79,95,-9769.932525,95,31.39,-203.56,9796.44
20170123,Sell,102.65,-95,9746.874125,0,9778.265,-221.735,9778.265
20170124,Buy,103.64,94,-9747.031079999999,94,31.234,-226.606,9773.394
20170125,Hold,103.62,0,0.0,94,31.234,-228.486,9771.514
20170126,Hold,103.89,0,0.0,94,31.234,-203.106,9796.894
20170127,Hold,105.2,0,0.0,94,31.234,-79.966,9920.034
20170130,Hold,105.9,0,0.0,94,31.234,-14.166,9985.834
20170131,Hold,106.01,0,0.0,94,31.234,-3.826,9996.174
20170201,Hold,106.5,0,0.0,94,31.234,42.234,10042.234
20170202,Sell,106.2,-94,9977.808600000002,0,10009.042,9.042,10009.042
20170203,Hold,105.26,0,0.0,0,10009.042,9.042,10009.042
20170206,Hold,105.01,0,0.0,0,10009.042,9.042,10009.042
20170207,Hold,104.92,0,0.0,0,10009.042,9.042,10009.042
20170208,Hold,104.44,0,0.0,0,10009.042,9.042,10009.042
20170209,Buy,104.71,95,-9952.423724999999,95,56.618,4.068,10004.068
20170210,Hold,104.33,0,0.0,95,56.618,-32.032,9967.968
20170213,Hold,105.14,0,0.0,95,56.618,44.918,10044.918
20170214,Hold,105.25,0,0.0,95,56.618,55.368,10055.368
20170215,Hold,105.67,0,0.0,95,56.618,95.268,10095.268
20170216,Hold,105.57,0,0.0,95,56.618,85.768,10085.768
20170217,Sell,105.28,-95,9996.5992,0,10053.218,53.218,10053.218
20170221,Hold,105.05,0,0.0,0,10053.218,53.218,10053.218
20170222,Buy,105.63,95,-10039.867425,95,13.35,48.2,10048.2
20170223,Sell,104.98,-95,9968.11345,0,9981.464,-18.536,9981.464
20170224,Buy,105.27,94,-9900.327689999998,94,81.136,-23.484,9976.516
20170227,Hold,105.34,0,0.0,94,81.136,-16.904,9983.096
20170228,Hold,105.97,0,0.0,94,81.136,42.316,10042.316
20170301,Hold,106.3,0,0.0,94,81.136,73.336,10073.336
20170302,Hold,105.67,0,0.0,94,81.136,14.116,10014.116
20170303,Hold,106.07,0,0.0,94,81.136,51.716,10051.716
20170306,Hold,106.0,0,0.0,94,81.136,45.136,10045.136
