,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120525,Hold,31.48,0,0,0,10000,0.0,10000.0
20120529,Hold,28.69,0,0,0,10000,0.0,10000.0
20120530,Hold,28.55,0,0,0,10000,0.0,10000.0
20120531,Hold,28.89,0,0,0,10000,0.0,10000.0
20120601,Hold,27.2,0,0,0,10000,0.0,10000.0
20120604,Hold,26.7,0,0,0,10000,0.0,10000.0
20120605,Hold,26.07,0,0,0,10000,0.0,10000.0
20120606,Buy,27.0,370,-9994.994999999999,370,5.005,-4.995,9995.005
20120607,Hold,26.55,0,0,370,5.005,-171.495,9828.505
20120608,Hold,27.18,0,0,370,5.005,61.605,10061.605
20120611,Hold,27.48,0,0,370,5.005,172.605,10172.605
20120612,Hold,27.66,0,0,370,5.005,239.205,10239.205
20120613,Hold,27.65,0,0,370,5.005,235.505,10235.505
20120614,Hold,28.5,0,0,370,5.005,550.005,10550.005
20120615,Hold,29.95,0,0,370,5.005,1086.505,11086.505
20120618,Hold,31.53,0,0,370,5.005,1671.105,11671.105
20120619,Hold,31.92,0,0,370,5.005,1815.405,11815.405
20120620,Hold,31.67,0,0,370,5.005,1722.905,11722.905
20120621,Hold,32.41,0,0,370,5.005,1996.705,11996.705
20120622,Hold,32.86,0,0,370,5.005,2163.205,12163.205
20120625,Hold,32.69,0,0,370,5.005,2100.305,12100.305
20120626,Hold,32.46,0,0,370,5.005,2015.205,12015.205
20120627,Sell,31.96,-370,11819.287400000001,0,11824.292,1824.292,11824.292
20120628,Hold,31.92,0,0,0,11824.292,1824.292,11824.292
20120629,Hold,31.25,0,0,0,11824.292,1824.292,11824.292
20120702,Hold,30.91,0,0,0,11824.292,1824.292,11824.292
20120703,Hold,31.28,0,0,0,11824.292,1824.292,11824.292
20120705,Buy,31.44,375,-11795.894999999999,375,28.397,1818.397,11818.397
20120706,Sell,32.1,-375,12031.48125,0,12059.879,2059.879,12059.879
20120709,Hold,32.43,0,0,0,12059.879,2059.879,12059.879
20120710,Hold,31.48,0,0,0,12059.879,2059.879,12059.879
20120711,Hold,30.7,0,0,0,12059.879,2059.879,12059.879
20120712,Hold,31.04,0,0,0,12059.879,2059.879,12059.879
20120713,Hold,30.5,0,0,0,12059.879,2059.879,12059.879
20120716,Hold,28.48,0,0,0,12059.879,2059.879,12059.879
20120717,Hold,28.31,0,0,0,12059.879,2059.879,12059.879
20120718,Hold,29.41,0,0,0,12059.879,2059.879,12059.879
20120719,Hold,29.0,0,0,0,12059.879,2059.879,12059.879
20120720,Hold,28.12,0,0,0,12059.879,2059.879,12059.879
20120723,Hold,28.82,0,0,0,12059.879,2059.879,12059.879
20120724,Hold,28.39,0,0,0,12059.879,2059.879,12059.879
20120725,Hold,27.75,0,0,0,12059.879,2059.879,12059.879
20120726,Hold,23.19,0,0,0,12059.879,2059.879,12059.879
20120727,Hold,24.0,0,0,0,12059.879,2059.879,12059.879
20120730,Hold,23.37,0,0,0,12059.879,2059.879,12059.879
20120731,Hold,21.5,0,0,0,12059.879,2059.879,12059.879
20120801,Hold,20.77,0,0,0,12059.879,2059.879,12059.879
20120802,Hold,20.36,0,0,0,12059.879,2059.879,12059.879
20120803,Buy,21.39,563,-12048.591284999999,563,11.287,2053.857,12053.857
20120806,Hold,22.2,0,0,563,11.287,2509.887,12509.887
20120807,Sell,20.71,-563,11653.900135000002,0,11665.188,1665.188,11665.188
20120808,Hold,20.75,0,0,0,11665.188,1665.188,11665.188
20120809,Buy,21.41,544,-11652.86352,544,12.324,1659.364,11659.364
20120810,Hold,22.15,0,0,544,12.324,2061.924,12061.924
20120813,Sell,21.41,-544,11641.216480000001,0,11653.54,1653.54,11653.54
20120814,Hold,20.64,0,0,0,11653.54,1653.54,11653.54
20120815,Hold,20.44,0,0,0,11653.54,1653.54,11653.54
20120816,Hold,20.0,0,0,0,11653.54,1653.54,11653.54
20120817,Hold,19.05,0,0,0,11653.54,1653.54,11653.54
20120820,Buy,19.58,594,-11636.335259999998,594,17.205,1647.725,11647.725
20120821,Sell,19.36,-594,11494.09008,0,11511.295,1511.295,11511.295
20120822,Hold,19.5,0,0,0,11511.295,1511.295,11511.295
20120823,Buy,19.52,589,-11503.02864,589,8.267,1505.547,11505.547
20120824,Hold,19.49,0,0,589,8.267,1487.877,11487.877
