,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Buy,77.84,128,-9968.50176,128,31.498,-4.982,9995.018
20150112,Sell,77.23,-128,9880.497280000001,0,9911.996,-88.004,9911.996
20150113,Hold,76.42,0,0.0,0,9911.996,-88.004,9911.996
20150114,Hold,76.4,0,0.0,0,9911.996,-88.004,9911.996
20150115,Hold,74.04,0,0.0,0,9911.996,-88.004,9911.996
20150116,Hold,75.72,0,0.0,0,9911.996,-88.004,9911.996
20150120,Buy,76.16,130,-9905.750399999999,130,6.245,-92.955,9907.045
20150121,Hold,77.17,0,0.0,130,6.245,38.345,10038.345
20150122,Hold,77.65,0,0.0,130,6.245,100.745,10100.745
20150123,Hold,77.98,0,0.0,130,6.245,143.645,10143.645
20150126,Sell,76.71,-130,9967.31385,0,9973.559,-26.441,9973.559
20150127,Hold,76.9,0,0.0,0,9973.559,-26.441,9973.559
20150128,Hold,76.85,0,0.0,0,9973.559,-26.441,9973.559
20150129,Buy,78.0,127,-9910.953,127,62.606,-31.394,9968.606
20150130,Sell,76.11,-127,9661.137015,0,9723.743,-276.257,9723.743
20150202,Hold,75.16,0,0.0,0,9723.743,-276.257,9723.743
20150203,Hold,75.09,0,0.0,0,9723.743,-276.257,9723.743
20150204,Hold,75.71,0,0.0,0,9723.743,-276.257,9723.743
20150205,Buy,75.68,128,-9691.883520000001,128,31.859,-281.101,9718.899
20150206,Sell,74.05,-128,9473.6608,0,9505.52,-494.48,9505.52
20150209,Hold,74.85,0,0.0,0,9505.52,-494.48,9505.52
20150210,Buy,75.09,126,-9466.07067,126,39.45,-499.21,9500.79
20150211,Hold,76.84,0,0.0,126,39.45,-278.71,9721.29
20150212,Hold,76.46,0,0.0,126,39.45,-326.59,9673.41
20150213,Hold,75.3,0,0.0,126,39.45,-472.75,9527.25
20150217,Hold,75.94,0,0.0,126,39.45,-392.11,9607.89
20150218,Hold,76.99,0,0.0,126,39.45,-259.81,9740.19
20150219,Hold,79.55,0,0.0,126,39.45,62.75,10062.75
20150220,Hold,79.96,0,0.0,126,39.45,114.41,10114.41
20150223,Hold,78.5,0,0.0,126,39.45,-69.55,9930.45
20150224,Sell,78.5,-126,9886.0545,0,9925.504,-74.496,9925.504
20150225,Buy,79.98,124,-9922.47876,124,3.025,-79.455,9920.545
20150226,Hold,80.68,0,0.0,124,3.025,7.345,10007.345
20150227,Sell,79.0,-124,9791.102,0,9794.127,-205.873,9794.127
20150302,Buy,79.61,122,-9717.27621,122,76.851,-210.729,9789.271
20150303,Hold,79.3,0,0.0,122,76.851,-248.549,9751.451
20150304,Hold,81.23,0,0.0,122,76.851,-13.089,9986.911
20150305,Hold,80.9,0,0.0,122,76.851,-53.349,9946.651
20150306,Sell,79.68,-122,9716.099520000002,0,9792.951,-207.049,9792.951
20150309,Hold,78.5,0,0.0,0,9792.951,-207.049,9792.951
20150310,Hold,77.8,0,0.0,0,9792.951,-207.049,9792.951
20150311,Hold,78.1,0,0.0,0,9792.951,-207.049,9792.951
20150312,Buy,78.6,124,-9751.2732,124,41.677,-211.923,9788.077
20150313,Sell,77.96,-124,9662.206479999999,0,9703.884,-296.116,9703.884
20150316,Buy,78.36,123,-9643.09914,123,60.785,-300.935,9699.065
20150317,Hold,79.25,0,0.0,123,60.785,-191.465,9808.535
20150318,Hold,81.12,0,0.0,123,60.785,38.545,10038.545
20150319,Hold,83.39,0,0.0,123,60.785,317.755,10317.755
20150320,Hold,83.92,0,0.0,123,60.785,382.945,10382.945
20150323,Hold,84.76,0,0.0,123,60.785,486.265,10486.265
20150324,Hold,85.5,0,0.0,123,60.785,577.285,10577.285
20150325,Sell,82.72,-123,10169.47272,0,10230.258,230.258,10230.258
20150326,Hold,83.38,0,0.0,0,10230.258,230.258,10230.258
20150327,Hold,83.81,0,0.0,0,10230.258,230.258,10230.258
20150330,Hold,82.9,0,0.0,0,10230.258,230.258,10230.258
20150331,Hold,82.51,0,0.0,0,10230.258,230.258,10230.258
20150401,Hold,82.25,0,0.0,0,10230.258,230.258,10230.258
20150402,Hold,80.8,0,0.0,0,10230.258,230.258,10230.258
20150406,Buy,82.65,123,-10171.032975,123,59.225,225.175,10225.175
20150407,Hold,82.63,0,0.0,123,59.225,222.715,10222.715
20150408,Hold,82.5,0,0.0,123,59.225,206.725,10206.725
20150409,Sell,82.2,-123,10105.5447,0,10164.769,164.769,10164.769
20150410,Hold,81.93,0,0.0,0,10164.769,164.769,10164.769
20150413,Buy,83.17,122,-10151.81337,122,12.956,159.696,10159.696
20150414,Hold,83.55,0,0.0,122,12.956,206.056,10206.056
20150415,Sell,82.46,-122,10055.08994,0,10068.046,68.046,10068.046
20150416,Hold,81.48,0,0.0,0,10068.046,68.046,10068.046
20150417,Hold,81.54,0,0.0,0,10068.046,68.046,10068.046
20150420,Buy,84.0,119,-10000.998,119,67.048,63.048,10063.048
20150421,Hold,84.32,0,0.0,119,67.048,101.128,10101.128
