,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Buy,159.15,62,-9872.23365,62,127.766,-4.934,9995.066
20170111,Hold,160.41,0,0.0,62,127.766,73.186,10073.186
20170112,Hold,160.4,0,0.0,62,127.766,72.566,10072.566
20170113,Sell,158.92,-62,9848.11348,0,9975.88,-24.12,9975.88
20170117,Hold,157.27,0,0.0,0,9975.88,-24.12,9975.88
20170118,Buy,158.28,62,-9818.26668,62,157.613,-29.027,9970.973
20170119,Hold,160.12,0,0.0,62,157.613,85.053,10085.053
20170120,Hold,159.89,0,0.0,62,157.613,70.793,10070.793
20170123,Hold,159.38,0,0.0,62,157.613,39.173,10039.173
20170124,Hold,162.1,0,0.0,62,157.613,207.813,10207.813
20170125,Hold,161.87,0,0.0,62,157.613,193.553,10193.553
20170126,Hold,162.63,0,0.0,62,157.613,240.673,10240.673
20170127,Hold,163.15,0,0.0,62,157.613,272.913,10272.913
20170130,Hold,165.63,0,0.0,62,157.613,426.673,10426.673
20170131,Hold,166.69,0,0.0,62,157.613,492.393,10492.393
20170201,Hold,163.68,0,0.0,62,157.613,305.773,10305.773
20170202,Hold,167.07,0,0.0,62,157.613,515.953,10515.953
20170203,Hold,167.07,0,0.0,62,157.613,515.953,10515.953
20170206,Hold,170.49,0,0.0,62,157.613,727.993,10727.993
20170207,Hold,174.59,0,0.0,62,157.613,982.193,10982.193
20170208,Hold,177.16,0,0.0,62,157.613,1141.533,11141.533
20170209,Hold,176.54,0,0.0,62,157.613,1103.093,11103.093
20170210,Hold,178.3,0,0.0,62,157.613,1212.213,11212.213
20170213,Sell,174.74,-62,10828.463060000002,0,10986.076,986.076,10986.076
20170214,Buy,175.06,62,-10859.146859999999,62,126.929,980.649,10980.649
20170215,Hold,177.63,0,0.0,62,126.929,1139.989,11139.989
20170216,Hold,177.46,0,0.0,62,126.929,1129.449,11129.449
20170217,Hold,179.45,0,0.0,62,126.929,1252.829,11252.829
