,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Hold,77.238,0,0,0,10000,0.0,10000.0
20150112,Hold,77.585,0,0,0,10000,0.0,10000.0
20150113,Hold,75.646,0,0,0,10000,0.0,10000.0
20150114,Hold,75.953,0,0,0,10000,0.0,10000.0
20150115,Hold,75.19,0,0,0,10000,0.0,10000.0
20150116,Hold,75.677,0,0,0,10000,0.0,10000.0
20150120,Hold,74.457,0,0,0,10000,0.0,10000.0
20150121,Hold,74.834,0,0,0,10000,0.0,10000.0
20150122,Hold,75.083,0,0,0,10000,0.0,10000.0
20150123,Hold,73.818,0,0,0,10000,0.0,10000.0
20150126,Buy,74.291,134,-9959.971496999999,134,40.029,-4.977,9995.023
20150127,Sell,74.111,-134,9925.908563,0,9965.937,-34.063,9965.937
20150128,Hold,75.564,0,0,0,9965.937,-34.063,9965.937
20150129,Buy,76.422,130,-9939.827429999998,130,26.11,-39.03,9960.97
20150130,Hold,76.018,0,0,130,26.11,-91.55,9908.45
20150202,Hold,76.496,0,0,130,26.11,-29.41,9970.59
20150203,Hold,77.289,0,0,130,26.11,73.68,10073.68
20150204,Hold,77.711,0,0,130,26.11,128.54,10128.54
20150205,Hold,77.701,0,0,130,26.11,127.24,10127.24
20150206,Hold,77.049,0,0,130,26.11,42.48,10042.48
20150209,Sell,77.076,-130,10014.87006,0,10040.98,40.98,10040.98
20150210,Buy,77.76,129,-10036.05552,129,4.924,35.964,10035.964
20150211,Hold,77.668,0,0,129,4.924,24.096,10024.096
20150212,Hold,78.782,0,0,129,4.924,167.802,10167.802
20150213,Hold,78.551,0,0,129,4.924,138.003,10138.003
20150217,Sell,77.816,-129,10033.244868000002,0,10038.169,38.169,10038.169
20150218,Hold,78.04,0,0,0,10038.169,38.169,10038.169
20150219,Hold,77.76,0,0,0,10038.169,38.169,10038.169
20150220,Buy,77.726,129,-10031.667327,129,6.502,33.156,10033.156
20150223,Hold,77.692,0,0,129,6.502,28.77,10028.77
20150224,Hold,78.38,0,0,129,6.502,117.522,10117.522
20150225,Hold,81.191,0,0,129,6.502,480.141,10480.141
20150226,Hold,82.609,0,0,129,6.502,663.063,10663.063
20150227,Hold,82.151,0,0,129,6.502,603.981,10603.981
20150302,Hold,83.274,0,0,129,6.502,748.848,10748.848
20150303,Hold,83.142,0,0,129,6.502,731.82,10731.82
20150304,Sell,82.54,-129,10642.336170000002,0,10648.838,648.838,10648.838
20150305,Hold,81.86,0,0,0,10648.838,648.838,10648.838
20150306,Hold,80.642,0,0,0,10648.838,648.838,10648.838
20150309,Hold,80.726,0,0,0,10648.838,648.838,10648.838
20150310,Hold,80.219,0,0,0,10648.838,648.838,10648.838
20150311,Hold,79.485,0,0,0,10648.838,648.838,10648.838
20150312,Hold,80.166,0,0,0,10648.838,648.838,10648.838
20150313,Hold,80.742,0,0,0,10648.838,648.838,10648.838
20150316,Buy,80.72,131,-10579.60716,131,69.231,643.551,10643.551
20150317,Sell,79.977,-131,10471.748506500002,0,10540.979,540.979,10540.979
20150318,Buy,80.685,130,-10494.294525000001,130,46.685,535.735,10535.735
20150319,Sell,80.234,-130,10425.20479,0,10471.889,471.889,10471.889
20150320,Buy,80.685,129,-10413.5691825,129,58.32,466.685,10466.685
20150323,Hold,82.019,0,0,129,58.32,638.771,10638.771
20150324,Hold,82.497,0,0,129,58.32,700.433,10700.433
20150325,Sell,81.301,-129,10482.5850855,0,10540.905,540.905,10540.905
20150326,Hold,81.1,0,0,0,10540.905,540.905,10540.905
20150327,Hold,81.183,0,0,0,10540.905,540.905,10540.905
20150330,Hold,81.482,0,0,0,10540.905,540.905,10540.905
20150331,Hold,80.642,0,0,0,10540.905,540.905,10540.905
20150401,Hold,79.933,0,0,0,10540.905,540.905,10540.905
20150402,Hold,79.76,0,0,0,10540.905,540.905,10540.905
20150406,Hold,80.166,0,0,0,10540.905,540.905,10540.905
20150407,Hold,80.577,0,0,0,10540.905,540.905,10540.905
20150408,Buy,80.678,130,-10493.384069999998,130,47.521,535.661,10535.661
20150409,Hold,80.742,0,0,130,47.521,543.981,10543.981
20150410,Hold,81.144,0,0,130,47.521,596.241,10596.241
20150413,Hold,80.977,0,0,130,47.521,574.531,10574.531
20150414,Sell,80.734,-130,10490.17229,0,10537.694,537.694,10537.694
20150415,Hold,80.276,0,0,0,10537.694,537.694,10537.694
20150416,Hold,79.244,0,0,0,10537.694,537.694,10537.694
20150417,Hold,79.134,0,0,0,10537.694,537.694,10537.694
20150420,Buy,80.126,131,-10501.754253000001,131,35.939,532.445,10532.445
20150421,Sell,80.801,-131,10579.638534500002,0,10615.578,615.578,10615.578
20150422,Buy,81.169,130,-10557.245985,130,58.332,610.302,10610.302
20150423,Hold,80.792,0,0,130,58.332,561.292,10561.292
20150424,Hold,82.249,0,0,130,58.332,750.702,10750.702
20150427,Sell,80.194,-130,10420.007390000002,0,10478.339,478.339,10478.339
20150428,Hold,80.449,0,0,0,10478.339,478.339,10478.339
20150429,Hold,80.51,0,0,0,10478.339,478.339,10478.339
20150430,Hold,80.577,0,0,0,10478.339,478.339,10478.339
20150501,Buy,80.444,130,-10462.94886,130,15.39,473.11,10473.11
20150504,Sell,80.292,-130,10432.741020000001,0,10448.131,448.131,10448.131
20150505,Hold,80.166,0,0,0,10448.131,448.131,10448.131
20150506,Buy,80.194,130,-10430.43261,130,17.699,442.919,10442.919
20150507,Hold,81.793,0,0,130,17.699,650.789,10650.789
20150508,Hold,81.717,0,0,130,17.699,640.909,10640.909
20150511,Hold,81.126,0,0,130,17.699,564.079,10564.079
20150512,Hold,81.691,0,0,130,17.699,637.529,10637.529
20150513,Sell,81.35,-130,10570.21225,0,10587.911,587.911,10587.911
20150514,Buy,81.417,129,-10508.0443965,129,79.867,582.66,10582.66
20150515,Hold,81.611,0,0,129,79.867,607.686,10607.686
20150518,Hold,81.707,0,0,129,79.867,620.07,10620.07
20150519,Hold,84.032,0,0,129,79.867,919.995,10919.995
20150520,Hold,83.209,0,0,129,79.867,813.828,10813.828
20150521,Sell,82.593,-129,10649.169751500001,0,10729.036,729.036,10729.036
20150522,Hold,82.346,0,0,0,10729.036,729.036,10729.036
20150526,Hold,82.439,0,0,0,10729.036,729.036,10729.036
20150527,Hold,82.348,0,0,0,10729.036,729.036,10729.036
20150528,Hold,81.738,0,0,0,10729.036,729.036,10729.036
20150529,Hold,80.53,0,0,0,10729.036,729.036,10729.036
20150601,Hold,80.914,0,0,0,10729.036,729.036,10729.036
20150602,Hold,80.983,0,0,0,10729.036,729.036,10729.036
20150603,Hold,80.914,0,0,0,10729.036,729.036,10729.036
20150604,Hold,80.611,0,0,0,10729.036,729.036,10729.036
20150605,Hold,80.665,0,0,0,10729.036,729.036,10729.036
20150608,Hold,80.109,0,0,0,10729.036,729.036,10729.036
20150609,Hold,79.841,0,0,0,10729.036,729.036,10729.036
20150610,Hold,80.243,0,0,0,10729.036,729.036,10729.036
20150611,Buy,80.175,133,-10668.6066375,133,60.43,723.705,10723.705
20150612,Sell,79.603,-133,10581.9054005,0,10642.335,642.335,10642.335
20150615,Hold,79.194,0,0,0,10642.335,642.335,10642.335
20150616,Hold,79.435,0,0,0,10642.335,642.335,10642.335
20150617,Buy,80.402,132,-10618.370531999999,132,23.965,637.029,10637.029
20150618,Hold,80.991,0,0,132,23.965,714.777,10714.777
20150619,Hold,80.922,0,0,132,23.965,705.669,10705.669
20150622,Hold,82.0,0,0,132,23.965,847.965,10847.965
20150623,Hold,81.295,0,0,132,23.965,754.905,10754.905
20150624,Sell,81.251,-132,10719.769434000002,0,10743.734,743.734,10743.734
20150625,Hold,80.771,0,0,0,10743.734,743.734,10743.734
20150626,Buy,81.183,132,-10721.514078,132,22.22,738.376,10738.376
20150629,Sell,80.603,-132,10634.276202000001,0,10656.496,656.496,10656.496
20150630,Hold,79.906,0,0,0,10656.496,656.496,10656.496
20150701,Hold,80.771,0,0,0,10656.496,656.496,10656.496
20150702,Buy,80.394,132,-10617.314004000002,132,39.182,651.19,10651.19
20150706,Hold,80.603,0,0,132,39.182,678.778,10678.778
20150707,Hold,80.369,0,0,132,39.182,647.89,10647.89
20150708,Hold,81.2,0,0,132,39.182,757.582,10757.582
20150709,Hold,81.712,0,0,132,39.182,825.166,10825.166
20150710,Hold,82.348,0,0,132,39.182,909.118,10909.118
20150713,Hold,82.442,0,0,132,39.182,921.526,10921.526
20150714,Hold,82.471,0,0,132,39.182,925.354,10925.354
20150715,Hold,83.182,0,0,132,39.182,1019.206,11019.206
20150716,Sell,82.09,-132,10830.462060000002,0,10869.644,869.644,10869.644
20150717,Hold,82.16,0,0,0,10869.644,869.644,10869.644
20150720,Hold,82.01,0,0,0,10869.644,869.644,10869.644
20150721,Hold,82.098,0,0,0,10869.644,869.644,10869.644
20150722,Hold,83.1,0,0,0,10869.644,869.644,10869.644
20150723,Hold,81.848,0,0,0,10869.644,869.644,10869.644
20150724,Hold,80.665,0,0,0,10869.644,869.644,10869.644
20150727,Hold,81.065,0,0,0,10869.644,869.644,10869.644
20150728,Buy,81.907,132,-10817.129862,132,52.514,864.238,10864.238
20150729,Hold,82.0,0,0,132,52.514,876.514,10876.514
20150730,Hold,83.728,0,0,132,52.514,1104.61,11104.61
20150731,Hold,84.024,0,0,132,52.514,1143.682,11143.682
20150803,Hold,83.578,0,0,132,52.514,1084.81,11084.81
20150804,Sell,83.878,-132,11066.360052000002,0,11118.874,1118.874,11118.874
20150805,Buy,83.793,132,-11066.206338,132,52.668,1113.344,11113.344
20150806,Sell,83.428,-132,11006.989752,0,11059.658,1059.658,11059.658
20150807,Hold,83.596,0,0,0,11059.658,1059.658,11059.658
20150810,Hold,82.925,0,0,0,11059.658,1059.658,11059.658
20150811,Hold,82.57,0,0,0,11059.658,1059.658,11059.658
