,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Buy,87.077,114,-9931.741388999999,114,68.259,-4.963,9995.037
20200110,Hold,86.905,0,0.0,114,68.259,-24.571,9975.429
20200113,Hold,87.451,0,0.0,114,68.259,37.673,10037.673
20200114,Hold,87.27,0,0.0,114,68.259,17.039,10017.039
20200115,Hold,88.217,0,0.0,114,68.259,124.997,10124.997
20200116,Hold,89.12,0,0.0,114,68.259,227.939,10227.939
20200117,Hold,89.023,0,0.0,114,68.259,216.881,10216.881
20200121,Sell,89.321,-114,10177.502703,0,10245.761,245.761,10245.761
20200122,Hold,88.152,0,0.0,0,10245.761,245.761,10245.761
20200123,Hold,90.147,0,0.0,0,10245.761,245.761,10245.761
20200124,Hold,84.996,0,0.0,0,10245.761,245.761,10245.761
20200127,Hold,85.399,0,0.0,0,10245.761,245.761,10245.761
20200128,Hold,84.536,0,0.0,0,10245.761,245.761,10245.761
20200129,Hold,81.947,0,0.0,0,10245.761,245.761,10245.761
20200130,Hold,82.273,0,0.0,0,10245.761,245.761,10245.761
20200131,Hold,81.58,0,0.0,0,10245.761,245.761,10245.761
20200203,Hold,83.567,0,0.0,0,10245.761,245.761,10245.761
20200204,Buy,85.634,119,-10195.541223,119,50.22,240.666,10240.666
20200205,Hold,84.447,0,0.0,119,50.22,99.413,10099.413
20200206,Sell,82.627,-119,9827.6966935,0,9877.917,-122.083,9877.917
20200207,Hold,83.272,0,0.0,0,9877.917,-122.083,9877.917
20200210,Hold,84.649,0,0.0,0,9877.917,-122.083,9877.917
20200211,Hold,84.506,0,0.0,0,9877.917,-122.083,9877.917
20200212,Buy,85.267,115,-9810.6078525,115,67.309,-126.986,9873.014
20200213,Hold,86.885,0,0.0,115,67.309,59.084,10059.084
20200214,Sell,86.105,-115,9897.123962500002,0,9964.433,-35.567,9964.433
20200218,Hold,86.221,0,0.0,0,9964.433,-35.567,9964.433
20200219,Hold,86.451,0,0.0,0,9964.433,-35.567,9964.433
20200220,Hold,84.786,0,0.0,0,9964.433,-35.567,9964.433
20200221,Hold,81.442,0,0.0,0,9964.433,-35.567,9964.433
20200224,Hold,81.914,0,0.0,0,9964.433,-35.567,9964.433
20200225,Hold,79.582,0,0.0,0,9964.433,-35.567,9964.433
20200226,Hold,75.95,0,0.0,0,9964.433,-35.567,9964.433
20200227,Hold,73.386,0,0.0,0,9964.433,-35.567,9964.433
20200228,Hold,75.063,0,0.0,0,9964.433,-35.567,9964.433
20200302,Buy,79.246,125,-9910.702874999999,125,53.73,-40.52,9959.48
20200303,Sell,76.393,-125,9544.350437500001,0,9598.08,-401.92,9598.08
20200304,Hold,75.053,0,0.0,0,9598.08,-401.92,9598.08
20200305,Hold,70.776,0,0.0,0,9598.08,-401.92,9598.08
20200306,Hold,68.0,0,0.0,0,9598.08,-401.92,9598.08
20200309,Hold,69.909,0,0.0,0,9598.08,-401.92,9598.08
20200310,Hold,70.169,0,0.0,0,9598.08,-401.92,9598.08
20200311,Hold,60.652,0,0.0,0,9598.08,-401.92,9598.08
20200312,Hold,63.251,0,0.0,0,9598.08,-401.92,9598.08
20200313,Hold,58.415,0,0.0,0,9598.08,-401.92,9598.08
20200316,Hold,57.374,0,0.0,0,9598.08,-401.92,9598.08
20200317,Hold,53.52,0,0.0,0,9598.08,-401.92,9598.08
20200318,Hold,54.175,0,0.0,0,9598.08,-401.92,9598.08
20200319,Buy,60.025,159,-9548.7469875,159,49.333,-406.692,9593.308
20200320,Hold,55.138,0,0.0,159,49.333,-1183.725,8816.275
20200323,Hold,60.323,0,0.0,159,49.333,-359.31,9640.69
20200324,Hold,64.388,0,0.0,159,49.333,287.025,10287.025
20200325,Hold,64.272,0,0.0,159,49.333,268.581,10268.581
