,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Hold,44.158,0,0,0,10000,0.0,10000.0
20160112,Buy,45.708,218,-9969.326172,218,30.674,-4.982,9995.018
20160113,Hold,44.892,0,0,218,30.674,-182.87,9817.13
20160114,Hold,44.24,0,0,218,30.674,-325.006,9674.994
20160115,Sell,43.71,-218,9524.01561,0,9554.689,-445.311,9554.689
20160119,Hold,43.964,0,0,0,9554.689,-445.311,9554.689
20160120,Hold,44.289,0,0,0,9554.689,-445.311,9554.689
20160121,Buy,44.878,212,-9518.893068,212,35.796,-450.068,9549.932
20160122,Hold,44.58,0,0,212,35.796,-513.244,9486.756
20160125,Sell,44.034,-212,9330.540396,0,9366.337,-633.663,9366.337
20160126,Buy,45.038,207,-9327.527433,207,38.809,-638.325,9361.675
20160127,Hold,45.239,0,0,207,38.809,-596.718,9403.282
20160128,Hold,45.835,0,0,207,38.809,-473.346,9526.654
20160129,Hold,46.62,0,0,207,38.809,-310.851,9689.149
20160201,Hold,47.042,0,0,207,38.809,-223.497,9776.503
20160202,Hold,47.055,0,0,207,38.809,-220.806,9779.194
20160203,Sell,46.654,-207,9652.549311,0,9691.359,-308.641,9691.359
20160204,Hold,46.874,0,0,0,9691.359,-308.641,9691.359
20160205,Hold,44.54,0,0,0,9691.359,-308.641,9691.359
20160208,Hold,43.231,0,0,0,9691.359,-308.641,9691.359
20160209,Hold,43.381,0,0,0,9691.359,-308.641,9691.359
20160210,Hold,42.619,0,0,0,9691.359,-308.641,9691.359
20160211,Hold,42.746,0,0,0,9691.359,-308.641,9691.359
20160212,Buy,44.191,219,-9682.6679145,219,8.691,-313.48,9686.52
20160216,Hold,45.408,0,0,219,8.691,-46.957,9953.043
20160217,Hold,45.942,0,0,219,8.691,69.989,10069.989
20160218,Hold,45.914,0,0,219,8.691,63.857,10063.857
20160219,Hold,46.227,0,0,219,8.691,132.404,10132.404
20160222,Hold,46.322,0,0,219,8.691,153.209,10153.209
20160223,Hold,45.835,0,0,219,8.691,46.556,10046.556
20160224,Hold,46.552,0,0,219,8.691,203.579,10203.579
20160225,Hold,46.38,0,0,219,8.691,165.911,10165.911
20160226,Hold,46.227,0,0,219,8.691,132.404,10132.404
20160229,Hold,47.251,0,0,219,8.691,356.66,10356.66
20160301,Hold,49.152,0,0,219,8.691,772.979,10772.979
20160302,Hold,48.962,0,0,219,8.691,731.369,10731.369
20160303,Hold,49.52,0,0,219,8.691,853.571,10853.571
20160304,Hold,50.241,0,0,219,8.691,1011.47,11011.47
20160307,Hold,50.171,0,0,219,8.691,996.14,10996.14
20160308,Sell,49.98,-219,10940.14719,0,10948.838,948.838,10948.838
20160309,Hold,49.777,0,0,0,10948.838,948.838,10948.838
20160310,Hold,50.018,0,0,0,10948.838,948.838,10948.838
20160311,Buy,50.354,217,-10932.281409,217,16.557,943.375,10943.375
20160314,Hold,50.206,0,0,217,16.557,911.259,10911.259
20160315,Hold,50.468,0,0,217,16.557,968.113,10968.113
20160316,Hold,51.075,0,0,217,16.557,1099.832,11099.832
20160317,Hold,51.213,0,0,217,16.557,1129.778,11129.778
20160318,Hold,50.853,0,0,217,16.557,1051.658,11051.658
20160321,Hold,51.058,0,0,217,16.557,1096.143,11096.143
20160322,Hold,51.278,0,0,217,16.557,1143.883,11143.883
20160323,Hold,51.932,0,0,217,16.557,1285.801,11285.801
20160324,Sell,51.773,-217,11229.1236295,0,11245.68,1245.68,11245.68
20160328,Buy,51.685,217,-11221.2528225,217,24.427,1240.072,11240.072
20160329,Hold,52.624,0,0,217,24.427,1443.835,11443.835
20160330,Hold,53.348,0,0,217,24.427,1600.943,11600.943
20160331,Hold,52.431,0,0,217,24.427,1401.954,11401.954
20160401,Hold,53.458,0,0,217,24.427,1624.813,11624.813
20160404,Sell,53.092,-217,11515.203518,0,11539.631,1539.631,11539.631
20160405,Hold,52.814,0,0,0,11539.631,1539.631,11539.631
20160406,Hold,52.923,0,0,0,11539.631,1539.631,11539.631
20160407,Hold,52.954,0,0,0,11539.631,1539.631,11539.631
20160408,Buy,53.464,215,-11500.50738,215,39.123,1533.883,11533.883
20160411,Sell,52.923,-215,11372.7557775,0,11411.879,1411.879,11411.879
20160412,Buy,52.668,216,-11381.976144,216,29.903,1406.191,11406.191
20160413,Hold,53.404,0,0,216,29.903,1565.167,11565.167
20160414,Hold,53.625,0,0,216,29.903,1612.903,11612.903
20160415,Sell,53.431,-216,11535.325452000001,0,11565.229,1565.229,11565.229
20160418,Buy,53.117,217,-11532.152194499999,217,33.076,1559.465,11559.465
20160419,Sell,53.78,-217,11664.42487,0,11697.501,1697.501,11697.501
20160420,Hold,55.328,0,0,0,11697.501,1697.501,11697.501
20160421,Hold,53.266,0,0,0,11697.501,1697.501,11697.501
20160422,Hold,52.921,0,0,0,11697.501,1697.501,11697.501
20160425,Hold,53.129,0,0,0,11697.501,1697.501,11697.501
20160426,Hold,53.293,0,0,0,11697.501,1697.501,11697.501
20160427,Hold,52.797,0,0,0,11697.501,1697.501,11697.501
20160428,Hold,52.405,0,0,0,11697.501,1697.501,11697.501
20160429,Hold,52.269,0,0,0,11697.501,1697.501,11697.501
20160502,Buy,52.549,222,-11671.710939,222,25.79,1691.668,11691.668
20160503,Sell,51.663,-222,11463.451407,0,11489.242,1489.242,11489.242
20160504,Buy,52.536,218,-11458.574423999999,218,30.667,1483.515,11483.515
20160505,Hold,52.516,0,0,218,30.667,1479.155,11479.155
20160506,Hold,52.825,0,0,218,30.667,1546.517,11546.517
20160509,Hold,53.538,0,0,218,30.667,1701.951,11701.951
20160510,Hold,53.728,0,0,218,30.667,1743.371,11743.371
20160511,Sell,52.934,-218,11533.842193999999,0,11564.509,1564.509,11564.509
20160512,Hold,52.986,0,0,0,11564.509,1564.509,11564.509
20160513,Hold,52.288,0,0,0,11564.509,1564.509,11564.509
20160516,Hold,52.973,0,0,0,11564.509,1564.509,11564.509
20160517,Hold,52.679,0,0,0,11564.509,1564.509,11564.509
20160518,Hold,52.145,0,0,0,11564.509,1564.509,11564.509
20160519,Hold,52.203,0,0,0,11564.509,1564.509,11564.509
20160520,Hold,51.983,0,0,0,11564.509,1564.509,11564.509
20160523,Buy,52.465,220,-11548.07115,220,16.438,1558.738,11558.738
20160524,Hold,53.573,0,0,220,16.438,1802.498,11802.498
20160525,Hold,54.017,0,0,220,16.438,1900.178,11900.178
20160526,Hold,53.802,0,0,220,16.438,1852.878,11852.878
20160527,Hold,53.618,0,0,220,16.438,1812.398,11812.398
20160531,Sell,53.197,-220,11697.48833,0,11713.927,1713.927,11713.927
20160601,Buy,53.64,218,-11699.366759999999,218,14.56,1708.08,11708.08
20160602,Hold,53.604,0,0,218,14.56,1700.232,11700.232
20160603,Hold,53.9,0,0,218,14.56,1764.76,11764.76
