,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140109,Hold,67.492,0,0,0,10000,0.0,10000.0
20140110,Hold,68.616,0,0,0,10000,0.0,10000.0
20140113,Hold,67.713,0,0,0,10000,0.0,10000.0
20140114,Hold,67.622,0,0,0,10000,0.0,10000.0
20140115,Hold,66.451,0,0,0,10000,0.0,10000.0
20140116,Hold,65.617,0,0,0,10000,0.0,10000.0
20140117,Hold,66.984,0,0,0,10000,0.0,10000.0
20140121,Hold,66.246,0,0,0,10000,0.0,10000.0
20140122,Hold,65.461,0,0,0,10000,0.0,10000.0
20140123,Hold,64.343,0,0,0,10000,0.0,10000.0
20140124,Hold,62.91,0,0,0,10000,0.0,10000.0
20140127,Hold,62.928,0,0,0,10000,0.0,10000.0
20140128,Hold,63.706,0,0,0,10000,0.0,10000.0
20140129,Hold,63.199,0,0,0,10000,0.0,10000.0
20140130,Hold,62.114,0,0,0,10000,0.0,10000.0
20140131,Hold,63.028,0,0,0,10000,0.0,10000.0
20140203,Hold,63.028,0,0,0,10000,0.0,10000.0
20140204,Hold,63.648,0,0,0,10000,0.0,10000.0
20140205,Hold,61.378,0,0,0,10000,0.0,10000.0
20140206,Hold,60.748,0,0,0,10000,0.0,10000.0
20140207,Hold,60.955,0,0,0,10000,0.0,10000.0
20140210,Hold,60.661,0,0,0,10000,0.0,10000.0
20140211,Buy,61.559,162,-9977.544278999998,162,22.456,-4.986,9995.014
20140212,Hold,61.04,0,0,162,22.456,-89.064,9910.936
20140213,Hold,61.913,0,0,162,22.456,52.362,10052.362
20140214,Hold,62.232,0,0,162,22.456,104.04,10104.04
20140218,Hold,61.954,0,0,162,22.456,59.004,10059.004
20140219,Sell,61.888,-162,10020.843072,0,10043.299,43.299,10043.299
20140220,Buy,62.095,161,-10002.293647499999,161,41.005,38.3,10038.3
20140221,Hold,61.878,0,0,161,41.005,3.363,10003.363
20140224,Hold,62.294,0,0,161,41.005,70.339,10070.339
20140225,Hold,62.655,0,0,161,41.005,128.46,10128.46
20140226,Hold,61.982,0,0,161,41.005,20.107,10020.107
20140227,Hold,62.25,0,0,161,41.005,63.255,10063.255
20140228,Hold,62.838,0,0,161,41.005,157.923,10157.923
20140303,Hold,63.976,0,0,161,41.005,341.141,10341.141
20140304,Hold,63.822,0,0,161,41.005,316.347,10316.347
20140305,Hold,63.6,0,0,161,41.005,280.605,10280.605
20140306,Sell,63.692,-161,10249.284794000001,0,10290.29,290.29,10290.29
20140307,Buy,64.069,160,-10256.16552,160,34.124,285.164,10285.164
20140310,Hold,64.439,0,0,160,34.124,344.364,10344.364
20140311,Hold,63.902,0,0,160,34.124,258.444,10258.444
20140312,Sell,64.491,-160,10313.40072,0,10347.525,347.525,10347.525
20140313,Hold,64.022,0,0,0,10347.525,347.525,10347.525
20140314,Hold,63.967,0,0,0,10347.525,347.525,10347.525
20140317,Hold,64.279,0,0,0,10347.525,347.525,10347.525
20140318,Hold,64.269,0,0,0,10347.525,347.525,10347.525
20140319,Hold,63.831,0,0,0,10347.525,347.525,10347.525
20140320,Hold,63.759,0,0,0,10347.525,347.525,10347.525
20140321,Hold,62.941,0,0,0,10347.525,347.525,10347.525
20140324,Hold,61.861,0,0,0,10347.525,347.525,10347.525
20140325,Hold,62.05,0,0,0,10347.525,347.525,10347.525
20140326,Hold,61.706,0,0,0,10347.525,347.525,10347.525
20140327,Buy,61.735,167,-10314.8998725,167,32.625,342.37,10342.37
20140328,Hold,61.812,0,0,167,32.625,355.229,10355.229
20140331,Hold,61.973,0,0,167,32.625,382.116,10382.116
20140401,Hold,62.895,0,0,167,32.625,536.09,10536.09
20140402,Hold,62.664,0,0,167,32.625,497.513,10497.513
20140403,Hold,62.756,0,0,167,32.625,512.877,10512.877
20140404,Sell,61.471,-167,10260.5241715,0,10293.149,293.149,10293.149
20140407,Buy,62.646,164,-10279.080972,164,14.068,288.012,10288.012
20140408,Hold,64.136,0,0,164,14.068,532.372,10532.372
20140409,Hold,63.885,0,0,164,14.068,491.208,10491.208
20140410,Hold,62.838,0,0,164,14.068,319.5,10319.5
20140411,Hold,62.895,0,0,164,14.068,328.848,10328.848
20140414,Hold,64.099,0,0,164,14.068,526.304,10526.304
20140415,Hold,65.318,0,0,164,14.068,726.22,10726.22
20140416,Hold,65.988,0,0,164,14.068,836.1,10836.1
20140417,Hold,65.998,0,0,164,14.068,837.74,10837.74
20140421,Hold,66.242,0,0,164,14.068,877.756,10877.756
20140422,Hold,66.089,0,0,164,14.068,852.664,10852.664
20140423,Hold,65.867,0,0,164,14.068,816.256,10816.256
20140424,Hold,66.108,0,0,164,14.068,855.78,10855.78
20140425,Hold,66.345,0,0,164,14.068,894.648,10894.648
20140428,Hold,66.162,0,0,164,14.068,864.636,10864.636
20140429,Hold,66.73,0,0,164,14.068,957.788,10957.788
20140430,Hold,66.28,0,0,164,14.068,883.988,10883.988
20140501,Hold,68.189,0,0,164,14.068,1197.064,11197.064
20140502,Hold,68.608,0,0,164,14.068,1265.78,11265.78
20140505,Sell,67.63,-164,11085.77434,0,11099.843,1099.843,11099.843
20140506,Hold,67.595,0,0,0,11099.843,1099.843,11099.843
20140507,Hold,67.64,0,0,0,11099.843,1099.843,11099.843
20140508,Hold,67.259,0,0,0,11099.843,1099.843,11099.843
20140509,Hold,67.465,0,0,0,11099.843,1099.843,11099.843
20140512,Buy,67.372,164,-11054.532503999999,164,45.31,1094.318,11094.318
20140513,Hold,67.786,0,0,164,45.31,1162.214,11162.214
20140514,Hold,67.329,0,0,164,45.31,1087.266,11087.266
20140515,Sell,67.16,-164,11008.73288,0,11054.043,1054.043,11054.043
20140516,Buy,67.219,164,-11029.427957999998,164,24.615,1048.531,11048.531
20140519,Hold,67.952,0,0,164,24.615,1168.743,11168.743
20140520,Hold,68.023,0,0,164,24.615,1180.387,11180.387
20140521,Hold,68.004,0,0,164,24.615,1177.271,11177.271
20140522,Hold,68.685,0,0,164,24.615,1288.955,11288.955
20140523,Hold,68.77,0,0,164,24.615,1302.895,11302.895
20140527,Hold,69.375,0,0,164,24.615,1402.115,11402.115
20140528,Hold,70.036,0,0,164,24.615,1510.519,11510.519
20140529,Hold,70.12,0,0,164,24.615,1524.295,11524.295
20140530,Hold,70.497,0,0,164,24.615,1586.123,11586.123
20140602,Hold,70.617,0,0,164,24.615,1605.803,11605.803
20140603,Hold,70.35,0,0,164,24.615,1562.015,11562.015
20140604,Sell,70.323,-164,11527.205514000001,0,11551.821,1551.821,11551.821
20140605,Hold,70.774,0,0,0,11551.821,1551.821,11551.821
20140606,Hold,70.534,0,0,0,11551.821,1551.821,11551.821
20140609,Hold,70.35,0,0,0,11551.821,1551.821,11551.821
20140610,Hold,70.303,0,0,0,11551.821,1551.821,11551.821
20140611,Hold,70.627,0,0,0,11551.821,1551.821,11551.821
20140612,Hold,70.497,0,0,0,11551.821,1551.821,11551.821
20140613,Hold,70.378,0,0,0,11551.821,1551.821,11551.821
20140616,Hold,69.909,0,0,0,11551.821,1551.821,11551.821
20140617,Hold,69.336,0,0,0,11551.821,1551.821,11551.821
20140618,Buy,69.273,166,-11505.067658999998,166,46.753,1546.071,11546.071
20140619,Hold,70.405,0,0,166,46.753,1733.983,11733.983
20140620,Sell,69.659,-166,11557.612303000002,0,11604.365,1604.365,11604.365
20140623,Hold,68.897,0,0,0,11604.365,1604.365,11604.365
20140624,Hold,68.511,0,0,0,11604.365,1604.365,11604.365
20140625,Hold,68.343,0,0,0,11604.365,1604.365,11604.365
20140626,Hold,68.626,0,0,0,11604.365,1604.365,11604.365
20140627,Buy,68.976,168,-11593.761984,168,10.603,1598.571,11598.571
20140630,Sell,68.599,-168,11518.869684000003,0,11529.473,1529.473,11529.473
20140701,Hold,68.324,0,0,0,11529.473,1529.473,11529.473
20140702,Hold,68.233,0,0,0,11529.473,1529.473,11529.473
20140703,Buy,68.796,167,-11494.676466,167,34.797,1523.729,11523.729
20140707,Hold,68.474,0,0,167,34.797,1469.955,11469.955
20140708,Sell,68.287,-167,11398.227035500002,0,11433.024,1433.024,11433.024
20140709,Buy,68.122,167,-11382.062187,167,50.961,1427.335,11427.335
20140710,Hold,68.711,0,0,167,50.961,1525.698,11525.698
20140711,Hold,69.052,0,0,167,50.961,1582.645,11582.645
20140714,Hold,69.31,0,0,167,50.961,1625.731,11625.731
20140715,Hold,69.769,0,0,167,50.961,1702.384,11702.384
20140716,Sell,69.228,-167,11555.295462,0,11606.257,1606.257,11606.257
20140717,Hold,68.74,0,0,0,11606.257,1606.257,11606.257
20140718,Buy,69.513,166,-11544.927579000001,166,61.329,1600.487,11600.487
20140721,Hold,69.722,0,0,166,61.329,1635.181,11635.181
20140722,Hold,70.13,0,0,166,61.329,1702.909,11702.909
20140723,Hold,70.027,0,0,166,61.329,1685.811,11685.811
20140724,Sell,69.578,-166,11544.173026,0,11605.502,1605.502,11605.502
20140725,Hold,69.759,0,0,0,11605.502,1605.502,11605.502
20140728,Hold,68.915,0,0,0,11605.502,1605.502,11605.502
20140729,Hold,68.537,0,0,0,11605.502,1605.502,11605.502
20140730,Hold,68.122,0,0,0,11605.502,1605.502,11605.502
20140731,Hold,67.635,0,0,0,11605.502,1605.502,11605.502
20140801,Buy,68.314,169,-11550.838532999998,169,54.664,1599.73,11599.73
20140804,Hold,68.261,0,0,169,54.664,1590.773,11590.773
20140805,Hold,68.095,0,0,169,54.664,1562.719,11562.719
20140806,Hold,68.702,0,0,169,54.664,1665.302,11665.302
20140807,Sell,67.386,-169,11382.539883,0,11437.204,1437.204,11437.204
20140808,Buy,68.644,166,-11400.601451999999,166,36.602,1431.506,11431.506
20140811,Hold,69.254,0,0,166,36.602,1532.766,11532.766
20140812,Hold,69.504,0,0,166,36.602,1574.266,11574.266
20140813,Hold,69.365,0,0,166,36.602,1551.192,11551.192
20140814,Hold,69.429,0,0,166,36.602,1561.816,11561.816
20140815,Hold,70.764,0,0,166,36.602,1783.426,11783.426
20140818,Hold,70.561,0,0,166,36.602,1749.728,11749.728
20140819,Hold,70.2,0,0,166,36.602,1689.802,11689.802
20140820,Hold,70.451,0,0,166,36.602,1731.468,11731.468
20140821,Sell,70.257,-166,11656.830669,0,11693.433,1693.433,11693.433
20140822,Hold,70.665,0,0,0,11693.433,1693.433,11693.433
20140825,Buy,71.005,164,-11650.642409999999,164,42.791,1687.611,11687.611
20140826,Hold,71.264,0,0,164,42.791,1730.087,11730.087
20140827,Hold,70.7,0,0,164,42.791,1637.591,11637.591
20140828,Sell,70.792,-164,11604.083056000001,0,11646.874,1646.874,11646.874
20140829,Hold,70.754,0,0,0,11646.874,1646.874,11646.874
20140902,Hold,71.169,0,0,0,11646.874,1646.874,11646.874
20140903,Hold,70.356,0,0,0,11646.874,1646.874,11646.874
20140904,Hold,70.674,0,0,0,11646.874,1646.874,11646.874
20140905,Hold,70.541,0,0,0,11646.874,1646.874,11646.874
20140908,Hold,69.546,0,0,0,11646.874,1646.874,11646.874
20140909,Hold,68.686,0,0,0,11646.874,1646.874,11646.874
20140910,Hold,68.714,0,0,0,11646.874,1646.874,11646.874
20140911,Hold,69.111,0,0,0,11646.874,1646.874,11646.874
20140912,Hold,68.637,0,0,0,11646.874,1646.874,11646.874
20140915,Hold,68.556,0,0,0,11646.874,1646.874,11646.874
20140916,Buy,68.926,168,-11585.357784,168,61.516,1641.084,11641.084
20140917,Hold,69.028,0,0,168,61.516,1658.22,11658.22
20140918,Hold,69.546,0,0,168,61.516,1745.244,11745.244
20140919,Hold,69.7,0,0,168,61.516,1771.116,11771.116
20140922,Sell,69.168,-168,11614.413888000003,0,11675.93,1675.93,11675.93
20140923,Hold,68.864,0,0,0,11675.93,1675.93,11675.93
20140924,Hold,69.075,0,0,0,11675.93,1675.93,11675.93
20140925,Hold,68.44,0,0,0,11675.93,1675.93,11675.93
20140926,Hold,68.325,0,0,0,11675.93,1675.93,11675.93
20140929,Buy,68.676,169,-11612.047122,169,63.883,1670.127,11670.127
20140930,Sell,68.629,-169,11592.501849500002,0,11656.384,1656.384,11656.384
20141001,Hold,68.171,0,0,0,11656.384,1656.384,11656.384
20141002,Hold,68.365,0,0,0,11656.384,1656.384,11656.384
20141003,Hold,68.28,0,0,0,11656.384,1656.384,11656.384
20141006,Hold,67.983,0,0,0,11656.384,1656.384,11656.384
20141007,Hold,68.513,0,0,0,11656.384,1656.384,11656.384
20141008,Buy,68.857,169,-11642.6514165,169,13.733,1650.566,11650.566
20141009,Sell,67.949,-169,11477.6393095,0,11491.372,1491.372,11491.372
20141010,Hold,66.805,0,0,0,11491.372,1491.372,11491.372
20141013,Hold,65.788,0,0,0,11491.372,1491.372,11491.372
20141014,Hold,65.974,0,0,0,11491.372,1491.372,11491.372
20141015,Buy,65.209,176,-11482.522391999999,176,8.85,1485.634,11485.634
20141016,Hold,66.87,0,0,176,8.85,1777.97,11777.97
20141017,Hold,66.564,0,0,176,8.85,1724.114,11724.114
20141020,Hold,67.765,0,0,176,8.85,1935.49,11935.49
20141021,Hold,69.111,0,0,176,8.85,2172.386,12172.386
20141022,Hold,68.971,0,0,176,8.85,2147.746,12147.746
20141023,Hold,68.761,0,0,176,8.85,2110.786,12110.786
20141024,Hold,68.477,0,0,176,8.85,2060.802,12060.802
20141027,Hold,69.075,0,0,176,8.85,2166.05,12166.05
20141028,Hold,69.24,0,0,176,8.85,2195.09,12195.09
20141029,Sell,68.79,-176,12100.986480000001,0,12109.836,2109.836,12109.836
20141030,Hold,69.672,0,0,0,12109.836,2109.836,12109.836
20141031,Hold,69.574,0,0,0,12109.836,2109.836,12109.836
20141103,Hold,67.496,0,0,0,12109.836,2109.836,12109.836
20141104,Hold,66.678,0,0,0,12109.836,2109.836,12109.836
20141105,Hold,65.495,0,0,0,12109.836,2109.836,12109.836
20141106,Hold,65.756,0,0,0,12109.836,2109.836,12109.836
20141107,Buy,66.999,180,-12065.849909999999,180,43.986,2103.806,12103.806
20141110,Hold,67.098,0,0,180,43.986,2121.626,12121.626
20141111,Hold,66.925,0,0,180,43.986,2090.486,12090.486
20141112,Hold,66.897,0,0,180,43.986,2085.446,12085.446
20141113,Hold,66.917,0,0,180,43.986,2089.046,12089.046
20141114,Sell,65.788,-180,11835.919080000001,0,11879.906,1879.906,11879.906
20141117,Hold,65.57,0,0,0,11879.906,1879.906,11879.906
20141118,Buy,66.371,178,-11819.945018999999,178,59.961,1873.999,11873.999
20141119,Hold,67.153,0,0,178,59.961,2013.195,12013.195
20141120,Hold,67.914,0,0,178,59.961,2148.653,12148.653
20141121,Hold,67.983,0,0,178,59.961,2160.935,12160.935
20141124,Hold,67.497,0,0,178,59.961,2074.427,12074.427
20141125,Hold,67.793,0,0,178,59.961,2127.115,12127.115
20141126,Hold,67.916,0,0,178,59.961,2149.009,12149.009
20141128,Hold,68.182,0,0,178,59.961,2196.357,12196.357
20141201,Hold,68.266,0,0,178,59.961,2211.309,12211.309
20141202,Hold,68.501,0,0,178,59.961,2253.139,12253.139
20141203,Hold,68.805,0,0,178,59.961,2307.251,12307.251
20141204,Hold,68.652,0,0,178,59.961,2280.017,12280.017
20141205,Hold,69.053,0,0,178,59.961,2351.395,12351.395
20141208,Sell,68.369,-178,12163.597159,0,12223.558,2223.558,12223.558
20141209,Buy,68.72,177,-12169.52172,177,54.036,2217.476,12217.476
20141210,Sell,68.642,-177,12143.559183000001,0,12197.595,2197.595,12197.595
20141211,Buy,68.148,178,-12136.409171999998,178,61.186,2191.53,12191.53
20141212,Sell,68.013,-178,12100.260843000002,0,12161.447,2161.447,12161.447
20141215,Hold,66.748,0,0,0,12161.447,2161.447,12161.447
20141216,Buy,67.71,179,-12126.150044999998,179,35.297,2155.387,12155.387
20141217,Hold,69.266,0,0,179,35.297,2433.911,12433.911
20141218,Hold,70.34,0,0,179,35.297,2626.157,12626.157
20141219,Hold,70.256,0,0,179,35.297,2611.121,12611.121
