,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120110,Buy,73.0,136,-9932.964,136,67.036,-4.964,9995.036
20120111,Hold,71.428,0,0.0,136,67.036,-218.756,9781.244
20120112,Hold,74.481,0,0.0,136,67.036,196.452,10196.452
20120113,Hold,75.254,0,0.0,136,67.036,301.58,10301.58
20120117,Sell,73.721,-136,10021.042972000001,0,10088.079,88.079,10088.079
20120118,Buy,75.284,133,-10017.778386,133,70.301,83.073,10083.073
20120119,Hold,76.103,0,0.0,133,70.301,192.0,10192.0
20120120,Hold,75.611,0,0.0,133,70.301,126.564,10126.564
20120123,Hold,75.274,0,0.0,133,70.301,81.743,10081.743
20120124,Hold,76.803,0,0.0,133,70.301,285.1,10285.1
20120125,Hold,77.041,0,0.0,133,70.301,316.754,10316.754
20120126,Sell,76.053,-133,10109.991475499999,0,10180.292,180.292,10180.292
20120127,Hold,75.195,0,0.0,0,10180.292,180.292,10180.292
20120130,Hold,76.182,0,0.0,0,10180.292,180.292,10180.292
20120131,Buy,76.843,132,-10148.347638,132,31.944,175.22,10175.22
20120201,Hold,75.855,0,0.0,132,31.944,44.804,10044.804
20120202,Hold,76.212,0,0.0,132,31.944,91.928,10091.928
20120203,Hold,77.021,0,0.0,132,31.944,198.716,10198.716
20120206,Hold,77.031,0,0.0,132,31.944,200.036,10200.036
20120207,Hold,80.856,0,0.0,132,31.944,704.936,10704.936
20120208,Hold,80.104,0,0.0,132,31.944,605.672,10605.672
20120209,Hold,79.512,0,0.0,132,31.944,527.528,10527.528
20120210,Hold,81.024,0,0.0,132,31.944,727.112,10727.112
20120213,Hold,80.717,0,0.0,132,31.944,686.588,10686.588
20120214,Hold,81.452,0,0.0,132,31.944,783.608,10783.608
20120215,Hold,80.52,0,0.0,132,31.944,660.584,10660.584
20120216,Hold,81.539,0,0.0,132,31.944,795.092,10795.092
20120217,Hold,81.856,0,0.0,132,31.944,836.936,10836.936
20120221,Hold,81.054,0,0.0,132,31.944,731.072,10731.072
20120222,Hold,81.104,0,0.0,132,31.944,737.672,10737.672
20120223,Hold,80.856,0,0.0,132,31.944,704.936,10704.936
20120224,Hold,80.727,0,0.0,132,31.944,687.908,10687.908
20120227,Hold,82.045,0,0.0,132,31.944,861.884,10861.884
20120228,Hold,82.764,0,0.0,132,31.944,956.792,10956.792
20120229,Hold,84.357,0,0.0,132,31.944,1167.068,11167.068
20120301,Hold,84.732,0,0.0,132,31.944,1216.568,11216.568
20120302,Hold,83.723,0,0.0,132,31.944,1083.38,11083.38
20120305,Hold,82.941,0,0.0,132,31.944,980.156,10980.156
20120306,Sell,82.114,-132,10833.628476000002,0,10865.573,865.573,10865.573
20120307,Hold,83.296,0,0.0,0,10865.573,865.573,10865.573
20120308,Buy,83.782,129,-10813.281938999999,129,52.291,860.169,10860.169
20120309,Hold,85.967,0,0.0,129,52.291,1142.034,11142.034
20120312,Hold,86.744,0,0.0,129,52.291,1242.267,11242.267
20120313,Hold,88.199,0,0.0,129,52.291,1429.962,11429.962
20120314,Hold,87.972,0,0.0,129,52.291,1400.679,11400.679
20120315,Hold,89.585,0,0.0,129,52.291,1608.756,11608.756
20120316,Hold,88.041,0,0.0,129,52.291,1409.58,11409.58
20120319,Sell,87.34,-129,11261.22657,0,11313.518,1313.518,11313.518
20120320,Buy,88.356,127,-11226.822606,127,86.695,1307.907,11307.907
20120321,Hold,88.199,0,0.0,127,86.695,1287.968,11287.968
20120322,Hold,89.268,0,0.0,127,86.695,1423.731,11423.731
20120323,Sell,89.753,-127,11392.9316845,0,11479.627,1479.627,11479.627
20120326,Buy,89.832,127,-11414.368331999998,127,65.258,1473.922,11473.922
20120327,Sell,89.783,-127,11396.739779500002,0,11461.998,1461.998,11461.998
20120328,Hold,87.34,0,0.0,0,11461.998,1461.998,11461.998
20120329,Hold,88.892,0,0.0,0,11461.998,1461.998,11461.998
20120330,Hold,89.199,0,0.0,0,11461.998,1461.998,11461.998
20120402,Buy,90.346,126,-11389.287798000001,126,72.71,1456.306,11456.306
20120403,Hold,89.959,0,0.0,126,72.71,1407.544,11407.544
20120404,Sell,90.009,-126,11335.463433,0,11408.174,1408.174,11408.174
20120405,Hold,89.615,0,0.0,0,11408.174,1408.174,11408.174
20120409,Hold,89.615,0,0.0,0,11408.174,1408.174,11408.174
20120410,Hold,87.262,0,0.0,0,11408.174,1408.174,11408.174
20120411,Hold,87.419,0,0.0,0,11408.174,1408.174,11408.174
20120412,Hold,87.429,0,0.0,0,11408.174,1408.174,11408.174
20120413,Hold,88.149,0,0.0,0,11408.174,1408.174,11408.174
20120416,Hold,88.316,0,0.0,0,11408.174,1408.174,11408.174
20120417,Buy,88.189,129,-11382.069190499999,129,26.105,1402.486,11402.486
20120418,Sell,88.744,-129,11442.252012,0,11468.357,1468.357,11468.357
20120419,Hold,88.228,0,0.0,0,11468.357,1468.357,11468.357
20120420,Hold,86.037,0,0.0,0,11468.357,1468.357,11468.357
20120423,Hold,86.472,0,0.0,0,11468.357,1468.357,11468.357
20120424,Hold,86.704,0,0.0,0,11468.357,1468.357,11468.357
20120425,Buy,87.866,130,-11428.29129,130,40.065,1462.645,11462.645
20120426,Hold,89.713,0,0.0,130,40.065,1702.755,11702.755
20120427,Hold,88.754,0,0.0,130,40.065,1578.085,11578.085
20120430,Sell,87.737,-130,11400.107095,0,11440.172,1440.172,11440.172
20120501,Hold,88.326,0,0.0,0,11440.172,1440.172,11440.172
20120502,Buy,91.137,125,-11397.8210625,125,42.351,1434.476,11434.476
20120503,Sell,88.634,-125,11073.710375,0,11116.062,1116.062,11116.062
20120504,Hold,84.118,0,0.0,0,11116.062,1116.062,11116.062
20120507,Hold,80.43,0,0.0,0,11116.062,1116.062,11116.062
20120508,Hold,79.295,0,0.0,0,11116.062,1116.062,11116.062
20120509,Hold,80.687,0,0.0,0,11116.062,1116.062,11116.062
20120510,Hold,78.782,0,0.0,0,11116.062,1116.062,11116.062
20120511,Hold,77.881,0,0.0,0,11116.062,1116.062,11116.062
20120514,Hold,78.604,0,0.0,0,11116.062,1116.062,11116.062
20120515,Hold,79.028,0,0.0,0,11116.062,1116.062,11116.062
20120516,Hold,75.845,0,0.0,0,11116.062,1116.062,11116.062
20120517,Hold,72.169,0,0.0,0,11116.062,1116.062,11116.062
