,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Hold,41.918,0,0,0,10000,0.0,10000.0
20160112,Hold,41.423,0,0,0,10000,0.0,10000.0
20160113,Hold,40.507,0,0,0,10000,0.0,10000.0
20160114,Hold,38.6,0,0,0,10000,0.0,10000.0
20160115,Hold,38.809,0,0,0,10000,0.0,10000.0
20160119,Hold,39.087,0,0,0,10000,0.0,10000.0
20160120,Hold,38.418,0,0,0,10000,0.0,10000.0
20160121,Hold,39.305,0,0,0,10000,0.0,10000.0
20160122,Buy,39.555,252,-9972.843930000001,252,27.156,-4.984,9995.016
20160125,Sell,38.418,-252,9676.495332,0,9703.651,-296.349,9703.651
20160126,Buy,39.402,246,-9697.738446,246,5.913,-301.195,9698.805
20160127,Sell,38.933,-246,9572.729241000001,0,9578.642,-421.358,9578.642
20160128,Hold,37.656,0,0,0,9578.642,-421.358,9578.642
20160129,Hold,37.122,0,0,0,9578.642,-421.358,9578.642
20160201,Hold,37.998,0,0,0,9578.642,-421.358,9578.642
20160202,Hold,35.519,0,0,0,9578.642,-421.358,9578.642
20160203,Hold,34.576,0,0,0,9578.642,-421.358,9578.642
20160204,Buy,36.941,259,-9572.5028595,259,6.139,-426.142,9573.858
20160205,Sell,35.328,-259,9145.377024000001,0,9151.516,-848.484,9151.516
20160208,Hold,32.849,0,0,0,9151.516,-848.484,9151.516
20160209,Hold,33.411,0,0,0,9151.516,-848.484,9151.516
20160210,Hold,30.797,0,0,0,9151.516,-848.484,9151.516
20160211,Hold,30.846,0,0,0,9151.516,-848.484,9151.516
20160212,Buy,33.021,277,-9151.390408500001,277,0.126,-853.057,9146.943
20160216,Hold,34.69,0,0,277,0.126,-390.744,9609.256
20160217,Hold,36.969,0,0,277,0.126,240.539,10240.539
20160218,Hold,36.149,0,0,277,0.126,13.399,10013.399
20160219,Hold,37.598,0,0,277,0.126,414.772,10414.772
20160222,Hold,37.437,0,0,277,0.126,370.175,10370.175
20160223,Sell,35.548,-277,9841.872602000001,0,9841.999,-158.001,9841.999
20160224,Hold,36.446,0,0,0,9841.999,-158.001,9841.999
20160225,Hold,36.979,0,0,0,9841.999,-158.001,9841.999
20160226,Hold,36.711,0,0,0,9841.999,-158.001,9841.999
20160229,Hold,36.989,0,0,0,9841.999,-158.001,9841.999
20160301,Buy,37.265,263,-9805.595347499999,263,36.403,-162.902,9837.098
20160302,Hold,37.294,0,0,263,36.403,-155.275,9844.725
20160303,Hold,37.427,0,0,263,36.403,-120.296,9879.704
20160304,Hold,37.303,0,0,263,36.403,-152.908,9847.092
20160307,Hold,39.992,0,0,263,36.403,554.299,10554.299
20160308,Hold,39.793,0,0,263,36.403,501.962,10501.962
20160309,Hold,40.04,0,0,263,36.403,566.923,10566.923
20160310,Hold,40.145,0,0,263,36.403,594.538,10594.538
20160311,Hold,40.604,0,0,263,36.403,715.255,10715.255
20160314,Sell,39.545,-263,10395.134832500002,0,10431.538,431.538,10431.538
20160315,Hold,39.209,0,0,0,10431.538,431.538,10431.538
20160316,Buy,40.527,257,-10420.6467195,257,10.891,426.33,10426.33
20160317,Hold,40.756,0,0,257,10.891,485.183,10485.183
20160318,Sell,40.421,-257,10383.0029015,0,10393.894,393.894,10393.894
20160321,Hold,39.715,0,0,0,10393.894,393.894,10393.894
20160322,Hold,39.734,0,0,0,10393.894,393.894,10393.894
20160323,Hold,38.372,0,0,0,10393.894,393.894,10393.894
20160324,Hold,39.145,0,0,0,10393.894,393.894,10393.894
20160328,Hold,38.982,0,0,0,10393.894,393.894,10393.894
20160329,Buy,40.155,258,-10365.169994999998,258,28.724,388.714,10388.714
20160330,Hold,39.67,0,0,258,28.724,263.584,10263.584
20160331,Sell,38.848,-258,10017.772608,0,10046.497,46.497,10046.497
20160401,Hold,39.334,0,0,0,10046.497,46.497,10046.497
20160404,Hold,38.353,0,0,0,10046.497,46.497,10046.497
20160405,Hold,38.333,0,0,0,10046.497,46.497,10046.497
20160406,Buy,38.992,257,-10025.954472,257,20.542,41.486,10041.486
20160407,Sell,39.353,-257,10108.6641395,0,10129.207,129.207,10129.207
20160408,Buy,39.268,257,-10096.921938,257,32.285,124.161,10124.161
20160411,Hold,39.334,0,0,257,32.285,141.123,10141.123
20160412,Hold,40.001,0,0,257,32.285,312.542,10312.542
20160413,Hold,40.116,0,0,257,32.285,342.097,10342.097
20160414,Hold,41.308,0,0,257,32.285,648.441,10648.441
20160415,Hold,41.805,0,0,257,32.285,776.17,10776.17
20160418,Hold,42.387,0,0,257,32.285,925.744,10925.744
20160419,Hold,42.596,0,0,257,32.285,979.457,10979.457
20160420,Hold,42.53,0,0,257,32.285,962.495,10962.495
20160421,Sell,41.49,-257,10657.598535000001,0,10689.883,689.883,10689.883
20160422,Hold,41.242,0,0,0,10689.883,689.883,10689.883
20160425,Hold,41.719,0,0,0,10689.883,689.883,10689.883
20160426,Buy,41.796,255,-10663.30899,255,26.574,684.554,10684.554
20160427,Hold,42.025,0,0,255,26.574,742.949,10742.949
20160428,Hold,43.274,0,0,255,26.574,1061.444,11061.444
20160429,Hold,44.352,0,0,255,26.574,1336.334,11336.334
20160502,Sell,41.824,-255,10659.78744,0,10686.362,686.362,10686.362
20160503,Hold,42.092,0,0,0,10686.362,686.362,10686.362
20160504,Hold,41.767,0,0,0,10686.362,686.362,10686.362
20160505,Hold,41.051,0,0,0,10686.362,686.362,10686.362
20160506,Hold,41.1,0,0,0,10686.362,686.362,10686.362
20160509,Hold,41.185,0,0,0,10686.362,686.362,10686.362
20160510,Hold,41.185,0,0,0,10686.362,686.362,10686.362
20160511,Hold,41.518,0,0,0,10686.362,686.362,10686.362
20160512,Hold,41.558,0,0,0,10686.362,686.362,10686.362
20160513,Buy,41.709,256,-10682.842752,256,3.519,681.023,10681.023
20160516,Sell,40.803,-256,10440.345216,0,10443.864,443.864,10443.864
20160517,Hold,40.174,0,0,0,10443.864,443.864,10443.864
20160518,Hold,39.802,0,0,0,10443.864,443.864,10443.864
20160519,Hold,39.298,0,0,0,10443.864,443.864,10443.864
20160520,Hold,39.046,0,0,0,10443.864,443.864,10443.864
20160523,Hold,39.491,0,0,0,10443.864,443.864,10443.864
20160524,Buy,40.726,256,-10431.068927999999,256,12.795,438.651,10438.651
20160525,Hold,40.62,0,0,256,12.795,411.515,10411.515
20160526,Hold,40.562,0,0,256,12.795,396.667,10396.667
20160527,Hold,40.891,0,0,256,12.795,480.891,10480.891
20160531,Hold,40.852,0,0,256,12.795,470.907,10470.907
20160601,Hold,41.199,0,0,256,12.795,559.739,10559.739
20160602,Hold,41.479,0,0,256,12.795,631.419,10631.419
20160603,Hold,41.14,0,0,256,12.795,544.635,10544.635
20160606,Sell,42.0,-256,10746.624,0,10759.419,759.419,10759.419
20160607,Buy,42.423,253,-10738.3855095,253,21.034,754.053,10754.053
20160608,Sell,41.622,-253,10525.100817,0,10546.134,546.134,10546.134
20160609,Hold,40.658,0,0,0,10546.134,546.134,10546.134
20160610,Hold,39.52,0,0,0,10546.134,546.134,10546.134
20160613,Hold,39.5,0,0,0,10546.134,546.134,10546.134
20160614,Hold,39.386,0,0,0,10546.134,546.134,10546.134
20160615,Hold,39.135,0,0,0,10546.134,546.134,10546.134
20160616,Buy,40.127,262,-10518.530637,262,27.604,540.878,10540.878
20160617,Hold,41.884,0,0,262,27.604,1001.212,11001.212
20160620,Hold,41.835,0,0,262,27.604,988.374,10988.374
20160621,Hold,41.585,0,0,262,27.604,922.874,10922.874
20160622,Sell,42.0,-262,10998.498000000001,0,11026.102,1026.102,11026.102
20160623,Buy,39.23,280,-10989.892199999998,280,36.21,1020.61,11020.61
20160624,Sell,38.304,-280,10719.757440000001,0,10755.967,755.967,10755.967
20160627,Hold,38.604,0,0,0,10755.967,755.967,10755.967
20160628,Hold,38.507,0,0,0,10755.967,755.967,10755.967
20160629,Hold,38.95,0,0,0,10755.967,755.967,10755.967
20160630,Buy,40.234,267,-10747.849239000001,267,8.118,750.596,10750.596
20160701,Hold,39.481,0,0,267,8.118,549.545,10549.545
20160705,Sell,37.523,-267,10013.631679500002,0,10021.749,21.749,10021.749
20160706,Hold,38.392,0,0,0,10021.749,21.749,10021.749
20160707,Hold,39.51,0,0,0,10021.749,21.749,10021.749
20160708,Buy,40.842,245,-10011.293144999998,245,10.456,16.746,10016.746
20160711,Hold,41.324,0,0,245,10.456,134.836,10134.836
20160712,Hold,41.189,0,0,245,10.456,101.761,10101.761
20160713,Hold,41.199,0,0,245,10.456,104.211,10104.211
20160714,Hold,41.034,0,0,245,10.456,63.786,10063.786
20160715,Sell,40.784,-245,9987.08396,0,9997.54,-2.46,9997.54
20160718,Hold,40.331,0,0,0,9997.54,-2.46,9997.54
20160719,Buy,40.794,244,-9958.712867999999,244,38.827,-7.437,9992.563
20160720,Hold,40.765,0,0,244,38.827,-14.513,9985.487
20160721,Hold,41.304,0,0,244,38.827,117.003,10117.003
20160722,Hold,41.651,0,0,244,38.827,201.671,10201.671
20160725,Hold,41.729,0,0,244,38.827,220.703,10220.703
20160726,Hold,43.224,0,0,244,38.827,585.483,10585.483
20160727,Hold,43.176,0,0,244,38.827,573.771,10573.771
20160728,Hold,43.456,0,0,244,38.827,642.091,10642.091
20160729,Hold,43.436,0,0,244,38.827,637.211,10637.211
20160801,Hold,43.986,0,0,244,38.827,771.411,10771.411
20160802,Hold,44.786,0,0,244,38.827,966.611,10966.611
20160803,Hold,45.056,0,0,244,38.827,1032.491,11032.491
20160804,Hold,45.336,0,0,244,38.827,1100.811,11100.811
20160805,Hold,45.712,0,0,244,38.827,1192.555,11192.555
20160808,Hold,45.837,0,0,244,38.827,1223.055,11223.055
20160809,Hold,46.233,0,0,244,38.827,1319.679,11319.679
20160810,Hold,46.369,0,0,244,38.827,1352.863,11352.863
20160811,Hold,46.648,0,0,244,38.827,1420.939,11420.939
20160812,Hold,46.698,0,0,244,38.827,1433.139,11433.139
20160815,Hold,46.187,0,0,244,38.827,1308.455,11308.455
20160816,Sell,45.935,-244,11202.535930000002,0,11241.363,1241.363,11241.363
20160817,Buy,46.359,242,-11224.487439,242,16.876,1235.754,11235.754
20160818,Hold,45.751,0,0,242,16.876,1088.618,11088.618
20160819,Sell,46.07,-242,11143.365530000001,0,11160.241,1160.241,11160.241
20160822,Buy,47.151,236,-11133.199818,236,27.042,1154.678,11154.678
20160823,Hold,46.783,0,0,236,27.042,1067.83,11067.83
20160824,Sell,46.34,-236,10930.771880000002,0,10957.813,957.813,10957.813
20160825,Hold,46.639,0,0,0,10957.813,957.813,10957.813
20160826,Buy,46.688,234,-10930.454496,234,27.359,952.351,10952.351
20160829,Sell,46.678,-234,10917.190674000001,0,10944.55,944.55,10944.55
20160830,Hold,46.485,0,0,0,10944.55,944.55,10944.55
20160831,Hold,46.562,0,0,0,10944.55,944.55,10944.55
20160901,Hold,46.542,0,0,0,10944.55,944.55,10944.55
20160902,Buy,46.542,235,-10942.838685,235,1.711,939.081,10939.081
20160906,Hold,47.797,0,0,235,1.711,1234.006,11234.006
20160907,Hold,47.362,0,0,235,1.711,1131.781,11131.781
20160908,Hold,47.478,0,0,235,1.711,1159.041,11159.041
20160909,Sell,45.685,-235,10730.6070125,0,10732.318,732.318,10732.318
20160912,Hold,46.407,0,0,0,10732.318,732.318,10732.318
20160913,Hold,45.837,0,0,0,10732.318,732.318,10732.318
20160914,Hold,45.288,0,0,0,10732.318,732.318,10732.318
20160915,Buy,44.902,238,-10692.019337999998,238,40.299,726.975,10726.975
20160916,Sell,45.877,-238,10913.266637,0,10953.565,953.565,10953.565
20160919,Buy,45.809,238,-10907.993271,238,45.572,948.114,10948.114
20160920,Hold,46.832,0,0,238,45.572,1191.588,11191.588
20160921,Hold,48.646,0,0,238,45.572,1623.32,11623.32
20160922,Hold,48.858,0,0,238,45.572,1673.776,11673.776
20160923,Hold,48.501,0,0,238,45.572,1588.81,11588.81
20160926,Hold,48.308,0,0,238,45.572,1542.876,11542.876
20160927,Hold,48.858,0,0,238,45.572,1673.776,11673.776
20160928,Hold,49.668,0,0,238,45.572,1866.556,11866.556
20160929,Hold,49.601,0,0,238,45.572,1850.61,11850.61
20160930,Hold,50.083,0,0,238,45.572,1965.326,11965.326
20161003,Hold,50.691,0,0,238,45.572,2110.03,12110.03
20161004,Hold,51.422,0,0,238,45.572,2284.008,12284.008
20161005,Hold,51.404,0,0,238,45.572,2279.724,12279.724
20161006,Hold,51.432,0,0,238,45.572,2286.388,12286.388
20161007,Hold,52.263,0,0,238,45.572,2484.166,12484.166
20161010,Hold,51.53,0,0,238,45.572,2309.712,12309.712
20161011,Sell,51.221,-238,12184.502701000001,0,12230.075,2230.075,12230.075
20161012,Hold,51.017,0,0,0,12230.075,2230.075,12230.075
20161013,Hold,50.981,0,0,0,12230.075,2230.075,12230.075
20161014,Hold,50.882,0,0,0,12230.075,2230.075,12230.075
20161017,Hold,50.864,0,0,0,12230.075,2230.075,12230.075
20161018,Hold,50.17,0,0,0,12230.075,2230.075,12230.075
20161019,Buy,50.621,241,-12205.7608305,241,24.314,2223.975,12223.975
20161020,Hold,50.179,0,0,241,24.314,2117.453,12117.453
20161021,Hold,50.961,0,0,241,24.314,2305.915,12305.915
20161024,Hold,51.115,0,0,241,24.314,2343.029,12343.029
20161025,Hold,50.921,0,0,241,24.314,2296.275,12296.275
20161026,Sell,51.241,-241,12342.9064595,0,12367.22,2367.22,12367.22
20161027,Hold,50.767,0,0,0,12367.22,2367.22,12367.22
20161028,Hold,50.864,0,0,0,12367.22,2367.22,12367.22
20161031,Hold,51.212,0,0,0,12367.22,2367.22,12367.22
20161101,Hold,49.33,0,0,0,12367.22,2367.22,12367.22
20161102,Hold,49.166,0,0,0,12367.22,2367.22,12367.22
20161103,Hold,48.646,0,0,0,12367.22,2367.22,12367.22
20161104,Buy,51.626,239,-12344.783307,239,22.437,2361.051,12361.051
20161107,Hold,52.504,0,0,239,22.437,2570.893,12570.893
20161108,Hold,52.078,0,0,239,22.437,2469.079,12469.079
20161109,Hold,51.568,0,0,239,22.437,2347.189,12347.189
20161110,Sell,51.492,-239,12300.434706,0,12322.872,2322.872,12322.872
20161111,Hold,51.674,0,0,0,12322.872,2322.872,12322.872
20161114,Hold,50.911,0,0,0,12322.872,2322.872,12322.872
20161115,Hold,51.269,0,0,0,12322.872,2322.872,12322.872
20161116,Hold,51.346,0,0,0,12322.872,2322.872,12322.872
20161117,Hold,51.308,0,0,0,12322.872,2322.872,12322.872
20161118,Hold,51.317,0,0,0,12322.872,2322.872,12322.872
20161121,Buy,51.925,237,-12312.378112499999,237,10.494,2316.719,12316.719
20161122,Hold,51.259,0,0,237,10.494,2158.877,12158.877
20161123,Hold,52.754,0,0,237,10.494,2513.192,12513.192
