,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Buy,172.38,57,-9830.57283,57,169.427,-4.913,9995.087
20200110,Hold,170.7,0,0.0,57,169.427,-100.673,9899.327
20200113,Hold,171.64,0,0.0,57,169.427,-47.093,9952.907
20200114,Sell,170.94,-57,9738.70821,0,9908.135,-91.865,9908.135
20200115,Buy,170.57,58,-9898.006529999999,58,10.129,-96.811,9903.189
20200116,Sell,172.95,-58,10026.084449999998,0,10036.213,36.213,10036.213
20200117,Hold,170.34,0,0.0,0,10036.213,36.213,10036.213
20200121,Hold,172.96,0,0.0,0,10036.213,36.213,10036.213
20200122,Hold,169.95,0,0.0,0,10036.213,36.213,10036.213
20200123,Hold,171.75,0,0.0,0,10036.213,36.213,10036.213
20200124,Hold,165.45,0,0.0,0,10036.213,36.213,10036.213
20200127,Hold,167.53,0,0.0,0,10036.213,36.213,10036.213
20200128,Hold,170.1,0,0.0,0,10036.213,36.213,10036.213
20200129,Buy,168.49,59,-9945.880454999999,59,90.333,31.243,10031.243
20200130,Sell,167.43,-59,9873.430815000002,0,9963.764,-36.236,9963.764
20200131,Hold,166.69,0,0.0,0,9963.764,-36.236,9963.764
20200203,Hold,166.28,0,0.0,0,9963.764,-36.236,9963.764
20200204,Hold,167.56,0,0.0,0,9963.764,-36.236,9963.764
20200205,Hold,165.64,0,0.0,0,9963.764,-36.236,9963.764
20200206,Hold,165.47,0,0.0,0,9963.764,-36.236,9963.764
20200207,Hold,165.81,0,0.0,0,9963.764,-36.236,9963.764
20200210,Hold,167.91,0,0.0,0,9963.764,-36.236,9963.764
20200211,Buy,170.43,58,-9889.88247,58,73.881,-41.179,9958.821
20200212,Hold,169.38,0,0.0,58,73.881,-102.079,9897.921
20200213,Hold,170.95,0,0.0,58,73.881,-11.019,9988.981
20200214,Hold,174.57,0,0.0,58,73.881,198.941,10198.941
20200218,Hold,178.26,0,0.0,58,73.881,412.961,10412.961
20200219,Sell,176.88,-58,10253.91048,0,10327.792,327.792,10327.792
20200220,Hold,174.27,0,0.0,0,10327.792,327.792,10327.792
20200221,Hold,159.99,0,0.0,0,10327.792,327.792,10327.792
20200224,Hold,163.07,0,0.0,0,10327.792,327.792,10327.792
20200225,Hold,160.09,0,0.0,0,10327.792,327.792,10327.792
20200226,Hold,156.25,0,0.0,0,10327.792,327.792,10327.792
20200227,Hold,152.31,0,0.0,0,10327.792,327.792,10327.792
20200228,Hold,154.53,0,0.0,0,10327.792,327.792,10327.792
20200302,Hold,159.32,0,0.0,0,10327.792,327.792,10327.792
20200303,Hold,155.74,0,0.0,0,10327.792,327.792,10327.792
20200304,Hold,153.8,0,0.0,0,10327.792,327.792,10327.792
20200305,Hold,150.49,0,0.0,0,10327.792,327.792,10327.792
20200306,Hold,139.53,0,0.0,0,10327.792,327.792,10327.792
20200309,Hold,144.19,0,0.0,0,10327.792,327.792,10327.792
20200310,Hold,144.64,0,0.0,0,10327.792,327.792,10327.792
20200311,Hold,131.4,0,0.0,0,10327.792,327.792,10327.792
20200312,Hold,142.25,0,0.0,0,10327.792,327.792,10327.792
20200313,Buy,127.85,80,-10233.114,80,94.678,322.678,10322.678
20200316,Sell,137.38,-80,10984.9048,0,11079.582,1079.582,11079.582
20200317,Buy,132.54,83,-11006.320409999998,83,73.262,1074.082,11074.082
20200318,Hold,134.39,0,0.0,83,73.262,1227.632,11227.632
20200319,Hold,135.81,0,0.0,83,73.262,1345.492,11345.492
20200320,Hold,131.26,0,0.0,83,73.262,967.842,10967.842
20200323,Sell,139.15,-83,11543.675275000001,0,11616.937,1616.937,11616.937
20200324,Buy,147.59,78,-11517.77601,78,99.161,1611.181,11611.181
20200325,Hold,149.88,0,0.0,78,99.161,1789.801,11789.801
20200326,Hold,150.83,0,0.0,78,99.161,1863.901,11863.901
20200327,Sell,149.44,-78,11650.49184,0,11749.653,1749.653,11749.653
20200330,Buy,150.67,77,-11607.390794999998,77,142.262,1743.852,11743.852
20200331,Sell,150.94,-77,11616.56881,0,11758.831,1758.831,11758.831
20200401,Hold,144.62,0,0.0,0,11758.831,1758.831,11758.831
20200402,Hold,137.47,0,0.0,0,11758.831,1758.831,11758.831
20200403,Hold,138.24,0,0.0,0,11758.831,1758.831,11758.831
20200406,Buy,148.79,78,-11611.422809999998,78,147.408,1753.028,11753.028
20200407,Hold,148.93,0,0.0,78,147.408,1763.948,11763.948
20200408,Hold,152.2,0,0.0,78,147.408,2019.008,12019.008
20200409,Hold,155.64,0,0.0,78,147.408,2287.328,12287.328
20200413,Hold,153.75,0,0.0,78,147.408,2139.908,12139.908
20200414,Hold,151.07,0,0.0,78,147.408,1930.868,11930.868
20200415,Sell,152.91,-78,11921.01651,0,12068.425,2068.425,12068.425
20200416,Buy,160.99,74,-11919.216629999999,74,149.208,2062.468,12062.468
20200417,Hold,158.34,0,0.0,74,149.208,1866.368,11866.368
20200420,Hold,157.69,0,0.0,74,149.208,1818.268,11818.268
20200421,Sell,156.64,-74,11585.56432,0,11734.773,1734.773,11734.773
20200422,Buy,155.89,75,-11697.595874999997,75,37.177,1728.927,11728.927
20200423,Sell,157.35,-75,11795.349375,0,11832.526,1832.526,11832.526
20200424,Hold,156.91,0,0.0,0,11832.526,1832.526,11832.526
20200427,Buy,158.88,74,-11762.998559999998,74,69.528,1826.648,11826.648
20200428,Sell,158.35,-74,11712.04105,0,11781.569,1781.569,11781.569
20200429,Hold,155.73,0,0.0,0,11781.569,1781.569,11781.569
20200430,Hold,153.06,0,0.0,0,11781.569,1781.569,11781.569
20200501,Hold,153.63,0,0.0,0,11781.569,1781.569,11781.569
20200504,Buy,154.89,76,-11777.525819999999,76,4.043,1775.683,11775.683
20200505,Sell,157.68,-76,11977.688160000002,0,11981.731,1981.731,11981.731
20200506,Hold,157.24,0,0.0,0,11981.731,1981.731,11981.731
20200507,Buy,157.68,75,-11831.912999999999,75,149.818,1975.818,11975.818
20200508,Hold,158.06,0,0.0,75,149.818,2004.318,12004.318
20200511,Hold,159.48,0,0.0,75,149.818,2110.818,12110.818
20200512,Sell,157.58,-75,11812.590750000003,0,11962.409,1962.409,11962.409
20200513,Hold,150.58,0,0.0,0,11962.409,1962.409,11962.409
20200514,Hold,156.87,0,0.0,0,11962.409,1962.409,11962.409
20200515,Buy,160.72,74,-11899.22664,74,63.182,1956.462,11956.462
20200518,Hold,159.11,0,0.0,74,63.182,1837.322,11837.322
20200519,Sell,159.31,-74,11783.045530000001,0,11846.228,1846.228,11846.228
20200520,Buy,160.2,73,-11700.447299999998,73,145.78,1840.38,11840.38
20200521,Hold,158.88,0,0.0,73,145.78,1744.02,11744.02
20200522,Hold,163.41,0,0.0,73,145.78,2074.71,12074.71
20200526,Hold,164.26,0,0.0,73,145.78,2136.76,12136.76
20200527,Hold,164.12,0,0.0,73,145.78,2126.54,12126.54
20200528,Hold,169.29,0,0.0,73,145.78,2503.95,12503.95
20200529,Hold,167.79,0,0.0,73,145.78,2394.45,12394.45
20200601,Hold,168.71,0,0.0,73,145.78,2461.61,12461.61
20200602,Hold,173.43,0,0.0,73,145.78,2806.17,12806.17
20200603,Hold,173.39,0,0.0,73,145.78,2803.25,12803.25
20200604,Hold,172.59,0,0.0,73,145.78,2744.85,12744.85
20200605,Sell,170.63,-73,12449.762005,0,12595.542,2595.542,12595.542
20200608,Hold,171.33,0,0.0,0,12595.542,2595.542,12595.542
20200609,Hold,175.08,0,0.0,0,12595.542,2595.542,12595.542
20200610,Buy,168.66,74,-12487.08042,74,108.462,2589.302,12589.302
20200611,Sell,169.48,-74,12535.24924,0,12643.711,2643.711,12643.711
20200612,Hold,164.06,0,0.0,0,12643.711,2643.711,12643.711
20200615,Hold,172.58,0,0.0,0,12643.711,2643.711,12643.711
20200616,Buy,168.22,75,-12622.80825,75,20.903,2637.403,12637.403
20200617,Hold,167.68,0,0.0,75,20.903,2596.903,12596.903
20200618,Sell,167.58,-75,12562.215750000003,0,12583.119,2583.119,12583.119
20200619,Buy,172.01,73,-12563.008365,73,20.11,2576.84,12576.84
20200622,Hold,174.11,0,0.0,73,20.11,2730.14,12730.14
20200623,Hold,169.9,0,0.0,73,20.11,2422.81,12422.81
20200624,Sell,167.09,-73,12191.471215,0,12211.581,2211.581,12211.581
20200625,Hold,171.46,0,0.0,0,12211.581,2211.581,12211.581
20200626,Hold,170.47,0,0.0,0,12211.581,2211.581,12211.581
20200629,Buy,167.81,72,-12088.361159999999,72,123.22,2205.54,12205.54
20200630,Hold,168.96,0,0.0,72,123.22,2288.34,12288.34
20200701,Hold,173.22,0,0.0,72,123.22,2595.06,12595.06
20200702,Hold,175.08,0,0.0,72,123.22,2728.98,12728.98
20200706,Hold,175.72,0,0.0,72,123.22,2775.06,12775.06
20200707,Hold,174.86,0,0.0,72,123.22,2713.14,12713.14
20200708,Hold,176.47,0,0.0,72,123.22,2829.06,12829.06
20200709,Hold,177.49,0,0.0,72,123.22,2902.5,12902.5
20200710,Hold,178.76,0,0.0,72,123.22,2993.94,12993.94
20200713,Sell,173.55,-72,12489.352200000001,0,12612.572,2612.572,12612.572
20200714,Buy,178.37,70,-12492.14295,70,120.43,2606.33,12606.33
20200715,Hold,176.43,0,0.0,70,120.43,2470.53,12470.53
20200716,Sell,176.51,-70,12349.522149999999,0,12469.952,2469.952,12469.952
20200717,Buy,177.57,70,-12436.11495,70,33.837,2463.737,12463.737
20200720,Hold,181.51,0,0.0,70,33.837,2739.537,12739.537
20200721,Hold,181.93,0,0.0,70,33.837,2768.937,12768.937
20200722,Hold,183.24,0,0.0,70,33.837,2860.637,12860.637
20200723,Hold,178.9,0,0.0,70,33.837,2556.837,12556.837
20200724,Sell,180.59,-70,12634.979350000001,0,12668.816,2668.816,12668.816
20200727,Hold,178.27,0,0.0,0,12668.816,2668.816,12668.816
20200728,Hold,179.77,0,0.0,0,12668.816,2668.816,12668.816
20200729,Buy,177.55,71,-12612.353025,71,56.463,2662.513,12662.513
20200730,Hold,180.25,0,0.0,71,56.463,2854.213,12854.213
20200731,Hold,180.81,0,0.0,71,56.463,2893.973,12893.973
20200803,Hold,181.78,0,0.0,71,56.463,2962.843,12962.843
20200804,Hold,187.23,0,0.0,71,56.463,3349.793,13349.793
20200805,Hold,184.98,0,0.0,71,56.463,3190.043,13190.043
20200806,Hold,185.77,0,0.0,71,56.463,3246.133,13246.133
20200807,Hold,183.13,0,0.0,71,56.463,3058.693,13058.693
20200810,Hold,187.03,0,0.0,71,56.463,3335.593,13335.593
20200811,Hold,190.28,0,0.0,71,56.463,3566.343,13566.343
20200812,Hold,192.92,0,0.0,71,56.463,3753.783,13753.783
20200813,Hold,194.01,0,0.0,71,56.463,3831.173,13831.173
20200814,Hold,195.07,0,0.0,71,56.463,3906.433,13906.433
20200817,Hold,198.18,0,0.0,71,56.463,4127.243,14127.243
20200818,Hold,196.29,0,0.0,71,56.463,3993.053,13993.053
20200819,Sell,191.67,-71,13601.765715000001,0,13658.229,3658.229,13658.229
20200820,Hold,190.83,0,0.0,0,13658.229,3658.229,13658.229
20200821,Hold,196.57,0,0.0,0,13658.229,3658.229,13658.229
20200824,Hold,197.46,0,0.0,0,13658.229,3658.229,13658.229
20200825,Buy,195.26,69,-13479.676469999999,69,178.552,3651.492,13651.492
20200826,Hold,197.65,0,0.0,69,178.552,3816.402,13816.402
20200827,Sell,195.31,-69,13469.651805,0,13648.204,3648.204,13648.204
20200828,Hold,194.88,0,0.0,0,13648.204,3648.204,13648.204
20200831,Hold,193.43,0,0.0,0,13648.204,3648.204,13648.204
20200901,Hold,196.74,0,0.0,0,13648.204,3648.204,13648.204
20200902,Hold,195.3,0,0.0,0,13648.204,3648.204,13648.204
20200903,Hold,191.16,0,0.0,0,13648.204,3648.204,13648.204
20200904,Hold,185.77,0,0.0,0,13648.204,3648.204,13648.204
20200908,Hold,188.24,0,0.0,0,13648.204,3648.204,13648.204
20200909,Hold,189.22,0,0.0,0,13648.204,3648.204,13648.204
20200910,Hold,189.92,0,0.0,0,13648.204,3648.204,13648.204
20200911,Buy,191.0,71,-13567.780499999999,71,80.424,3641.424,13641.424
20200914,Hold,193.67,0,0.0,71,80.424,3830.994,13830.994
20200915,Sell,191.24,-71,13571.250980000003,0,13651.675,3651.675,13651.675
20200916,Hold,187.14,0,0.0,0,13651.675,3651.675,13651.675
20200917,Hold,187.9,0,0.0,0,13651.675,3651.675,13651.675
20200918,Hold,183.15,0,0.0,0,13651.675,3651.675,13651.675
20200921,Hold,182.3,0,0.0,0,13651.675,3651.675,13651.675
