,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Hold,148.63,0,0,0,10000,0.0,10000.0
20170111,Hold,147.21,0,0,0,10000,0.0,10000.0
20170112,Hold,148.41,0,0,0,10000,0.0,10000.0
20170113,Hold,148.32,0,0,0,10000,0.0,10000.0
20170117,Hold,148.7,0,0,0,10000,0.0,10000.0
20170118,Buy,148.0,67,-9920.957999999999,67,79.042,-4.958,9995.042
20170119,Sell,147.62,-67,9885.59473,0,9964.637,-35.363,9964.637
20170120,Buy,148.63,67,-9963.189105,67,1.448,-40.342,9959.658
20170123,Sell,149.25,-67,9994.750125,0,9996.198,-3.802,9996.198
20170124,Hold,147.1,0,0,0,9996.198,-3.802,9996.198
20170125,Hold,146.23,0,0,0,9996.198,-3.802,9996.198
20170126,Hold,146.9,0,0,0,9996.198,-3.802,9996.198
20170127,Hold,145.64,0,0,0,9996.198,-3.802,9996.198
20170130,Hold,145.2,0,0,0,9996.198,-3.802,9996.198
20170131,Buy,144.96,68,-9862.20864,68,133.989,-8.731,9991.269
20170201,Sell,144.22,-68,9802.05652,0,9936.046,-63.954,9936.046
20170202,Buy,148.73,66,-9821.088089999997,66,114.958,-68.862,9931.138
20170203,Hold,146.2,0,0,66,114.958,-235.842,9764.158
20170206,Hold,146.95,0,0,66,114.958,-186.342,9813.658
20170207,Hold,147.9,0,0,66,114.958,-123.642,9876.358
20170208,Hold,150.25,0,0,66,114.958,31.458,10031.458
20170209,Hold,149.16,0,0,66,114.958,-40.482,9959.518
20170210,Hold,151.84,0,0,66,114.958,136.398,10136.398
20170213,Hold,149.77,0,0,66,114.958,-0.222,9999.778
20170214,Hold,149.26,0,0,66,114.958,-33.882,9966.118
20170215,Hold,150.05,0,0,66,114.958,18.258,10018.258
20170216,Hold,150.89,0,0,66,114.958,73.698,10073.698
20170217,Hold,149.83,0,0,66,114.958,3.738,10003.738
20170221,Hold,152.61,0,0,66,114.958,187.218,10187.218
20170222,Hold,152.86,0,0,66,114.958,203.718,10203.718
20170223,Hold,154.05,0,0,66,114.958,282.258,10282.258
20170224,Hold,154.49,0,0,66,114.958,311.298,10311.298
20170227,Hold,154.64,0,0,66,114.958,321.198,10321.198
20170228,Hold,154.31,0,0,66,114.958,299.418,10299.418
20170301,Sell,154.26,-66,10176.06942,0,10291.027,291.027,10291.027
20170302,Hold,153.19,0,0,0,10291.027,291.027,10291.027
