,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20180109,Hold,53.801,0,0,0,10000,0.0,10000.0
20180110,Hold,53.608,0,0,0,10000,0.0,10000.0
20180111,Hold,52.812,0,0,0,10000,0.0,10000.0
20180112,Hold,52.63,0,0,0,10000,0.0,10000.0
20180116,Hold,52.947,0,0,0,10000,0.0,10000.0
20180117,Hold,52.576,0,0,0,10000,0.0,10000.0
20180118,Hold,52.447,0,0,0,10000,0.0,10000.0
20180119,Hold,52.526,0,0,0,10000,0.0,10000.0
20180122,Buy,53.209,187,-9955.0580415,187,44.942,-4.975,9995.025
20180123,Hold,53.567,0,0,187,44.942,61.971,10061.971
20180124,Sell,53.27,-187,9956.509255,0,10001.451,1.451,10001.451
20180125,Hold,53.27,0,0,0,10001.451,1.451,10001.451
20180126,Hold,53.471,0,0,0,10001.451,1.451,10001.451
20180129,Hold,52.984,0,0,0,10001.451,1.451,10001.451
20180130,Hold,52.022,0,0,0,10001.451,1.451,10001.451
20180131,Buy,53.333,187,-9978.257635499998,187,23.194,-3.535,9996.465
20180201,Sell,51.779,-187,9677.831663500001,0,9701.025,-298.975,9701.025
20180202,Hold,51.838,0,0,0,9701.025,-298.975,9701.025
20180205,Hold,49.392,0,0,0,9701.025,-298.975,9701.025
20180206,Hold,50.034,0,0,0,9701.025,-298.975,9701.025
20180207,Hold,49.376,0,0,0,9701.025,-298.975,9701.025
20180208,Hold,48.213,0,0,0,9701.025,-298.975,9701.025
20180209,Hold,49.312,0,0,0,9701.025,-298.975,9701.025
20180212,Buy,49.071,197,-9671.8204935,197,29.205,-303.808,9696.192
20180213,Hold,48.939,0,0,197,29.205,-329.812,9670.188
20180214,Hold,49.418,0,0,197,29.205,-235.449,9764.551
20180215,Hold,50.241,0,0,197,29.205,-73.318,9926.682
20180216,Hold,50.122,0,0,197,29.205,-96.761,9903.239
20180220,Sell,50.069,-197,9858.661203500002,0,9887.866,-112.134,9887.866
20180221,Hold,48.646,0,0,0,9887.866,-112.134,9887.866
20180222,Hold,48.915,0,0,0,9887.866,-112.134,9887.866
20180223,Buy,49.575,199,-9870.357712500001,199,17.508,-117.067,9882.933
20180226,Hold,49.566,0,0,199,17.508,-118.858,9881.142
20180227,Sell,48.672,-199,9680.885135999999,0,9698.393,-301.607,9698.393
20180228,Buy,48.662,199,-9688.579869,199,9.814,-306.448,9693.552
20180301,Hold,48.761,0,0,199,9.814,-286.747,9713.253
20180302,Hold,48.431,0,0,199,9.814,-352.417,9647.583
20180305,Hold,48.967,0,0,199,9.814,-245.753,9754.247
20180306,Hold,49.161,0,0,199,9.814,-207.147,9792.853
20180307,Hold,50.241,0,0,199,9.814,7.773,10007.773
20180308,Hold,50.6,0,0,199,9.814,79.214,10079.214
20180309,Hold,51.484,0,0,199,9.814,255.13,10255.13
20180312,Hold,51.865,0,0,199,9.814,330.949,10330.949
20180313,Hold,51.702,0,0,199,9.814,298.512,10298.512
20180314,Hold,51.77,0,0,199,9.814,312.044,10312.044
20180315,Hold,51.856,0,0,199,9.814,329.158,10329.158
20180316,Hold,52.681,0,0,199,9.814,493.333,10493.333
20180319,Hold,52.326,0,0,199,9.814,422.688,10422.688
20180320,Hold,52.248,0,0,199,9.814,407.166,10407.166
20180321,Hold,51.96,0,0,199,9.814,349.854,10349.854
20180322,Sell,51.829,-199,10308.8140145,0,10318.628,318.628,10318.628
20180323,Hold,51.436,0,0,0,10318.628,318.628,10318.628
20180326,Buy,51.673,199,-10288.0684635,199,30.559,313.486,10313.486
20180327,Hold,52.198,0,0,199,30.559,417.961,10417.961
20180328,Hold,54.108,0,0,199,30.559,798.051,10798.051
20180329,Hold,53.836,0,0,199,30.559,743.923,10743.923
20180402,Hold,53.53,0,0,199,30.559,683.029,10683.029
20180403,Hold,54.301,0,0,199,30.559,836.458,10836.458
20180404,Hold,55.351,0,0,199,30.559,1045.408,11045.408
20180405,Hold,55.491,0,0,199,30.559,1073.268,11073.268
20180406,Hold,55.227,0,0,199,30.559,1020.732,11020.732
20180409,Sell,54.736,-199,10887.017768,0,10917.577,917.577,10917.577
20180410,Hold,54.87,0,0,0,10917.577,917.577,10917.577
20180411,Hold,54.842,0,0,0,10917.577,917.577,10917.577
20180412,Hold,53.959,0,0,0,10917.577,917.577,10917.577
20180413,Hold,54.196,0,0,0,10917.577,917.577,10917.577
20180416,Hold,54.142,0,0,0,10917.577,917.577,10917.577
20180417,Buy,54.765,199,-10903.6841175,199,13.893,912.128,10912.128
20180418,Sell,54.133,-199,10767.080766500001,0,10780.973,780.973,10780.973
20180419,Hold,53.172,0,0,0,10780.973,780.973,10780.973
20180420,Hold,52.731,0,0,0,10780.973,780.973,10780.973
20180423,Hold,53.023,0,0,0,10780.973,780.973,10780.973
20180424,Buy,52.795,204,-10775.56509,204,5.408,775.588,10775.588
20180425,Hold,52.976,0,0,204,5.408,812.512,10812.512
20180426,Hold,53.511,0,0,204,5.408,921.652,10921.652
20180427,Hold,54.318,0,0,204,5.408,1086.28,11086.28
20180430,Hold,54.098,0,0,204,5.408,1041.4,11041.4
20180501,Hold,54.291,0,0,204,5.408,1080.772,11080.772
20180502,Sell,53.836,-204,10977.052728,0,10982.461,982.461,10982.461
20180503,Hold,53.87,0,0,0,10982.461,982.461,10982.461
20180504,Buy,54.562,201,-10972.445480999999,201,10.016,976.978,10976.978
20180507,Hold,54.186,0,0,201,10.016,901.402,10901.402
20180508,Hold,54.423,0,0,201,10.016,949.039,10949.039
20180509,Hold,55.58,0,0,201,10.016,1181.596,11181.596
20180510,Hold,55.227,0,0,201,10.016,1110.643,11110.643
20180511,Sell,54.791,-201,11007.4845045,0,11017.5,1017.5,11017.5
20180514,Hold,54.133,0,0,0,11017.5,1017.5,11017.5
20180515,Hold,53.462,0,0,0,11017.5,1017.5,11017.5
20180516,Hold,52.768,0,0,0,11017.5,1017.5,11017.5
20180517,Hold,52.293,0,0,0,11017.5,1017.5,11017.5
20180518,Hold,52.452,0,0,0,11017.5,1017.5,11017.5
20180521,Buy,52.759,208,-10979.358935999999,208,38.141,1012.013,11012.013
20180522,Hold,53.049,0,0,208,38.141,1072.333,11072.333
20180523,Hold,54.047,0,0,208,38.141,1279.917,11279.917
20180524,Hold,53.723,0,0,208,38.141,1212.525,11212.525
20180525,Hold,53.934,0,0,208,38.141,1256.413,11256.413
20180529,Hold,53.967,0,0,208,38.141,1263.277,11263.277
20180530,Hold,55.622,0,0,208,38.141,1607.517,11607.517
20180531,Hold,56.139,0,0,208,38.141,1715.053,11715.053
20180601,Hold,56.158,0,0,208,38.141,1719.005,11719.005
20180604,Hold,56.854,0,0,208,38.141,1863.773,11863.773
20180605,Sell,55.91,-208,11623.46536,0,11661.607,1661.607,11661.607
20180606,Buy,56.447,206,-11633.896041,206,27.711,1655.793,11655.793
