,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Buy,55.929,178,-9960.339681000001,178,39.66,-4.978,9995.022
20210112,Hold,56.565,0,0.0,178,39.66,108.23,10108.23
20210113,Hold,57.74,0,0.0,178,39.66,317.38,10317.38
20210114,Hold,58.251,0,0.0,178,39.66,408.338,10408.338
20210115,Hold,59.696,0,0.0,178,39.66,665.548,10665.548
20210119,Sell,58.108,-178,10338.052388,0,10377.713,377.713,10377.713
20210120,Buy,58.877,176,-10367.533176,176,10.18,372.532,10372.532
20210121,Hold,59.254,0,0.0,176,10.18,438.884,10438.884
20210122,Sell,58.985,-176,10376.16932,0,10386.349,386.349,10386.349
20210125,Buy,59.552,174,-10367.229024,174,19.12,381.168,10381.168
20210126,Hold,59.841,0,0.0,174,19.12,431.454,10431.454
20210127,Sell,58.636,-174,10197.562668,0,10216.682,216.682,10216.682
20210128,Buy,59.571,171,-10191.7343205,171,24.948,211.589,10211.589
20210129,Sell,59.601,-171,10186.675114500002,0,10211.623,211.623,10211.623
20210201,Buy,59.995,170,-10204.249575,170,7.374,206.524,10206.524
20210202,Hold,59.32,0,0.0,170,7.374,91.774,10091.774
20210203,Hold,60.573,0,0.0,170,7.374,304.784,10304.784
20210204,Hold,62.134,0,0.0,170,7.374,570.154,10570.154
20210205,Hold,62.587,0,0.0,170,7.374,647.164,10647.164
20210208,Hold,65.043,0,0.0,170,7.374,1064.684,11064.684
20210209,Hold,63.589,0,0.0,170,7.374,817.504,10817.504
20210210,Hold,64.928,0,0.0,170,7.374,1045.134,11045.134
20210211,Hold,64.755,0,0.0,170,7.374,1015.724,11015.724
20210212,Hold,65.015,0,0.0,170,7.374,1059.924,11059.924
20210216,Sell,64.61,-170,10978.208150000002,0,10985.582,985.582,10985.582
20210217,Hold,64.118,0,0.0,0,10985.582,985.582,10985.582
20210218,Hold,64.177,0,0.0,0,10985.582,985.582,10985.582
20210219,Buy,64.368,170,-10948.03128,170,37.551,980.111,10980.111
20210222,Hold,64.956,0,0.0,170,37.551,1080.071,11080.071
20210223,Hold,66.171,0,0.0,170,37.551,1286.621,11286.621
20210224,Hold,66.72,0,0.0,170,37.551,1379.951,11379.951
20210225,Sell,64.293,-170,10924.345095000002,0,10961.896,961.896,10961.896
20210226,Hold,64.148,0,0.0,0,10961.896,961.896,10961.896
20210301,Hold,63.916,0,0.0,0,10961.896,961.896,10961.896
20210302,Buy,64.63,169,-10927.931234999998,169,33.964,956.434,10956.434
20210303,Hold,66.094,0,0.0,169,33.964,1203.85,11203.85
20210304,Hold,65.574,0,0.0,169,33.964,1115.97,11115.97
20210305,Hold,66.729,0,0.0,169,33.964,1311.165,11311.165
20210308,Hold,68.32,0,0.0,169,33.964,1580.044,11580.044
20210309,Hold,68.56,0,0.0,169,33.964,1620.604,11620.604
20210310,Hold,68.3,0,0.0,169,33.964,1576.664,11576.664
20210311,Hold,69.398,0,0.0,169,33.964,1762.226,11762.226
20210312,Hold,70.883,0,0.0,169,33.964,2013.191,12013.191
20210315,Hold,73.349,0,0.0,169,33.964,2429.945,12429.945
20210316,Hold,71.094,0,0.0,169,33.964,2048.85,12048.85
20210317,Sell,70.901,-169,11976.2778655,0,12010.242,2010.242,12010.242
20210318,Hold,70.593,0,0.0,0,12010.242,2010.242,12010.242
20210319,Hold,68.55,0,0.0,0,12010.242,2010.242,12010.242
20210322,Hold,69.621,0,0.0,0,12010.242,2010.242,12010.242
20210323,Hold,67.915,0,0.0,0,12010.242,2010.242,12010.242
20210324,Hold,68.656,0,0.0,0,12010.242,2010.242,12010.242
20210325,Buy,69.896,171,-11958.192108,171,52.05,2004.266,12004.266
20210326,Hold,70.217,0,0.0,171,52.05,2059.157,12059.157
20210329,Hold,70.247,0,0.0,171,52.05,2064.287,12064.287
20210330,Hold,70.111,0,0.0,171,52.05,2041.031,12041.031
20210331,Sell,69.965,-171,11958.032992500002,0,12010.083,2010.083,12010.083
20210401,Hold,70.751,0,0.0,0,12010.083,2010.083,12010.083
20210405,Hold,69.868,0,0.0,0,12010.083,2010.083,12010.083
20210406,Hold,69.858,0,0.0,0,12010.083,2010.083,12010.083
20210407,Buy,70.061,171,-11986.4212155,171,23.662,2004.093,12004.093
20210408,Sell,69.742,-171,11919.919059000002,0,11943.581,1943.581,11943.581
20210409,Hold,69.779,0,0.0,0,11943.581,1943.581,11943.581
20210412,Buy,69.314,172,-11927.969003999997,172,15.612,1937.62,11937.62
20210413,Hold,70.071,0,0.0,172,15.612,2067.824,12067.824
20210414,Sell,69.673,-172,11977.764122000002,0,11993.376,1993.376,11993.376
20210415,Buy,70.528,169,-11925.191616000002,169,68.185,1987.417,11987.417
20210416,Hold,70.859,0,0.0,169,68.185,2043.356,12043.356
20210419,Hold,70.8,0,0.0,169,68.185,2033.385,12033.385
20210420,Hold,72.122,0,0.0,169,68.185,2256.803,12256.803
20210421,Hold,72.753,0,0.0,169,68.185,2363.442,12363.442
20210422,Sell,71.956,-169,12154.483718000001,0,12222.668,2222.668,12222.668
20210423,Buy,72.869,167,-12175.2075615,167,47.461,2216.584,12216.584
20210426,Sell,72.627,-167,12122.6446455,0,12170.105,2170.105,12170.105
20210427,Hold,72.122,0,0.0,0,12170.105,2170.105,12170.105
20210428,Hold,71.966,0,0.0,0,12170.105,2170.105,12170.105
20210429,Hold,71.344,0,0.0,0,12170.105,2170.105,12170.105
20210430,Hold,72.607,0,0.0,0,12170.105,2170.105,12170.105
20210503,Hold,71.363,0,0.0,0,12170.105,2170.105,12170.105
20210504,Hold,69.955,0,0.0,0,12170.105,2170.105,12170.105
20210505,Hold,70.237,0,0.0,0,12170.105,2170.105,12170.105
20210506,Buy,71.208,170,-12111.41268,170,58.693,2164.053,12164.053
20210507,Hold,72.413,0,0.0,170,58.693,2368.903,12368.903
20210510,Hold,72.062,0,0.0,170,58.693,2309.233,12309.233
20210511,Hold,72.394,0,0.0,170,58.693,2365.673,12365.673
20210512,Sell,69.955,-170,11886.403825000001,0,11945.096,1945.096,11945.096
20210513,Hold,71.85,0,0.0,0,11945.096,1945.096,11945.096
20210514,Buy,71.946,165,-11877.025544999999,165,68.071,1939.161,11939.161
20210517,Hold,71.432,0,0.0,165,68.071,1854.351,11854.351
20210518,Hold,71.956,0,0.0,165,68.071,1940.811,11940.811
20210519,Sell,71.363,-165,11769.007552500001,0,11837.078,1837.078,11837.078
20210520,Buy,72.481,163,-11820.310201499999,163,16.768,1831.171,11831.171
20210521,Hold,73.384,0,0.0,163,16.768,1978.36,11978.36
20210524,Hold,74.046,0,0.0,163,16.768,2086.266,12086.266
20210525,Hold,73.84,0,0.0,163,16.768,2052.688,12052.688
20210526,Hold,74.502,0,0.0,163,16.768,2160.594,12160.594
