,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20130109,Buy,12.585,794,-9997.486245,794,2.514,-4.996,9995.004
20130110,Hold,12.618,0,0.0,794,2.514,21.206,10021.206
20130111,Sell,12.492,-794,9913.688676000002,0,9916.202,-83.798,9916.202
20130114,Hold,12.363,0,0.0,0,9916.202,-83.798,9916.202
20130115,Buy,12.516,791,-9905.106078,791,11.096,-88.748,9911.252
20130116,Sell,12.531,-791,9907.0649895,0,9918.161,-81.839,9918.161
20130117,Hold,12.404,0,0.0,0,9918.161,-81.839,9918.161
20130118,Buy,12.492,793,-9911.109078,793,7.052,-86.792,9913.208
20130122,Hold,12.531,0,0.0,793,7.052,-55.865,9944.135
20130123,Hold,12.64,0,0.0,793,7.052,30.572,10030.572
20130124,Hold,12.681,0,0.0,793,7.052,63.085,10063.085
20130125,Hold,12.921,0,0.0,793,7.052,253.405,10253.405
20130128,Hold,12.904,0,0.0,793,7.052,239.924,10239.924
20130129,Sell,12.806,-793,10150.080421,0,10157.133,157.133,10157.133
20130130,Hold,12.599,0,0.0,0,10157.133,157.133,10157.133
20130131,Hold,12.65,0,0.0,0,10157.133,157.133,10157.133
20130201,Hold,12.396,0,0.0,0,10157.133,157.133,10157.133
20130204,Hold,12.372,0,0.0,0,10157.133,157.133,10157.133
20130205,Hold,12.344,0,0.0,0,10157.133,157.133,10157.133
20130206,Buy,12.387,819,-10150.025476499999,819,7.107,152.06,10152.06
20130207,Hold,12.412,0,0.0,819,7.107,172.535,10172.535
20130208,Hold,12.577,0,0.0,819,7.107,307.67,10307.67
20130211,Hold,12.681,0,0.0,819,7.107,392.846,10392.846
20130212,Hold,12.874,0,0.0,819,7.107,550.913,10550.913
20130213,Hold,12.785,0,0.0,819,7.107,478.022,10478.022
20130214,Sell,12.865,-819,10531.1667825,0,10538.274,538.274,10538.274
20130215,Hold,12.845,0,0.0,0,10538.274,538.274,10538.274
20130219,Hold,12.865,0,0.0,0,10538.274,538.274,10538.274
20130220,Hold,12.681,0,0.0,0,10538.274,538.274,10538.274
20130221,Hold,12.404,0,0.0,0,10538.274,538.274,10538.274
20130222,Hold,12.734,0,0.0,0,10538.274,538.274,10538.274
20130225,Hold,12.412,0,0.0,0,10538.274,538.274,10538.274
20130226,Hold,12.387,0,0.0,0,10538.274,538.274,10538.274
20130227,Buy,12.508,842,-10537.001867999998,842,1.272,533.008,10533.008
20130228,Hold,12.448,0,0.0,842,1.272,482.488,10482.488
20130301,Hold,12.433,0,0.0,842,1.272,469.858,10469.858
20130304,Hold,12.531,0,0.0,842,1.272,552.374,10552.374
20130305,Hold,12.522,0,0.0,842,1.272,544.796,10544.796
20130306,Hold,12.352,0,0.0,842,1.272,401.656,10401.656
20130307,Hold,12.456,0,0.0,842,1.272,489.224,10489.224
20130308,Hold,12.667,0,0.0,842,1.272,666.886,10666.886
20130311,Hold,12.913,0,0.0,842,1.272,874.018,10874.018
20130312,Hold,12.865,0,0.0,842,1.272,833.602,10833.602
20130313,Hold,12.971,0,0.0,842,1.272,922.854,10922.854
20130314,Hold,13.097,0,0.0,842,1.272,1028.946,11028.946
20130315,Hold,13.07,0,0.0,842,1.272,1006.212,11006.212
20130318,Sell,12.987,-842,10929.586473000001,0,10930.859,930.859,10930.859
20130319,Hold,12.828,0,0.0,0,10930.859,930.859,10930.859
20130320,Hold,12.688,0,0.0,0,10930.859,930.859,10930.859
20130321,Hold,12.599,0,0.0,0,10930.859,930.859,10930.859
