,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Hold,34.913,0,0,0,10000,0.0,10000.0
20160112,Hold,34.417,0,0,0,10000,0.0,10000.0
20160113,Hold,34.178,0,0,0,10000,0.0,10000.0
20160114,Hold,32.695,0,0,0,10000,0.0,10000.0
20160115,Hold,33.084,0,0,0,10000,0.0,10000.0
20160119,Hold,32.514,0,0,0,10000,0.0,10000.0
20160120,Hold,31.654,0,0,0,10000,0.0,10000.0
20160121,Hold,32.12,0,0,0,10000,0.0,10000.0
20160122,Buy,32.539,307,-9994.467736499999,307,5.532,-4.995,9995.005
20160125,Hold,32.422,0,0,307,5.532,-40.914,9959.086
20160126,Hold,33.32,0,0,307,5.532,234.772,10234.772
20160127,Hold,33.531,0,0,307,5.532,299.549,10299.549
20160128,Sell,33.281,-307,10212.1583665,0,10217.691,217.691,10217.691
20160129,Buy,32.991,309,-10199.316109499998,309,18.375,212.594,10212.594
20160201,Sell,33.093,-309,10220.6241315,0,10238.999,238.999,10238.999
20160202,Hold,33.346,0,0,0,10238.999,238.999,10238.999
20160203,Hold,33.145,0,0,0,10238.999,238.999,10238.999
20160204,Hold,33.045,0,0,0,10238.999,238.999,10238.999
20160205,Hold,32.857,0,0,0,10238.999,238.999,10238.999
20160208,Hold,31.384,0,0,0,10238.999,238.999,10238.999
20160209,Hold,31.663,0,0,0,10238.999,238.999,10238.999
20160210,Hold,30.879,0,0,0,10238.999,238.999,10238.999
20160211,Hold,30.282,0,0,0,10238.999,238.999,10238.999
20160212,Hold,30.667,0,0,0,10238.999,238.999,10238.999
20160216,Buy,31.468,325,-10232.21355,325,6.785,233.885,10233.885
20160217,Hold,31.519,0,0,325,6.785,250.46,10250.46
20160218,Hold,31.509,0,0,325,6.785,247.21,10247.21
20160219,Hold,31.864,0,0,325,6.785,362.585,10362.585
20160222,Hold,31.562,0,0,325,6.785,264.435,10264.435
20160223,Hold,31.711,0,0,325,6.785,312.86,10312.86
20160224,Hold,32.386,0,0,325,6.785,532.235,10532.235
20160225,Hold,32.903,0,0,325,6.785,700.26,10700.26
20160226,Hold,32.451,0,0,325,6.785,553.36,10553.36
20160229,Hold,32.739,0,0,325,6.785,646.96,10646.96
20160301,Hold,33.784,0,0,325,6.785,986.585,10986.585
20160302,Hold,34.08,0,0,325,6.785,1082.785,11082.785
20160303,Hold,34.474,0,0,325,6.785,1210.835,11210.835
20160304,Hold,34.686,0,0,325,6.785,1279.735,11279.735
20160307,Hold,34.952,0,0,325,6.785,1366.185,11366.185
20160308,Hold,34.922,0,0,325,6.785,1356.435,11356.435
20160309,Hold,35.165,0,0,325,6.785,1435.41,11435.41
20160310,Hold,35.342,0,0,325,6.785,1492.935,11492.935
20160311,Hold,35.612,0,0,325,6.785,1580.685,11580.685
20160314,Hold,35.511,0,0,325,6.785,1547.86,11547.86
20160315,Hold,35.527,0,0,325,6.785,1553.06,11553.06
