,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20140109,Buy,107.96,92,-9937.28616,92,62.714,-4.966,9995.034
20140110,Hold,107.6,0,0.0,92,62.714,-38.086,9961.914
20140113,Hold,107.93,0,0.0,92,62.714,-7.726,9992.274
20140114,Hold,108.71,0,0.0,92,62.714,64.034,10064.034
20140115,Hold,108.9,0,0.0,92,62.714,81.514,10081.514
20140116,Hold,109.49,0,0.0,92,62.714,135.794,10135.794
20140117,Sell,109.35,-92,10055.169899999999,0,10117.884,117.884,10117.884
20140121,Buy,110.08,91,-10022.28864,91,95.595,112.875,10112.875
20140122,Sell,109.01,-91,9914.950045,0,10010.545,10.545,10010.545
20140123,Hold,108.31,0,0.0,0,10010.545,10.545,10010.545
20140124,Hold,106.66,0,0.0,0,10010.545,10.545,10010.545
20140127,Hold,105.77,0,0.0,0,10010.545,10.545,10010.545
20140128,Hold,105.11,0,0.0,0,10010.545,10.545,10010.545
20140129,Hold,105.33,0,0.0,0,10010.545,10.545,10010.545
20140130,Buy,106.45,93,-9904.799925,93,105.745,5.595,10005.595
20140131,Hold,107.2,0,0.0,93,105.745,75.345,10075.345
20140203,Sell,105.33,-93,9790.792155000001,0,9896.537,-103.463,9896.537
20140204,Buy,106.49,92,-9801.97854,92,94.559,-108.361,9891.639
20140205,Hold,107.06,0,0.0,92,94.559,-55.921,9944.079
20140206,Hold,108.53,0,0.0,92,94.559,79.319,10079.319
20140207,Hold,109.54,0,0.0,92,94.559,172.239,10172.239
20140210,Hold,110.0,0,0.0,92,94.559,214.559,10214.559
20140211,Hold,110.54,0,0.0,92,94.559,264.239,10264.239
20140212,Hold,110.29,0,0.0,92,94.559,241.239,10241.239
20140213,Hold,111.12,0,0.0,92,94.559,317.599,10317.599
20140214,Hold,112.35,0,0.0,92,94.559,430.759,10430.759
20140218,Hold,111.92,0,0.0,92,94.559,391.199,10391.199
20140219,Hold,112.23,0,0.0,92,94.559,419.719,10419.719
20140220,Hold,111.94,0,0.0,92,94.559,393.039,10393.039
20140221,Sell,112.04,-92,10302.526160000001,0,10397.085,397.085,10397.085
20140224,Buy,112.19,92,-10326.640739999999,92,70.444,391.924,10391.924
20140225,Sell,112.53,-92,10347.583620000001,0,10418.028,418.028,10418.028
20140226,Buy,113.07,92,-10407.641219999998,92,10.387,412.827,10412.827
20140227,Hold,112.38,0,0.0,92,10.387,349.347,10349.347
20140228,Hold,112.57,0,0.0,92,10.387,366.827,10366.827
20140303,Hold,114.77,0,0.0,92,10.387,569.227,10569.227
20140304,Hold,115.26,0,0.0,92,10.387,614.307,10614.307
20140305,Hold,115.64,0,0.0,92,10.387,649.267,10649.267
20140306,Sell,114.59,-92,10537.008860000002,0,10547.396,547.396,10547.396
20140307,Hold,113.26,0,0.0,0,10547.396,547.396,10547.396
20140310,Hold,113.14,0,0.0,0,10547.396,547.396,10547.396
20140311,Hold,113.16,0,0.0,0,10547.396,547.396,10547.396
20140312,Hold,114.14,0,0.0,0,10547.396,547.396,10547.396
20140313,Hold,113.22,0,0.0,0,10547.396,547.396,10547.396
20140314,Hold,113.43,0,0.0,0,10547.396,547.396,10547.396
20140317,Buy,114.07,92,-10499.687219999998,92,47.708,542.148,10542.148
20140318,Hold,114.41,0,0.0,92,47.708,573.428,10573.428
20140319,Sell,112.15,-92,10312.641100000003,0,10360.349,360.349,10360.349
20140320,Hold,113.23,0,0.0,0,10360.349,360.349,10360.349
20140321,Buy,113.04,91,-10291.78332,91,68.566,355.206,10355.206
20140324,Sell,113.22,-91,10297.86849,0,10366.435,366.435,10366.435
20140325,Buy,113.84,91,-10364.61972,91,1.815,361.255,10361.255
20140326,Sell,111.74,-91,10163.25583,0,10165.071,165.071,10165.071
20140327,Buy,113.71,89,-10125.250094999998,89,39.821,160.011,10160.011
20140328,Hold,115.06,0,0.0,89,39.821,280.161,10280.161
20140331,Hold,114.88,0,0.0,89,39.821,264.141,10264.141
20140401,Hold,115.34,0,0.0,89,39.821,305.081,10305.081
20140402,Hold,115.26,0,0.0,89,39.821,297.961,10297.961
20140403,Hold,115.54,0,0.0,89,39.821,322.881,10322.881
20140404,Hold,116.33,0,0.0,89,39.821,393.191,10393.191
20140407,Hold,116.91,0,0.0,89,39.821,444.811,10444.811
20140408,Hold,117.33,0,0.0,89,39.821,482.191,10482.191
20140409,Hold,117.38,0,0.0,89,39.821,486.641,10486.641
20140410,Hold,117.1,0,0.0,89,39.821,461.721,10461.721
20140411,Hold,117.17,0,0.0,89,39.821,467.951,10467.951
20140414,Hold,118.02,0,0.0,89,39.821,543.601,10543.601
20140415,Hold,119.76,0,0.0,89,39.821,698.461,10698.461
20140416,Hold,119.82,0,0.0,89,39.821,703.801,10703.801
20140417,Hold,119.43,0,0.0,89,39.821,669.091,10669.091
20140421,Hold,119.9,0,0.0,89,39.821,710.921,10710.921
20140422,Hold,119.65,0,0.0,89,39.821,688.671,10688.671
20140423,Hold,119.91,0,0.0,89,39.821,711.811,10711.811
20140424,Hold,120.05,0,0.0,89,39.821,724.271,10724.271
20140425,Hold,119.94,0,0.0,89,39.821,714.481,10714.481
20140428,Hold,120.25,0,0.0,89,39.821,742.071,10742.071
20140429,Hold,120.76,0,0.0,89,39.821,787.461,10787.461
20140430,Hold,121.35,0,0.0,89,39.821,839.971,10839.971
20140501,Hold,121.39,0,0.0,89,39.821,843.531,10843.531
20140502,Hold,120.7,0,0.0,89,39.821,782.121,10782.121
