,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,143.6,69,-9913.3542,69,86.646,-4.954,9995.046
20190110,Hold,145.22,0,0.0,69,86.646,106.826,10106.826
20190111,Hold,143.87,0,0.0,69,86.646,13.676,10013.676
20190114,Sell,143.57,-69,9901.376835000001,0,9988.023,-11.977,9988.023
20190115,Buy,143.56,69,-9910.592819999998,69,77.43,-16.93,9983.07
20190116,Hold,144.66,0,0.0,69,77.43,58.97,10058.97
20190117,Hold,147.18,0,0.0,69,77.43,232.85,10232.85
20190118,Hold,145.84,0,0.0,69,77.43,140.39,10140.39
20190122,Hold,145.31,0,0.0,69,77.43,103.82,10103.82
20190123,Hold,145.91,0,0.0,69,77.43,145.22,10145.22
20190124,Hold,147.43,0,0.0,69,77.43,250.1,10250.1
20190125,Hold,148.16,0,0.0,69,77.43,300.47,10300.47
20190128,Hold,149.35,0,0.0,69,77.43,382.58,10382.58
20190129,Hold,150.3,0,0.0,69,77.43,448.13,10448.13
20190130,Hold,151.8,0,0.0,69,77.43,551.63,10551.63
20190131,Hold,154.78,0,0.0,69,77.43,757.25,10757.25
20190201,Sell,150.1,-69,10351.72155,0,10429.151,429.151,10429.151
20190204,Buy,152.91,68,-10403.07894,68,26.072,423.952,10423.952
20190205,Hold,154.31,0,0.0,68,26.072,519.152,10519.152
20190206,Hold,153.1,0,0.0,68,26.072,436.872,10436.872
20190207,Hold,155.04,0,0.0,68,26.072,568.792,10568.792
20190208,Hold,154.31,0,0.0,68,26.072,519.152,10519.152
20190211,Hold,155.93,0,0.0,68,26.072,629.312,10629.312
20190212,Hold,154.5,0,0.0,68,26.072,532.072,10532.072
20190213,Hold,156.08,0,0.0,68,26.072,639.512,10639.512
20190214,Hold,156.34,0,0.0,68,26.072,657.192,10657.192
20190215,Sell,155.58,-68,10574.150280000002,0,10600.223,600.223,10600.223
20190219,Hold,154.12,0,0.0,0,10600.223,600.223,10600.223
20190220,Hold,151.51,0,0.0,0,10600.223,600.223,10600.223
20190221,Buy,154.86,68,-10535.74524,68,64.477,594.957,10594.957
20190222,Hold,156.34,0,0.0,68,64.477,695.597,10695.597
20190225,Hold,155.65,0,0.0,68,64.477,648.677,10648.677
20190226,Sell,154.84,-68,10523.855440000001,0,10588.333,588.333,10588.333
20190227,Hold,153.63,0,0.0,0,10588.333,588.333,10588.333
20190228,Hold,153.63,0,0.0,0,10588.333,588.333,10588.333
20190301,Hold,150.43,0,0.0,0,10588.333,588.333,10588.333
20190304,Hold,148.77,0,0.0,0,10588.333,588.333,10588.333
20190305,Hold,149.65,0,0.0,0,10588.333,588.333,10588.333
20190306,Hold,149.39,0,0.0,0,10588.333,588.333,10588.333
