,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Hold,30.769,0,0,0,10000,0.0,10000.0
20150112,Buy,31.709,315,-9993.329167499998,315,6.671,-4.994,9995.006
20150113,Sell,30.808,-315,9699.66774,0,9706.339,-293.661,9706.339
20150114,Hold,27.973,0,0,0,9706.339,-293.661,9706.339
20150115,Hold,27.384,0,0,0,9706.339,-293.661,9706.339
20150116,Hold,27.965,0,0,0,9706.339,-293.661,9706.339
20150120,Hold,26.992,0,0,0,9706.339,-293.661,9706.339
20150121,Hold,27.25,0,0,0,9706.339,-293.661,9706.339
20150122,Buy,27.798,348,-9678.540852,348,27.798,-298.498,9701.502
20150123,Hold,27.877,0,0,348,27.798,-271.006,9728.994
20150126,Hold,28.079,0,0,348,27.798,-200.71,9799.29
20150127,Hold,28.388,0,0,348,27.798,-93.178,9906.822
20150128,Hold,28.115,0,0,348,27.798,-188.182,9811.818
20150129,Hold,28.643,0,0,348,27.798,-4.438,9995.562
20150130,Hold,27.98,0,0,348,27.798,-235.162,9764.838
20150202,Hold,28.045,0,0,348,27.798,-212.542,9787.458
20150203,Hold,28.396,0,0,348,27.798,-90.394,9909.606
20150204,Hold,28.796,0,0,348,27.798,48.806,10048.806
20150205,Hold,29.2,0,0,348,27.798,189.398,10189.398
20150206,Hold,29.503,0,0,348,27.798,294.842,10294.842
20150209,Hold,29.694,0,0,348,27.798,361.31,10361.31
20150210,Hold,30.102,0,0,348,27.798,503.294,10503.294
20150211,Hold,30.458,0,0,348,27.798,627.182,10627.182
20150212,Hold,31.075,0,0,348,27.798,841.898,10841.898
20150213,Hold,31.103,0,0,348,27.798,851.642,10851.642
20150217,Hold,31.23,0,0,348,27.798,895.838,10895.838
20150218,Hold,31.151,0,0,348,27.798,868.346,10868.346
20150219,Hold,31.182,0,0,348,27.798,879.134,10879.134
20150220,Hold,31.334,0,0,348,27.798,932.03,10932.03
20150223,Sell,30.966,-348,10770.779916,0,10798.578,798.578,10798.578
20150224,Hold,30.49,0,0,0,10798.578,798.578,10798.578
20150225,Hold,30.497,0,0,0,10798.578,798.578,10798.578
20150226,Hold,30.102,0,0,0,10798.578,798.578,10798.578
20150227,Buy,30.42,354,-10774.064339999999,354,24.513,793.193,10793.193
20150302,Hold,31.389,0,0,354,24.513,1136.219,11136.219
20150303,Hold,31.452,0,0,354,24.513,1158.521,11158.521
20150304,Hold,31.67,0,0,354,24.513,1235.693,11235.693
20150305,Hold,31.612,0,0,354,24.513,1215.161,11215.161
20150306,Hold,31.589,0,0,354,24.513,1207.019,11207.019
20150309,Hold,31.462,0,0,354,24.513,1162.061,11162.061
20150310,Hold,31.923,0,0,354,24.513,1325.255,11325.255
20150311,Hold,31.893,0,0,354,24.513,1314.635,11314.635
20150312,Hold,32.569,0,0,354,24.513,1553.939,11553.939
20150313,Hold,32.495,0,0,354,24.513,1527.743,11527.743
20150316,Hold,32.981,0,0,354,24.513,1699.787,11699.787
20150317,Hold,33.054,0,0,354,24.513,1725.629,11725.629
20150318,Hold,33.213,0,0,354,24.513,1781.915,11781.915
20150319,Sell,33.344,-354,11797.874112000001,0,11822.387,1822.387,11822.387
20150320,Hold,33.126,0,0,0,11822.387,1822.387,11822.387
20150323,Hold,33.142,0,0,0,11822.387,1822.387,11822.387
20150324,Hold,33.005,0,0,0,11822.387,1822.387,11822.387
20150325,Hold,31.755,0,0,0,11822.387,1822.387,11822.387
20150326,Hold,31.3,0,0,0,11822.387,1822.387,11822.387
20150327,Hold,31.163,0,0,0,11822.387,1822.387,11822.387
20150330,Hold,31.382,0,0,0,11822.387,1822.387,11822.387
20150331,Hold,30.506,0,0,0,11822.387,1822.387,11822.387
20150401,Hold,30.238,0,0,0,11822.387,1822.387,11822.387
