,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120110,Hold,60.621,0,0,0,10000,0.0,10000.0
20120111,Hold,61.303,0,0,0,10000,0.0,10000.0
20120112,Buy,60.995,163,-9947.1560925,163,52.844,-4.971,9995.029
20120113,Hold,62.099,0,0,163,52.844,174.981,10174.981
20120117,Hold,62.231,0,0,163,52.844,196.497,10196.497
20120118,Hold,62.46,0,0,163,52.844,233.824,10233.824
20120119,Hold,62.135,0,0,163,52.844,180.849,10180.849
20120120,Hold,62.134,0,0,163,52.844,180.686,10180.686
20120123,Hold,62.18,0,0,163,52.844,188.184,10188.184
20120124,Hold,62.18,0,0,163,52.844,188.184,10188.184
20120125,Hold,63.332,0,0,163,52.844,375.96,10375.96
20120126,Hold,62.775,0,0,163,52.844,285.169,10285.169
20120127,Sell,62.059,-163,10110.5591915,0,10163.403,163.403,10163.403
20120130,Hold,62.498,0,0,0,10163.403,163.403,10163.403
20120131,Buy,63.272,160,-10128.58176,160,34.821,158.341,10158.341
20120201,Hold,64.027,0,0,160,34.821,279.141,10279.141
20120202,Hold,65.819,0,0,160,34.821,565.861,10565.861
20120203,Hold,64.723,0,0,160,34.821,390.501,10390.501
20120206,Hold,64.708,0,0,160,34.821,388.101,10388.101
20120207,Sell,64.752,-160,10355.13984,0,10389.961,389.961,10389.961
20120208,Hold,64.597,0,0,0,10389.961,389.961,10389.961
20120209,Hold,64.478,0,0,0,10389.961,389.961,10389.961
20120210,Hold,64.806,0,0,0,10389.961,389.961,10389.961
20120213,Hold,64.102,0,0,0,10389.961,389.961,10389.961
20120214,Buy,64.612,160,-10343.088959999997,160,46.872,384.792,10384.792
20120215,Sell,64.011,-160,10236.63912,0,10283.511,283.511,10283.511
20120216,Buy,64.338,159,-10234.856870999998,159,48.654,278.396,10278.396
20120217,Hold,64.784,0,0,159,48.654,349.31,10349.31
20120221,Hold,64.574,0,0,159,48.654,315.92,10315.92
20120222,Hold,64.641,0,0,159,48.654,326.573,10326.573
20120223,Hold,65.142,0,0,159,48.654,406.232,10406.232
20120224,Hold,64.515,0,0,159,48.654,306.539,10306.539
20120227,Hold,65.174,0,0,159,48.654,411.32,10411.32
20120228,Hold,66.068,0,0,159,48.654,553.466,10553.466
20120229,Hold,66.33,0,0,159,48.654,595.124,10595.124
20120301,Hold,65.71,0,0,159,48.654,496.544,10496.544
20120302,Hold,65.916,0,0,159,48.654,529.298,10529.298
20120305,Hold,66.682,0,0,159,48.654,651.092,10651.092
20120306,Hold,67.138,0,0,159,48.654,723.596,10723.596
20120307,Hold,67.461,0,0,159,48.654,774.953,10774.953
20120308,Hold,67.809,0,0,159,48.654,830.285,10830.285
20120309,Hold,68.431,0,0,159,48.654,929.183,10929.183
20120312,Hold,68.815,0,0,159,48.654,990.239,10990.239
20120313,Hold,68.646,0,0,159,48.654,963.368,10963.368
20120314,Hold,69.633,0,0,159,48.654,1120.301,11120.301
20120315,Hold,69.971,0,0,159,48.654,1174.043,11174.043
20120316,Sell,69.566,-159,11055.463503,0,11104.118,1104.118,11104.118
20120319,Hold,68.908,0,0,0,11104.118,1104.118,11104.118
20120320,Hold,69.258,0,0,0,11104.118,1104.118,11104.118
20120321,Hold,69.136,0,0,0,11104.118,1104.118,11104.118
20120322,Hold,69.362,0,0,0,11104.118,1104.118,11104.118
20120323,Hold,69.465,0,0,0,11104.118,1104.118,11104.118
20120326,Buy,70.154,158,-11089.874165999998,158,14.244,1098.576,11098.576
20120327,Sell,69.93,-158,11043.41553,0,11057.659,1057.659,11057.659
20120328,Hold,69.092,0,0,0,11057.659,1057.659,11057.659
20120329,Hold,69.012,0,0,0,11057.659,1057.659,11057.659
20120330,Hold,69.72,0,0,0,11057.659,1057.659,11057.659
20120402,Buy,70.094,157,-11010.260379,157,47.399,1052.157,11052.157
20120403,Sell,69.092,-157,10842.020278,0,10889.419,889.419,10889.419
20120404,Hold,66.997,0,0,0,10889.419,889.419,10889.419
20120405,Hold,67.286,0,0,0,10889.419,889.419,10889.419
20120409,Hold,67.099,0,0,0,10889.419,889.419,10889.419
20120410,Hold,67.068,0,0,0,10889.419,889.419,10889.419
20120411,Hold,67.076,0,0,0,10889.419,889.419,10889.419
20120412,Hold,66.617,0,0,0,10889.419,889.419,10889.419
20120413,Hold,66.422,0,0,0,10889.419,889.419,10889.419
20120416,Hold,66.814,0,0,0,10889.419,889.419,10889.419
20120417,Buy,66.913,162,-10845.325952999998,162,44.093,883.999,10883.999
20120418,Hold,67.406,0,0,162,44.093,963.865,10963.865
20120419,Sell,66.976,-162,10844.686944,0,10888.78,888.78,10888.78
20120420,Hold,66.853,0,0,0,10888.78,888.78,10888.78
20120423,Hold,66.539,0,0,0,10888.78,888.78,10888.78
20120424,Hold,66.509,0,0,0,10888.78,888.78,10888.78
20120425,Buy,66.881,162,-10840.139361,162,48.641,883.363,10883.363
20120426,Hold,67.749,0,0,162,48.641,1023.979,11023.979
20120427,Hold,67.991,0,0,162,48.641,1063.183,11063.183
