,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Hold,121.54,0,0,0,10000,0.0,10000.0
20150112,Hold,120.39,0,0,0,10000,0.0,10000.0
20150113,Hold,118.52,0,0,0,10000,0.0,10000.0
20150114,Hold,118.47,0,0,0,10000,0.0,10000.0
20150115,Hold,117.73,0,0,0,10000,0.0,10000.0
20150116,Buy,119.08,83,-9888.58182,83,111.418,-4.942,9995.058
20150120,Hold,117.61,0,0,83,111.418,-126.952,9873.048
20150121,Hold,118.1,0,0,83,111.418,-86.282,9913.718
20150122,Hold,119.64,0,0,83,111.418,41.538,10041.538
20150123,Hold,119.94,0,0,83,111.418,66.438,10066.438
20150126,Hold,120.86,0,0,83,111.418,142.798,10142.798
20150127,Hold,119.88,0,0,83,111.418,61.458,10061.458
20150128,Hold,118.64,0,0,83,111.418,-41.462,9958.538
20150129,Hold,121.16,0,0,83,111.418,167.698,10167.698
20150130,Hold,121.84,0,0,83,111.418,224.138,10224.138
20150202,Hold,123.9,0,0,83,111.418,395.118,10395.118
20150203,Hold,128.72,0,0,83,111.418,795.178,10795.178
20150204,Hold,130.75,0,0,83,111.418,963.668,10963.668
20150205,Hold,130.53,0,0,83,111.418,945.408,10945.408
20150206,Sell,130.04,-83,10787.923340000001,0,10899.342,899.342,10899.342
20150209,Hold,129.43,0,0,0,10899.342,899.342,10899.342
20150210,Hold,130.16,0,0,0,10899.342,899.342,10899.342
20150211,Hold,129.79,0,0,0,10899.342,899.342,10899.342
20150212,Hold,129.95,0,0,0,10899.342,899.342,10899.342
20150213,Hold,128.94,0,0,0,10899.342,899.342,10899.342
20150217,Buy,129.0,84,-10841.418,84,57.924,893.924,10893.924
20150218,Sell,128.77,-84,10811.27166,0,10869.195,869.195,10869.195
20150219,Hold,128.56,0,0,0,10869.195,869.195,10869.195
20150220,Buy,129.75,83,-10774.634624999999,83,94.561,863.811,10863.811
20150223,Hold,130.98,0,0,83,94.561,965.901,10965.901
20150224,Hold,129.49,0,0,83,94.561,842.231,10842.231
20150225,Sell,128.91,-83,10694.180235,0,10788.741,788.741,10788.741
20150226,Hold,129.22,0,0,0,10788.741,788.741,10788.741
20150227,Buy,129.14,83,-10723.979309999999,83,64.761,783.381,10783.381
20150302,Hold,129.69,0,0,83,64.761,829.031,10829.031
20150303,Hold,128.96,0,0,83,64.761,768.441,10768.441
20150304,Hold,132.19,0,0,83,64.761,1036.531,11036.531
20150305,Hold,130.9,0,0,83,64.761,929.461,10929.461
20150306,Hold,131.34,0,0,83,64.761,965.981,10965.981
20150309,Hold,131.3,0,0,83,64.761,962.661,10962.661
