,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120110,Buy,34.699,288,-9998.308656,288,1.691,-4.997,9995.003
20120111,Hold,34.771,0,0.0,288,1.691,15.739,10015.739
20120112,Hold,34.37,0,0.0,288,1.691,-99.749,9900.251
20120113,Hold,34.764,0,0.0,288,1.691,13.723,10013.723
20120117,Hold,34.857,0,0.0,288,1.691,40.507,10040.507
20120118,Hold,35.771,0,0.0,288,1.691,303.739,10303.739
20120119,Hold,36.267,0,0.0,288,1.691,446.587,10446.587
20120120,Sell,35.358,-288,10178.012448,0,10179.704,179.704,10179.704
20120123,Hold,35.628,0,0.0,0,10179.704,179.704,10179.704
20120124,Hold,35.739,0,0.0,0,10179.704,179.704,10179.704
20120125,Buy,36.156,281,-10164.915917999999,281,14.788,174.624,10174.624
20120126,Sell,35.661,-281,10015.7306295,0,10030.519,30.519,10030.519
20120127,Hold,35.541,0,0.0,0,10030.519,30.519,10030.519
20120130,Hold,35.856,0,0.0,0,10030.519,30.519,10030.519
20120131,Hold,35.628,0,0.0,0,10030.519,30.519,10030.519
20120201,Hold,35.519,0,0.0,0,10030.519,30.519,10030.519
20120202,Buy,35.732,280,-10009.962479999998,280,20.556,25.516,10025.516
20120203,Hold,35.916,0,0.0,280,20.556,77.036,10077.036
20120206,Hold,35.961,0,0.0,280,20.556,89.636,10089.636
20120207,Hold,36.239,0,0.0,280,20.556,167.476,10167.476
20120208,Hold,36.089,0,0.0,280,20.556,125.476,10125.476
20120209,Hold,35.837,0,0.0,280,20.556,54.916,10054.916
20120210,Hold,36.291,0,0.0,280,20.556,182.036,10182.036
20120213,Hold,36.568,0,0.0,280,20.556,259.596,10259.596
20120214,Hold,36.485,0,0.0,280,20.556,236.356,10236.356
20120215,Hold,36.586,0,0.0,280,20.556,264.636,10264.636
20120216,Hold,36.794,0,0.0,280,20.556,322.876,10322.876
20120217,Hold,38.308,0,0.0,280,20.556,746.796,10746.796
20120221,Hold,37.333,0,0.0,280,20.556,473.796,10473.796
20120222,Hold,37.102,0,0.0,280,20.556,409.116,10409.116
20120223,Hold,37.469,0,0.0,280,20.556,511.876,10511.876
20120224,Hold,37.231,0,0.0,280,20.556,445.236,10445.236
20120227,Hold,37.621,0,0.0,280,20.556,554.436,10554.436
20120228,Hold,37.64,0,0.0,280,20.556,559.756,10559.756
20120229,Hold,38.014,0,0.0,280,20.556,664.476,10664.476
20120301,Hold,37.824,0,0.0,280,20.556,611.276,10611.276
20120302,Hold,37.694,0,0.0,280,20.556,574.876,10574.876
20120305,Hold,37.374,0,0.0,280,20.556,485.276,10485.276
20120306,Sell,37.231,-280,10419.46766,0,10440.024,440.024,10440.024
20120307,Buy,38.126,273,-10413.602198999999,273,26.421,434.819,10434.819
20120308,Hold,38.431,0,0.0,273,26.421,518.084,10518.084
20120309,Hold,38.559,0,0.0,273,26.421,553.028,10553.028
20120312,Hold,39.061,0,0.0,273,26.421,690.074,10690.074
20120313,Hold,39.642,0,0.0,273,26.421,848.687,10848.687
20120314,Hold,39.635,0,0.0,273,26.421,846.776,10846.776
20120315,Hold,39.668,0,0.0,273,26.421,855.785,10855.785
20120316,Sell,39.203,-273,10697.067790500003,0,10723.489,723.489,10723.489
20120319,Hold,38.952,0,0.0,0,10723.489,723.489,10723.489
20120320,Buy,39.607,270,-10699.236944999999,270,24.252,718.142,10718.142
20120321,Hold,39.684,0,0.0,270,24.252,738.932,10738.932
20120322,Hold,39.617,0,0.0,270,24.252,720.842,10720.842
20120323,Hold,39.874,0,0.0,270,24.252,790.232,10790.232
20120326,Hold,40.107,0,0.0,270,24.252,853.142,10853.142
20120327,Hold,40.018,0,0.0,270,24.252,829.112,10829.112
20120328,Sell,39.708,-270,10715.799420000001,0,10740.052,740.052,10740.052
20120329,Buy,40.19,267,-10736.095365,267,3.956,734.686,10734.686
20120330,Hold,40.186,0,0.0,267,3.956,733.618,10733.618
20120402,Sell,39.998,-267,10674.126267,0,10678.083,678.083,10678.083
20120403,Hold,39.938,0,0.0,0,10678.083,678.083,10678.083
20120404,Hold,39.858,0,0.0,0,10678.083,678.083,10678.083
20120405,Buy,40.005,266,-10646.650665,266,31.432,672.762,10672.762
20120409,Hold,40.364,0,0.0,266,31.432,768.256,10768.256
20120410,Sell,39.851,-266,10595.065817,0,10626.498,626.498,10626.498
20120411,Hold,39.99,0,0.0,0,10626.498,626.498,10626.498
20120412,Buy,40.591,261,-10599.5481255,261,26.95,621.201,10621.201
20120413,Hold,41.262,0,0.0,261,26.95,796.332,10796.332
20120416,Hold,41.548,0,0.0,261,26.95,870.978,10870.978
20120417,Hold,41.599,0,0.0,261,26.95,884.289,10884.289
20120418,Hold,41.554,0,0.0,261,26.95,872.544,10872.544
20120419,Sell,41.554,-261,10840.171203000002,0,10867.121,867.121,10867.121
20120420,Hold,41.03,0,0.0,0,10867.121,867.121,10867.121
20120423,Hold,41.101,0,0.0,0,10867.121,867.121,10867.121
20120424,Hold,41.301,0,0.0,0,10867.121,867.121,10867.121
20120425,Buy,41.554,261,-10851.016797,261,16.104,861.698,10861.698
20120426,Hold,41.72,0,0.0,261,16.104,905.024,10905.024
20120427,Hold,41.633,0,0.0,261,16.104,882.317,10882.317
20120430,Sell,41.66,-261,10867.823369999998,0,10883.927,883.927,10883.927
20120501,Buy,41.865,259,-10848.456517499999,259,35.471,878.506,10878.506
20120502,Hold,42.274,0,0.0,259,35.471,984.437,10984.437
20120503,Sell,41.942,-259,10857.546511,0,10893.017,893.017,10893.017
20120504,Hold,41.393,0,0.0,0,10893.017,893.017,10893.017
20120507,Hold,41.087,0,0.0,0,10893.017,893.017,10893.017
20120508,Hold,40.262,0,0.0,0,10893.017,893.017,10893.017
20120509,Hold,40.519,0,0.0,0,10893.017,893.017,10893.017
20120510,Hold,40.312,0,0.0,0,10893.017,893.017,10893.017
20120511,Hold,40.221,0,0.0,0,10893.017,893.017,10893.017
20120514,Hold,38.423,0,0.0,0,10893.017,893.017,10893.017
20120515,Hold,39.227,0,0.0,0,10893.017,893.017,10893.017
20120516,Hold,39.056,0,0.0,0,10893.017,893.017,10893.017
20120517,Hold,37.698,0,0.0,0,10893.017,893.017,10893.017
20120518,Hold,37.292,0,0.0,0,10893.017,893.017,10893.017
20120521,Buy,38.497,282,-10861.582077,282,31.435,887.589,10887.589
20120522,Hold,38.487,0,0.0,282,31.435,884.769,10884.769
20120523,Hold,39.193,0,0.0,282,31.435,1083.861,11083.861
20120524,Hold,39.911,0,0.0,282,31.435,1286.337,11286.337
20120525,Hold,40.037,0,0.0,282,31.435,1321.869,11321.869
20120529,Hold,39.983,0,0.0,282,31.435,1306.641,11306.641
20120530,Hold,40.037,0,0.0,282,31.435,1321.869,11321.869
20120531,Sell,39.415,-282,11109.472485000002,0,11140.908,1140.908,11140.908
20120601,Hold,38.658,0,0.0,0,11140.908,1140.908,11140.908
20120604,Hold,39.118,0,0.0,0,11140.908,1140.908,11140.908
20120605,Buy,39.885,279,-11133.478957499998,279,7.429,1135.344,11135.344
20120606,Hold,41.247,0,0.0,279,7.429,1515.342,11515.342
20120607,Hold,41.32,0,0.0,279,7.429,1535.709,11535.709
20120608,Hold,42.433,0,0.0,279,7.429,1846.236,11846.236
20120611,Sell,41.588,-279,11597.250474,0,11604.679,1604.679,11604.679
20120612,Buy,41.779,277,-11578.569391500001,277,26.11,1598.893,11598.893
20120613,Sell,41.516,-277,11494.182034,0,11520.292,1520.292,11520.292
20120614,Buy,42.03,273,-11479.927095,273,40.365,1514.555,11514.555
20120615,Hold,41.905,0,0.0,273,40.365,1480.43,11480.43
20120618,Hold,42.564,0,0.0,273,40.365,1660.337,11660.337
20120619,Hold,42.846,0,0.0,273,40.365,1737.323,11737.323
20120620,Sell,42.61,-273,11626.713735000001,0,11667.079,1667.079,11667.079
20120621,Hold,41.717,0,0.0,0,11667.079,1667.079,11667.079
20120622,Hold,41.626,0,0.0,0,11667.079,1667.079,11667.079
20120625,Hold,41.66,0,0.0,0,11667.079,1667.079,11667.079
20120626,Hold,41.877,0,0.0,0,11667.079,1667.079,11667.079
20120627,Hold,41.457,0,0.0,0,11667.079,1667.079,11667.079
20120628,Hold,42.167,0,0.0,0,11667.079,1667.079,11667.079
