,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Hold,120.06,0,0,0,10000,0.0,10000.0
20200110,Hold,119.96,0,0,0,10000,0.0,10000.0
20200113,Hold,118.99,0,0,0,10000,0.0,10000.0
20200114,Hold,113.11,0,0,0,10000,0.0,10000.0
20200115,Hold,112.78,0,0,0,10000,0.0,10000.0
20200116,Hold,112.14,0,0,0,10000,0.0,10000.0
20200117,Hold,112.3,0,0,0,10000,0.0,10000.0
20200121,Hold,109.87,0,0,0,10000,0.0,10000.0
20200122,Hold,109.29,0,0,0,10000,0.0,10000.0
20200123,Buy,111.68,89,-9944.48976,89,55.51,-4.97,9995.03
20200124,Sell,108.74,-89,9673.021069999999,0,9728.531,-271.469,9728.531
20200127,Buy,111.82,86,-9621.328259999998,86,107.203,-276.277,9723.723
20200128,Sell,111.46,-86,9580.76722,0,9687.97,-312.03,9687.97
20200129,Hold,109.53,0,0,0,9687.97,-312.03,9687.97
20200130,Hold,109.2,0,0,0,9687.97,-312.03,9687.97
20200131,Hold,107.0,0,0,0,9687.97,-312.03,9687.97
20200203,Hold,109.4,0,0,0,9687.97,-312.03,9687.97
20200204,Buy,109.75,88,-9662.829,88,25.141,-316.859,9683.141
20200205,Hold,111.67,0,0,88,25.141,-147.899,9852.101
20200206,Hold,110.74,0,0,88,25.141,-229.739,9770.261
20200207,Hold,111.3,0,0,88,25.141,-180.459,9819.541
20200210,Hold,112.71,0,0,88,25.141,-56.379,9943.621
20200211,Hold,112.3,0,0,88,25.141,-92.459,9907.541
20200212,Hold,113.45,0,0,88,25.141,8.741,10008.741
20200213,Hold,113.9,0,0,88,25.141,48.341,10048.341
20200214,Sell,113.23,-88,9959.257880000001,0,9984.399,-15.601,9984.399
20200218,Buy,113.96,87,-9919.477259999998,87,64.922,-20.558,9979.442
20200219,Sell,113.25,-87,9847.823625,0,9912.746,-87.254,9912.746
20200220,Hold,114.1,0,0,0,9912.746,-87.254,9912.746
20200221,Hold,110.85,0,0,0,9912.746,-87.254,9912.746
