,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Hold,11.39,0,0,0,10000,0.0,10000.0
20170111,Hold,10.98,0,0,0,10000,0.0,10000.0
20170112,Hold,10.79,0,0,0,10000,0.0,10000.0
20170113,Hold,10.17,0,0,0,10000,0.0,10000.0
20170117,Hold,9.54,0,0,0,10000,0.0,10000.0
20170118,Hold,9.92,0,0,0,10000,0.0,10000.0
20170119,Buy,9.88,1011,-9993.67434,1011,6.326,-4.994,9995.006
20170120,Hold,9.68,0,0,1011,6.326,-207.194,9792.806
20170123,Hold,9.95,0,0,1011,6.326,65.776,10065.776
20170124,Hold,10.74,0,0,1011,6.326,864.466,10864.466
20170125,Hold,10.35,0,0,1011,6.326,470.176,10470.176
20170126,Hold,10.6,0,0,1011,6.326,722.926,10722.926
20170127,Hold,10.62,0,0,1011,6.326,743.146,10743.146
20170130,Hold,10.6,0,0,1011,6.326,722.926,10722.926
20170131,Hold,10.9,0,0,1011,6.326,1026.226,11026.226
20170201,Hold,11.98,0,0,1011,6.326,2118.106,12118.106
20170202,Hold,12.37,0,0,1011,6.326,2512.396,12512.396
20170203,Hold,12.46,0,0,1011,6.326,2603.386,12603.386
20170206,Hold,14.05,0,0,1011,6.326,4210.876,14210.876
20170207,Hold,13.21,0,0,1011,6.326,3361.636,13361.636
20170208,Hold,13.78,0,0,1011,6.326,3937.906,13937.906
20170209,Hold,13.86,0,0,1011,6.326,4018.786,14018.786
20170210,Hold,13.7,0,0,1011,6.326,3857.026,13857.026
20170213,Hold,13.43,0,0,1011,6.326,3584.056,13584.056
20170214,Sell,13.2,-1011,13338.527399999999,0,13344.853,3344.853,13344.853
20170215,Buy,13.25,1006,-13336.16475,1006,8.688,3338.188,13338.188
20170216,Hold,12.79,0,0,1006,8.688,2875.428,12875.428
20170217,Hold,13.41,0,0,1006,8.688,3499.148,13499.148
20170221,Hold,14.3,0,0,1006,8.688,4394.488,14394.488
20170222,Hold,14.2,0,0,1006,8.688,4293.888,14293.888
20170223,Hold,14.0,0,0,1006,8.688,4092.688,14092.688
20170224,Hold,14.27,0,0,1006,8.688,4364.308,14364.308
20170227,Hold,15.45,0,0,1006,8.688,5551.388,15551.388
20170228,Sell,15.08,-1006,15162.894760000001,0,15171.583,5171.583,15171.583
20170301,Hold,14.59,0,0,0,15171.583,5171.583,15171.583
20170302,Hold,13.55,0,0,0,15171.583,5171.583,15171.583
20170303,Hold,13.0,0,0,0,15171.583,5171.583,15171.583
20170306,Hold,13.07,0,0,0,15171.583,5171.583,15171.583
20170307,Hold,13.25,0,0,0,15171.583,5171.583,15171.583
20170308,Buy,13.45,1127,-15165.729075,1127,5.854,5164.004,15164.004
20170309,Hold,13.5,0,0,1127,5.854,5220.354,15220.354
20170310,Hold,14.42,0,0,1127,5.854,6257.194,16257.194
20170313,Hold,14.0,0,0,1127,5.854,5783.854,15783.854
20170314,Hold,14.03,0,0,1127,5.854,5817.664,15817.664
20170315,Hold,13.79,0,0,1127,5.854,5547.184,15547.184
20170316,Sell,13.62,-1127,15342.06513,0,15347.919,5347.919,15347.919
20170317,Hold,13.68,0,0,0,15347.919,5347.919,15347.919
20170320,Buy,14.4,1065,-15343.668,1065,4.251,5340.251,15340.251
20170321,Sell,13.7,-1065,14583.20475,0,14587.456,4587.456,14587.456
20170322,Buy,13.96,1044,-14581.52712,1044,5.929,4580.169,14580.169
20170323,Sell,14.16,-1044,14775.648480000002,0,14781.577,4781.577,14781.577
20170324,Hold,13.35,0,0,0,14781.577,4781.577,14781.577
20170327,Hold,13.75,0,0,0,14781.577,4781.577,14781.577
