,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20120110,Buy,18.808,531,-9992.041524,531,7.958,-4.994,9995.006
20120111,Hold,19.144,0,0.0,531,7.958,173.422,10173.422
20120112,Hold,18.991,0,0.0,531,7.958,92.179,10092.179
20120113,Sell,18.604,-531,9873.784638000001,0,9881.743,-118.257,9881.743
20120117,Hold,18.59,0,0.0,0,9881.743,-118.257,9881.743
20120118,Buy,18.871,523,-9874.467766499998,523,7.275,-123.192,9876.808
20120119,Hold,19.091,0,0.0,523,7.275,-8.132,9991.868
20120120,Hold,19.488,0,0.0,523,7.275,199.499,10199.499
20120123,Hold,19.747,0,0.0,523,7.275,334.956,10334.956
20120124,Hold,19.785,0,0.0,523,7.275,354.83,10354.83
20120125,Hold,19.924,0,0.0,523,7.275,427.527,10427.527
20120126,Hold,19.716,0,0.0,523,7.275,318.743,10318.743
20120127,Sell,19.605,-523,10248.288292500001,0,10255.564,255.564,10255.564
20120130,Buy,19.814,517,-10248.959918999999,517,6.604,250.442,10250.442
20120131,Sell,19.775,-517,10218.5631625,0,10225.167,225.167,10225.167
20120201,Buy,19.657,519,-10207.0839915,519,18.083,220.066,10220.066
20120202,Hold,19.85,0,0.0,519,18.083,320.233,10320.233
20120203,Hold,19.782,0,0.0,519,18.083,284.941,10284.941
20120206,Hold,19.85,0,0.0,519,18.083,320.233,10320.233
20120207,Hold,19.857,0,0.0,519,18.083,323.866,10323.866
20120208,Hold,20.059,0,0.0,519,18.083,428.704,10428.704
20120209,Hold,19.932,0,0.0,519,18.083,362.791,10362.791
20120210,Hold,20.008,0,0.0,519,18.083,402.235,10402.235
20120213,Hold,19.804,0,0.0,519,18.083,296.359,10296.359
20120214,Hold,20.025,0,0.0,519,18.083,411.058,10411.058
20120215,Hold,19.678,0,0.0,519,18.083,230.965,10230.965
20120216,Hold,20.014,0,0.0,519,18.083,405.349,10405.349
20120217,Hold,20.379,0,0.0,519,18.083,594.784,10594.784
