,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Buy,22.523,443,-9982.6778445,443,17.322,-4.989,9995.011
20170111,Hold,22.374,0,0.0,443,17.322,-70.996,9929.004
20170112,Sell,22.185,-443,9823.0410225,0,9840.363,-159.637,9840.363
20170113,Hold,21.796,0,0.0,0,9840.363,-159.637,9840.363
20170117,Hold,21.597,0,0.0,0,9840.363,-159.637,9840.363
20170118,Hold,21.418,0,0.0,0,9840.363,-159.637,9840.363
20170119,Hold,21.816,0,0.0,0,9840.363,-159.637,9840.363
20170120,Hold,21.876,0,0.0,0,9840.363,-159.637,9840.363
20170123,Buy,22.185,443,-9832.8689775,443,7.494,-164.551,9835.449
20170124,Hold,23.31,0,0.0,443,7.494,333.824,10333.824
20170125,Hold,23.71,0,0.0,443,7.494,511.024,10511.024
20170126,Hold,23.44,0,0.0,443,7.494,391.414,10391.414
20170127,Hold,23.73,0,0.0,443,7.494,519.884,10519.884
20170130,Hold,23.859,0,0.0,443,7.494,577.031,10577.031
20170131,Hold,24.337,0,0.0,443,7.494,788.785,10788.785
20170201,Hold,24.437,0,0.0,443,7.494,833.085,10833.085
20170202,Hold,24.805,0,0.0,443,7.494,996.109,10996.109
20170203,Sell,24.437,-443,10820.178204500002,0,10827.672,827.672,10827.672
20170206,Hold,24.497,0,0.0,0,10827.672,827.672,10827.672
20170207,Hold,24.157,0,0.0,0,10827.672,827.672,10827.672
20170208,Hold,24.655,0,0.0,0,10827.672,827.672,10827.672
20170209,Hold,24.616,0,0.0,0,10827.672,827.672,10827.672
20170210,Hold,23.977,0,0.0,0,10827.672,827.672,10827.672
20170213,Hold,23.27,0,0.0,0,10827.672,827.672,10827.672
20170214,Hold,22.982,0,0.0,0,10827.672,827.672,10827.672
20170215,Hold,22.952,0,0.0,0,10827.672,827.672,10827.672
20170216,Hold,22.923,0,0.0,0,10827.672,827.672,10827.672
20170217,Buy,23.53,459,-10805.670135,459,22.002,822.272,10822.272
20170221,Hold,23.77,0,0.0,459,22.002,932.432,10932.432
20170222,Hold,23.829,0,0.0,459,22.002,959.513,10959.513
20170223,Hold,22.873,0,0.0,459,22.002,520.709,10520.709
20170224,Sell,23.27,-459,10675.589535000001,0,10697.592,697.592,10697.592
20170227,Buy,23.7,451,-10694.044349999998,451,3.547,692.247,10692.247
20170228,Hold,24.067,0,0.0,451,3.547,857.764,10857.764
20170301,Hold,24.785,0,0.0,451,3.547,1181.582,11181.582
20170302,Hold,25.104,0,0.0,451,3.547,1325.451,11325.451
