,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Hold,51.661,0,0,0,10000,0.0,10000.0
20190110,Hold,51.919,0,0,0,10000,0.0,10000.0
20190111,Hold,52.427,0,0,0,10000,0.0,10000.0
20190114,Hold,52.702,0,0,0,10000,0.0,10000.0
20190115,Hold,51.257,0,0,0,10000,0.0,10000.0
20190116,Hold,50.542,0,0,0,10000,0.0,10000.0
20190117,Hold,50.928,0,0,0,10000,0.0,10000.0
20190118,Hold,50.542,0,0,0,10000,0.0,10000.0
20190122,Hold,48.656,0,0,0,10000,0.0,10000.0
20190123,Hold,47.765,0,0,0,10000,0.0,10000.0
20190124,Hold,46.826,0,0,0,10000,0.0,10000.0
20190125,Hold,46.266,0,0,0,10000,0.0,10000.0
20190128,Hold,46.422,0,0,0,10000,0.0,10000.0
20190129,Hold,45.678,0,0,0,10000,0.0,10000.0
20190130,Hold,47.075,0,0,0,10000,0.0,10000.0
20190131,Hold,45.585,0,0,0,10000,0.0,10000.0
20190201,Hold,45.705,0,0,0,10000,0.0,10000.0
20190204,Buy,45.722,218,-9972.379698,218,27.62,-4.984,9995.016
20190205,Hold,46.835,0,0,218,27.62,237.65,10237.65
20190206,Hold,46.736,0,0,218,27.62,216.068,10216.068
20190207,Hold,46.192,0,0,218,27.62,97.476,10097.476
20190208,Hold,46.478,0,0,218,27.62,159.824,10159.824
20190211,Hold,47.167,0,0,218,27.62,310.026,10310.026
20190212,Hold,47.811,0,0,218,27.62,450.418,10450.418
20190213,Hold,47.351,0,0,218,27.62,350.138,10350.138
20190214,Hold,47.885,0,0,218,27.62,466.55,10466.55
20190215,Hold,47.811,0,0,218,27.62,450.418,10450.418
20190219,Hold,48.04,0,0,218,27.62,500.34,10500.34
20190220,Hold,48.27,0,0,218,27.62,550.48,10550.48
20190221,Hold,48.445,0,0,218,27.62,588.63,10588.63
20190222,Hold,49.447,0,0,218,27.62,807.066,10807.066
20190225,Hold,48.804,0,0,218,27.62,666.892,10666.892
20190226,Hold,48.682,0,0,218,27.62,640.296,10640.296
20190227,Hold,48.731,0,0,218,27.62,650.978,10650.978
20190228,Hold,49.649,0,0,218,27.62,851.102,10851.102
20190301,Hold,50.184,0,0,218,27.62,967.732,10967.732
20190304,Hold,49.556,0,0,218,27.62,830.828,10830.828
20190305,Hold,50.124,0,0,218,27.62,954.652,10954.652
20190306,Hold,50.997,0,0,218,27.62,1144.966,11144.966
20190307,Hold,49.717,0,0,218,27.62,865.926,10865.926
20190308,Hold,49.966,0,0,218,27.62,920.208,10920.208
20190311,Hold,50.84,0,0,218,27.62,1110.74,11110.74
20190312,Hold,51.185,0,0,218,27.62,1185.95,11185.95
20190313,Hold,51.65,0,0,218,27.62,1287.32,11287.32
20190314,Hold,51.159,0,0,218,27.62,1180.282,11180.282
20190315,Hold,52.664,0,0,218,27.62,1508.372,11508.372
20190318,Hold,53.174,0,0,218,27.62,1619.552,11619.552
20190319,Hold,53.046,0,0,218,27.62,1591.648,11591.648
20190320,Hold,53.231,0,0,218,27.62,1631.978,11631.978
20190321,Hold,53.65,0,0,218,27.62,1723.32,11723.32
20190322,Hold,52.626,0,0,218,27.62,1500.088,11500.088
20190325,Hold,53.946,0,0,218,27.62,1787.848,11787.848
20190326,Hold,53.343,0,0,218,27.62,1656.394,11656.394
20190327,Hold,53.046,0,0,218,27.62,1591.648,11591.648
20190328,Hold,53.017,0,0,218,27.62,1585.326,11585.326
20190329,Hold,53.611,0,0,218,27.62,1714.818,11714.818
20190401,Hold,53.927,0,0,218,27.62,1783.706,11783.706
20190402,Hold,54.133,0,0,218,27.62,1828.614,11828.614
20190403,Hold,53.714,0,0,218,27.62,1737.272,11737.272
20190404,Hold,53.927,0,0,218,27.62,1783.706,11783.706
20190405,Hold,53.752,0,0,218,27.62,1745.556,11745.556
20190408,Hold,53.549,0,0,218,27.62,1701.302,11701.302
20190409,Hold,53.678,0,0,218,27.62,1729.424,11729.424
20190410,Hold,52.495,0,0,218,27.62,1471.53,11471.53
20190411,Hold,52.347,0,0,218,27.62,1439.266,11439.266
20190412,Hold,53.146,0,0,218,27.62,1613.448,11613.448
20190415,Hold,53.445,0,0,218,27.62,1678.63,11678.63
20190416,Hold,73.312,0,0,218,27.62,6009.636,16009.636
20190417,Hold,73.221,0,0,218,27.62,5989.798,15989.798
20190418,Hold,74.251,0,0,218,27.62,6214.338,16214.338
20190422,Hold,78.037,0,0,218,27.62,7039.686,17039.686
20190423,Hold,80.96,0,0,218,27.62,7676.9,17676.9
20190424,Hold,80.148,0,0,218,27.62,7499.884,17499.884
20190425,Hold,78.606,0,0,218,27.62,7163.728,17163.728
20190426,Hold,80.363,0,0,218,27.62,7546.754,17546.754
20190429,Hold,80.902,0,0,218,27.62,7664.256,17664.256
20190430,Sell,81.079,-218,17666.384389,0,17694.005,7694.005,17694.005
20190501,Hold,81.385,0,0,0,17694.005,7694.005,17694.005
20190502,Hold,81.627,0,0,0,17694.005,7694.005,17694.005
20190503,Buy,80.297,220,-17674.17267,220,19.832,7685.172,17685.172
20190506,Sell,81.107,-220,17834.61823,0,17854.45,7854.45,17854.45
20190507,Hold,78.921,0,0,0,17854.45,7854.45,17854.45
20190508,Hold,77.544,0,0,0,17854.45,7854.45,17854.45
20190509,Hold,77.553,0,0,0,17854.45,7854.45,17854.45
20190510,Hold,77.422,0,0,0,17854.45,7854.45,17854.45
20190513,Hold,78.382,0,0,0,17854.45,7854.45,17854.45
20190514,Hold,79.571,0,0,0,17854.45,7854.45,17854.45
20190515,Hold,77.934,0,0,0,17854.45,7854.45,17854.45
20190516,Hold,74.867,0,0,0,17854.45,7854.45,17854.45
20190517,Hold,72.504,0,0,0,17854.45,7854.45,17854.45
20190520,Hold,73.394,0,0,0,17854.45,7854.45,17854.45
20190521,Hold,64.299,0,0,0,17854.45,7854.45,17854.45
20190522,Hold,62.337,0,0,0,17854.45,7854.45,17854.45
20190523,Hold,64.115,0,0,0,17854.45,7854.45,17854.45
20190524,Hold,61.983,0,0,0,17854.45,7854.45,17854.45
20190528,Hold,60.794,0,0,0,17854.45,7854.45,17854.45
20190529,Hold,61.359,0,0,0,17854.45,7854.45,17854.45
20190530,Buy,61.184,291,-17813.446271999997,291,41.004,7845.548,17845.548
20190531,Hold,62.402,0,0,291,41.004,8199.986,18199.986
20190603,Hold,62.885,0,0,291,41.004,8340.539,18340.539
20190604,Hold,63.865,0,0,291,41.004,8625.719,18625.719
20190605,Hold,62.812,0,0,291,41.004,8319.296,18319.296
20190606,Hold,63.536,0,0,291,41.004,8529.98,18529.98
20190607,Hold,64.764,0,0,291,41.004,8887.328,18887.328
20190610,Hold,67.187,0,0,291,41.004,9592.421,19592.421
20190611,Hold,65.262,0,0,291,41.004,9032.246,19032.246
20190612,Sell,65.676,-291,19102.160142,0,19143.164,9143.164,19143.164
20190613,Buy,64.154,298,-19127.450945999997,298,15.713,9133.605,19133.605
20190614,Sell,64.85,-298,19315.63735,0,19331.351,9331.351,19331.351
20190617,Buy,65.413,295,-19306.4834175,295,24.867,9321.702,19321.702
20190618,Hold,67.928,0,0,295,24.867,10063.627,20063.627
20190619,Hold,68.697,0,0,295,24.867,10290.482,20290.482
20190620,Hold,67.871,0,0,295,24.867,10046.812,20046.812
20190621,Hold,68.491,0,0,295,24.867,10229.712,20229.712
20190624,Hold,68.736,0,0,295,24.867,10301.987,20301.987
20190625,Hold,69.232,0,0,295,24.867,10448.307,20448.307
20190626,Hold,70.718,0,0,295,24.867,10886.677,20886.677
