,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20200109,Buy,32.86,304,-9994.43472,304,5.565,-4.995,9995.005
20200110,Hold,32.97,0,0.0,304,5.565,28.445,10028.445
20200113,Hold,32.69,0,0.0,304,5.565,-56.675,9943.325
20200114,Hold,32.99,0,0.0,304,5.565,34.525,10034.525
20200115,Hold,33.5,0,0.0,304,5.565,189.565,10189.565
20200116,Hold,33.8197,0,0.0,304,5.565,286.754,10286.754
20200117,Hold,34.08,0,0.0,304,5.565,365.885,10365.885
20200121,Hold,34.29,0,0.0,304,5.565,429.725,10429.725
20200122,Sell,33.99,-304,10327.793520000001,0,10333.359,333.359,10333.359
20200123,Hold,34.11,0,0.0,0,10333.359,333.359,10333.359
20200124,Hold,32.31,0,0.0,0,10333.359,333.359,10333.359
20200127,Hold,33.06,0,0.0,0,10333.359,333.359,10333.359
20200128,Buy,33.59,307,-10317.286065,307,16.073,328.203,10328.203
20200129,Hold,32.86,0,0.0,307,16.073,104.093,10104.093
20200130,Hold,33.11,0,0.0,307,16.073,180.843,10180.843
20200131,Sell,32.56,-307,9990.922040000001,0,10006.995,6.995,10006.995
20200203,Buy,33.75,296,-9994.994999999999,296,12.0,2.0,10002.0
20200204,Hold,34.0,0,0.0,296,12.0,76.0,10076.0
20200205,Hold,36.53,0,0.0,296,12.0,824.88,10824.88
20200206,Hold,37.63,0,0.0,296,12.0,1150.48,11150.48
20200207,Hold,36.63,0,0.0,296,12.0,854.48,10854.48
20200210,Sell,36.12,-296,10686.174239999998,0,10698.174,698.174,10698.174
20200211,Hold,36.19,0,0.0,0,10698.174,698.174,10698.174
20200212,Hold,36.43,0,0.0,0,10698.174,698.174,10698.174
20200213,Buy,37.0,288,-10661.328,288,36.846,692.846,10692.846
20200214,Sell,36.78,-288,10587.34368,0,10624.19,624.19,10624.19
20200218,Buy,38.09,278,-10594.31451,278,29.875,618.895,10618.895
20200219,Hold,38.76,0,0.0,278,29.875,805.155,10805.155
20200220,Sell,38.67,-278,10744.884870000002,0,10774.76,774.76,10774.76
20200221,Hold,36.5,0,0.0,0,10774.76,774.76,10774.76
20200224,Hold,36.18,0,0.0,0,10774.76,774.76,10774.76
20200225,Hold,35.28,0,0.0,0,10774.76,774.76,10774.76
20200226,Hold,33.73,0,0.0,0,10774.76,774.76,10774.76
20200227,Hold,31.88,0,0.0,0,10774.76,774.76,10774.76
20200228,Hold,36.0,0,0.0,0,10774.76,774.76,10774.76
20200302,Buy,36.02,298,-10739.32698,298,35.433,769.393,10769.393
20200303,Sell,35.76,-298,10651.15176,0,10686.585,686.585,10686.585
20200304,Hold,35.03,0,0.0,0,10686.585,686.585,10686.585
