,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Hold,24.195,0,0,0,10000,0.0,10000.0
20160112,Hold,24.563,0,0,0,10000,0.0,10000.0
20160113,Hold,23.723,0,0,0,10000,0.0,10000.0
20160114,Buy,23.617,423,-9994.9859955,423,5.014,-4.995,9995.005
20160115,Sell,24.284,-423,10266.995934,0,10272.01,272.01,10272.01
20160119,Hold,23.913,0,0,0,10272.01,272.01,10272.01
20160120,Hold,23.752,0,0,0,10272.01,272.01,10272.01
20160121,Buy,24.595,417,-10261.2430575,417,10.767,266.882,10266.882
20160122,Hold,24.4,0,0,417,10.767,185.567,10185.567
20160125,Sell,23.952,-417,9982.990008,0,9993.757,-6.243,9993.757
20160126,Buy,24.334,410,-9981.92847,410,11.828,-11.232,9988.768
20160127,Sell,24.136,-410,9890.81212,0,9902.641,-97.359,9902.641
20160128,Buy,24.249,408,-9898.538795999999,408,4.102,-102.306,9897.694
20160129,Hold,24.397,0,0,408,4.102,-41.922,9958.078
20160201,Hold,24.321,0,0,408,4.102,-72.93,9927.07
20160202,Hold,25.118,0,0,408,4.102,252.246,10252.246
20160203,Hold,25.775,0,0,408,4.102,520.302,10520.302
20160204,Hold,25.787,0,0,408,4.102,525.198,10525.198
20160205,Hold,26.207,0,0,408,4.102,696.558,10696.558
20160208,Hold,25.87,0,0,408,4.102,559.062,10559.062
20160209,Sell,25.743,-408,10497.892428000001,0,10501.994,501.994,10501.994
20160210,Hold,24.303,0,0,0,10501.994,501.994,10501.994
20160211,Hold,25.178,0,0,0,10501.994,501.994,10501.994
20160212,Hold,25.608,0,0,0,10501.994,501.994,10501.994
20160216,Buy,25.573,410,-10490.172465,410,11.822,496.752,10496.752
20160217,Hold,25.446,0,0,410,11.822,444.682,10444.682
20160218,Hold,25.251,0,0,410,11.822,364.732,10364.732
20160219,Hold,25.793,0,0,410,11.822,586.952,10586.952
20160222,Hold,25.596,0,0,410,11.822,506.182,10506.182
20160223,Sell,25.278,-410,10358.79801,0,10370.62,370.62,10370.62
20160224,Buy,25.765,402,-10362.708765,402,7.911,365.441,10365.441
20160225,Hold,26.037,0,0,402,7.911,474.785,10474.785
20160226,Sell,25.758,-402,10349.538642000001,0,10357.45,357.45,10357.45
20160229,Hold,25.793,0,0,0,10357.45,357.45,10357.45
20160301,Buy,26.121,396,-10349.087957999998,396,8.362,352.278,10352.278
20160302,Hold,26.336,0,0,396,8.362,437.418,10437.418
20160303,Hold,26.576,0,0,396,8.362,532.458,10532.458
20160304,Hold,26.235,0,0,396,8.362,397.422,10397.422
