,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Buy,50.082,199,-9971.301158999999,199,28.699,-4.983,9995.017
20210112,Sell,48.452,-199,9637.127026,0,9665.826,-334.174,9665.826
20210113,Hold,48.978,0,0.0,0,9665.826,-334.174,9665.826
20210114,Hold,48.051,0,0.0,0,9665.826,-334.174,9665.826
20210115,Hold,47.524,0,0.0,0,9665.826,-334.174,9665.826
20210119,Hold,47.836,0,0.0,0,9665.826,-334.174,9665.826
20210120,Buy,47.357,204,-9665.658414,204,0.167,-339.005,9660.995
20210121,Hold,47.69,0,0.0,204,0.167,-271.073,9728.927
20210122,Hold,47.357,0,0.0,204,0.167,-339.005,9660.995
20210125,Hold,47.993,0,0.0,204,0.167,-209.261,9790.739
20210126,Hold,48.303,0,0.0,204,0.167,-146.021,9853.979
20210127,Sell,48.822,-204,9954.708156,0,9954.876,-45.124,9954.876
20210128,Buy,49.124,202,-9928.009524000001,202,26.866,-50.086,9949.914
20210129,Sell,48.686,-202,9829.654714,0,9856.521,-143.479,9856.521
20210201,Buy,49.164,200,-9837.716400000001,200,18.804,-148.396,9851.604
20210202,Hold,50.043,0,0.0,200,18.804,27.404,10027.404
20210203,Sell,49.144,-200,9823.8856,0,9842.69,-157.31,9842.69
20210204,Buy,50.642,194,-9829.460274000001,194,13.23,-162.222,9837.778
20210205,Hold,49.857,0,0.0,194,13.23,-314.512,9685.488
20210208,Hold,50.774,0,0.0,194,13.23,-136.614,9863.386
20210209,Hold,51.791,0,0.0,194,13.23,60.684,10060.684
20210210,Hold,51.673,0,0.0,194,13.23,37.792,10037.792
20210211,Hold,52.064,0,0.0,194,13.23,113.646,10113.646
20210212,Hold,51.751,0,0.0,194,13.23,52.924,10052.924
20210216,Sell,51.487,-194,9983.483761000001,0,9996.713,-3.287,9996.713
20210217,Buy,51.44,194,-9984.349679999998,194,12.364,-8.276,9991.724
20210218,Sell,51.175,-194,9922.986025,0,9935.35,-64.65,9935.35
20210219,Hold,50.746,0,0.0,0,9935.35,-64.65,9935.35
20210222,Buy,51.556,192,-9903.701375999999,192,31.648,-69.6,9930.4
20210223,Hold,51.331,0,0.0,192,31.648,-112.8,9887.2
20210224,Hold,51.839,0,0.0,192,31.648,-15.264,9984.736
20210225,Sell,51.039,-192,9794.588256000001,0,9826.237,-173.763,9826.237
20210226,Buy,51.966,188,-9774.492804,188,51.744,-178.648,9821.352
20210301,Hold,53.031,0,0.0,188,51.744,21.572,10021.572
20210302,Hold,52.653,0,0.0,188,51.744,-49.492,9950.508
20210303,Hold,52.551,0,0.0,188,51.744,-68.668,9931.332
20210304,Hold,53.402,0,0.0,188,51.744,91.32,10091.32
20210305,Hold,53.528,0,0.0,188,51.744,115.008,10115.008
