,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20190109,Buy,67.44,148,-9986.11056,148,13.889,-4.991,9995.009
20190110,Sell,67.83,-148,10033.820580000001,0,10047.71,47.71,10047.71
20190111,Buy,68.41,146,-9992.853929999997,146,54.856,42.716,10042.716
20190114,Sell,67.81,-146,9895.309870000001,0,9950.166,-49.834,9950.166
20190115,Hold,67.51,0,0.0,0,9950.166,-49.834,9950.166
20190116,Hold,66.72,0,0.0,0,9950.166,-49.834,9950.166
20190117,Hold,67.11,0,0.0,0,9950.166,-49.834,9950.166
20190118,Buy,66.75,148,-9883.939499999999,148,66.226,-54.774,9945.226
20190122,Hold,66.8,0,0.0,148,66.226,-47.374,9952.626
20190123,Hold,67.72,0,0.0,148,66.226,88.786,10088.786
20190124,Hold,68.93,0,0.0,148,66.226,267.866,10267.866
20190125,Hold,67.87,0,0.0,148,66.226,110.986,10110.986
20190128,Sell,67.66,-148,10008.67316,0,10074.9,74.9,10074.9
20190129,Hold,67.74,0,0.0,0,10074.9,74.9,10074.9
20190130,Buy,68.41,147,-10061.298134999997,147,13.601,69.871,10069.871
20190131,Hold,69.46,0,0.0,147,13.601,224.221,10224.221
20190201,Hold,69.41,0,0.0,147,13.601,216.871,10216.871
20190204,Sell,69.7,-147,10240.77705,0,10254.379,254.379,10254.379
20190205,Hold,66.8,0,0.0,0,10254.379,254.379,10254.379
20190206,Hold,68.0,0,0.0,0,10254.379,254.379,10254.379
20190207,Buy,67.64,151,-10218.746819999998,151,35.632,249.272,10249.272
20190208,Hold,68.17,0,0.0,151,35.632,329.302,10329.302
20190211,Hold,69.0,0,0.0,151,35.632,454.632,10454.632
20190212,Hold,69.61,0,0.0,151,35.632,546.742,10546.742
20190213,Hold,69.1,0,0.0,151,35.632,469.732,10469.732
20190214,Hold,70.65,0,0.0,151,35.632,703.782,10703.782
20190215,Hold,72.01,0,0.0,151,35.632,909.142,10909.142
20190219,Hold,72.46,0,0.0,151,35.632,977.092,10977.092
20190220,Hold,72.57,0,0.0,151,35.632,993.702,10993.702
20190221,Hold,73.8,0,0.0,151,35.632,1179.432,11179.432
20190222,Hold,73.37,0,0.0,151,35.632,1114.502,11114.502
20190225,Sell,71.44,-151,10782.04628,0,10817.678,817.678,10817.678
20190226,Hold,72.13,0,0.0,0,10817.678,817.678,10817.678
20190227,Hold,72.08,0,0.0,0,10817.678,817.678,10817.678
20190228,Hold,72.39,0,0.0,0,10817.678,817.678,10817.678
20190301,Hold,72.24,0,0.0,0,10817.678,817.678,10817.678
20190304,Hold,71.75,0,0.0,0,10817.678,817.678,10817.678
20190305,Hold,71.41,0,0.0,0,10817.678,817.678,10817.678
20190306,Hold,70.62,0,0.0,0,10817.678,817.678,10817.678
20190307,Hold,70.93,0,0.0,0,10817.678,817.678,10817.678
20190308,Hold,70.83,0,0.0,0,10817.678,817.678,10817.678
20190311,Buy,71.47,151,-10797.365984999999,151,20.312,812.282,10812.282
20190312,Hold,72.12,0,0.0,151,20.312,910.432,10910.432
20190313,Hold,72.25,0,0.0,151,20.312,930.062,10930.062
20190314,Hold,72.76,0,0.0,151,20.312,1007.072,11007.072
20190315,Hold,73.28,0,0.0,151,20.312,1085.592,11085.592
20190318,Hold,74.0,0,0.0,151,20.312,1194.312,11194.312
20190319,Sell,72.8,-151,10987.3036,0,11007.616,1007.616,11007.616
20190320,Hold,72.08,0,0.0,0,11007.616,1007.616,11007.616
20190321,Hold,72.16,0,0.0,0,11007.616,1007.616,11007.616
20190322,Hold,71.85,0,0.0,0,11007.616,1007.616,11007.616
20190325,Hold,73.34,0,0.0,0,11007.616,1007.616,11007.616
20190326,Buy,73.39,149,-10940.577555,149,67.038,1002.148,11002.148
20190327,Sell,71.98,-149,10719.657490000001,0,10786.696,786.696,10786.696
20190328,Hold,69.33,0,0.0,0,10786.696,786.696,10786.696
20190329,Hold,69.54,0,0.0,0,10786.696,786.696,10786.696
20190401,Hold,69.81,0,0.0,0,10786.696,786.696,10786.696
20190402,Hold,69.82,0,0.0,0,10786.696,786.696,10786.696
20190403,Hold,69.08,0,0.0,0,10786.696,786.696,10786.696
20190404,Buy,70.48,152,-10718.31648,152,68.379,781.339,10781.339
20190405,Hold,70.14,0,0.0,152,68.379,729.659,10729.659
20190408,Hold,70.96,0,0.0,152,68.379,854.299,10854.299
20190409,Hold,71.55,0,0.0,152,68.379,943.979,10943.979
20190410,Hold,72.15,0,0.0,152,68.379,1035.179,11035.179
20190411,Hold,73.19,0,0.0,152,68.379,1193.259,11193.259
20190412,Hold,73.71,0,0.0,152,68.379,1272.299,11272.299
20190415,Hold,74.0,0,0.0,152,68.379,1316.379,11316.379
20190416,Hold,72.72,0,0.0,152,68.379,1121.819,11121.819
20190417,Sell,73.22,-152,11123.875280000002,0,11192.254,1192.254,11192.254
20190418,Buy,73.76,151,-11143.32888,151,48.925,1186.685,11186.685
20190422,Hold,73.56,0,0.0,151,48.925,1156.485,11156.485
20190423,Sell,73.39,-151,11076.349055,0,11125.275,1125.275,11125.275
20190424,Hold,72.7,0,0.0,0,11125.275,1125.275,11125.275
20190425,Hold,74.73,0,0.0,0,11125.275,1125.275,11125.275
20190426,Hold,72.94,0,0.0,0,11125.275,1125.275,11125.275
20190429,Buy,73.47,151,-11099.516984999998,151,25.758,1119.728,11119.728
20190430,Hold,73.14,0,0.0,151,25.758,1069.898,11069.898
20190501,Hold,73.78,0,0.0,151,25.758,1166.538,11166.538
20190502,Hold,73.71,0,0.0,151,25.758,1155.968,11155.968
20190503,Hold,73.88,0,0.0,151,25.758,1181.638,11181.638
20190506,Hold,73.8,0,0.0,151,25.758,1169.558,11169.558
20190507,Sell,73.96,-151,11162.37602,0,11188.134,1188.134,11188.134
20190508,Hold,72.3,0,0.0,0,11188.134,1188.134,11188.134
20190509,Buy,74.0,151,-11179.587,151,8.547,1182.547,11182.547
20190510,Hold,74.38,0,0.0,151,8.547,1239.927,11239.927
20190513,Sell,73.42,-151,11080.87679,0,11089.423,1089.423,11089.423
20190514,Buy,73.37,151,-11084.409435,151,5.014,1083.884,11083.884
20190515,Hold,74.48,0,0.0,151,5.014,1251.494,11251.494
20190516,Hold,75.39,0,0.0,151,5.014,1388.904,11388.904
20190517,Hold,79.87,0,0.0,151,5.014,2065.384,12065.384
20190520,Hold,78.16,0,0.0,151,5.014,1807.174,11807.174
20190521,Hold,76.49,0,0.0,151,5.014,1555.004,11555.004
20190522,Sell,76.26,-151,11509.50237,0,11514.516,1514.516,11514.516
20190523,Hold,76.5,0,0.0,0,11514.516,1514.516,11514.516
20190524,Hold,77.55,0,0.0,0,11514.516,1514.516,11514.516
20190528,Hold,75.82,0,0.0,0,11514.516,1514.516,11514.516
20190529,Hold,76.04,0,0.0,0,11514.516,1514.516,11514.516
20190530,Hold,74.81,0,0.0,0,11514.516,1514.516,11514.516
20190531,Hold,73.62,0,0.0,0,11514.516,1514.516,11514.516
20190603,Hold,74.63,0,0.0,0,11514.516,1514.516,11514.516
20190604,Buy,75.94,151,-11472.67347,151,41.843,1508.783,11508.783
20190605,Hold,76.14,0,0.0,151,41.843,1538.983,11538.983
20190606,Hold,76.55,0,0.0,151,41.843,1600.893,11600.893
20190607,Hold,77.06,0,0.0,151,41.843,1677.903,11677.903
20190610,Sell,77.13,-151,11640.806685,0,11682.649,1682.649,11682.649
20190611,Hold,75.83,0,0.0,0,11682.649,1682.649,11682.649
20190612,Hold,75.17,0,0.0,0,11682.649,1682.649,11682.649
20190613,Hold,74.67,0,0.0,0,11682.649,1682.649,11682.649
20190614,Hold,75.08,0,0.0,0,11682.649,1682.649,11682.649
20190617,Buy,75.94,153,-11624.62941,153,58.02,1676.84,11676.84
20190618,Hold,76.34,0,0.0,153,58.02,1738.04,11738.04
20190619,Hold,79.11,0,0.0,153,58.02,2161.85,12161.85
20190620,Hold,77.71,0,0.0,153,58.02,1947.65,11947.65
20190621,Sell,76.02,-153,11625.24447,0,11683.265,1683.265,11683.265
20190624,Hold,75.47,0,0.0,0,11683.265,1683.265,11683.265
20190625,Hold,74.28,0,0.0,0,11683.265,1683.265,11683.265
20190626,Hold,73.45,0,0.0,0,11683.265,1683.265,11683.265
20190627,Hold,73.29,0,0.0,0,11683.265,1683.265,11683.265
20190628,Buy,74.67,156,-11654.34426,156,28.92,1677.44,11677.44
20190701,Hold,74.4,0,0.0,156,28.92,1635.32,11635.32
20190702,Hold,75.89,0,0.0,156,28.92,1867.76,11867.76
20190703,Hold,75.83,0,0.0,156,28.92,1858.4,11858.4
20190705,Hold,76.37,0,0.0,156,28.92,1942.64,11942.64
20190708,Hold,75.35,0,0.0,156,28.92,1783.52,11783.52
20190709,Hold,77.96,0,0.0,156,28.92,2190.68,12190.68
20190710,Hold,78.73,0,0.0,156,28.92,2310.8,12310.8
20190711,Hold,78.2,0,0.0,156,28.92,2228.12,12228.12
20190712,Hold,79.67,0,0.0,156,28.92,2457.44,12457.44
20190715,Hold,79.35,0,0.0,156,28.92,2407.52,12407.52
20190716,Sell,79.23,-156,12353.700060000001,0,12382.62,2382.62,12382.62
20190717,Hold,78.78,0,0.0,0,12382.62,2382.62,12382.62
20190718,Hold,77.99,0,0.0,0,12382.62,2382.62,12382.62
20190719,Hold,77.8,0,0.0,0,12382.62,2382.62,12382.62
20190722,Buy,77.74,159,-12366.840329999999,159,15.78,2376.44,12376.44
20190723,Hold,79.2,0,0.0,159,15.78,2608.58,12608.58
20190724,Hold,81.36,0,0.0,159,15.78,2952.02,12952.02
20190725,Hold,81.1,0,0.0,159,15.78,2910.68,12910.68
20190726,Hold,84.63,0,0.0,159,15.78,3471.95,13471.95
20190729,Hold,81.7,0,0.0,159,15.78,3006.08,13006.08
