,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Buy,23.765,420,-9986.29065,420,13.709,-4.991,9995.009
20160112,Hold,23.702,0,0.0,420,13.709,-31.451,9968.549
20160113,Hold,23.61,0,0.0,420,13.709,-70.091,9929.909
20160114,Hold,23.459,0,0.0,420,13.709,-133.511,9866.489
20160115,Hold,23.843,0,0.0,420,13.709,27.769,10027.769
20160119,Hold,23.794,0,0.0,420,13.709,7.189,10007.189
20160120,Sell,23.69,-420,9944.825100000002,0,9958.534,-41.466,9958.534
20160121,Buy,24.311,409,-9948.1705995,409,10.364,-46.437,9953.563
20160122,Hold,24.527,0,0.0,409,10.364,41.907,10041.907
20160125,Hold,24.415,0,0.0,409,10.364,-3.901,9996.099
20160126,Hold,24.385,0,0.0,409,10.364,-16.171,9983.829
20160127,Hold,24.929,0,0.0,409,10.364,206.325,10206.325
20160128,Hold,24.886,0,0.0,409,10.364,188.738,10188.738
20160129,Hold,25.118,0,0.0,409,10.364,283.626,10283.626
20160201,Hold,25.187,0,0.0,409,10.364,311.847,10311.847
20160202,Hold,25.174,0,0.0,409,10.364,306.53,10306.53
20160203,Hold,25.598,0,0.0,409,10.364,479.946,10479.946
20160204,Hold,25.501,0,0.0,409,10.364,440.273,10440.273
20160205,Hold,25.508,0,0.0,409,10.364,443.136,10443.136
20160208,Hold,25.577,0,0.0,409,10.364,471.357,10471.357
20160209,Sell,25.543,-409,10441.8634565,0,10452.227,452.227,10452.227
20160210,Hold,25.133,0,0.0,0,10452.227,452.227,10452.227
20160211,Hold,25.334,0,0.0,0,10452.227,452.227,10452.227
20160212,Hold,25.565,0,0.0,0,10452.227,452.227,10452.227
20160216,Buy,25.613,407,-10429.703245499999,407,22.524,447.015,10447.015
20160217,Hold,25.523,0,0.0,407,22.524,410.385,10410.385
20160218,Hold,25.715,0,0.0,407,22.524,488.529,10488.529
20160219,Sell,25.605,-407,10416.024382500002,0,10438.548,438.548,10438.548
20160222,Buy,25.653,406,-10420.325558999997,406,18.223,433.341,10433.341
20160223,Hold,25.577,0,0.0,406,18.223,402.485,10402.485
20160224,Hold,25.857,0,0.0,406,18.223,516.165,10516.165
20160225,Hold,26.13,0,0.0,406,18.223,627.003,10627.003
20160226,Hold,25.87,0,0.0,406,18.223,521.443,10521.443
20160229,Sell,25.857,-406,10492.693029,0,10510.916,510.916,10510.916
20160301,Buy,25.941,404,-10485.404082,404,25.512,505.676,10505.676
20160302,Hold,26.267,0,0.0,404,25.512,637.38,10637.38
20160303,Hold,26.421,0,0.0,404,25.512,699.596,10699.596
20160304,Hold,26.345,0,0.0,404,25.512,668.892,10668.892
20160307,Hold,26.465,0,0.0,404,25.512,717.372,10717.372
20160308,Hold,26.568,0,0.0,404,25.512,758.984,10758.984
20160309,Hold,26.528,0,0.0,404,25.512,742.824,10742.824
20160310,Hold,26.797,0,0.0,404,25.512,851.5,10851.5
20160311,Hold,26.742,0,0.0,404,25.512,829.28,10829.28
20160314,Hold,26.56,0,0.0,404,25.512,755.752,10755.752
20160315,Hold,26.861,0,0.0,404,25.512,877.356,10877.356
20160316,Hold,27.021,0,0.0,404,25.512,941.996,10941.996
20160317,Hold,27.342,0,0.0,404,25.512,1071.68,11071.68
20160318,Sell,26.944,-404,10879.933312000001,0,10905.445,905.445,10905.445
20160321,Buy,27.113,402,-10904.875713,402,0.569,899.995,10899.995
20160322,Sell,26.901,-402,10808.794899,0,10809.364,809.364,10809.364
20160323,Hold,26.749,0,0.0,0,10809.364,809.364,10809.364
20160324,Buy,27.182,397,-10796.649626999999,397,12.715,803.969,10803.969
20160328,Hold,27.27,0,0.0,397,12.715,838.905,10838.905
20160329,Hold,27.607,0,0.0,397,12.715,972.694,10972.694
20160330,Hold,27.472,0,0.0,397,12.715,919.099,10919.099
20160331,Sell,26.95,-397,10693.800425,0,10706.515,706.515,10706.515
20160401,Hold,27.293,0,0.0,0,10706.515,706.515,10706.515
20160404,Hold,27.384,0,0.0,0,10706.515,706.515,10706.515
20160405,Hold,27.37,0,0.0,0,10706.515,706.515,10706.515
20160406,Hold,27.06,0,0.0,0,10706.515,706.515,10706.515
20160407,Hold,27.326,0,0.0,0,10706.515,706.515,10706.515
20160408,Hold,27.288,0,0.0,0,10706.515,706.515,10706.515
20160411,Hold,27.143,0,0.0,0,10706.515,706.515,10706.515
20160412,Buy,27.362,391,-10703.891270999999,391,2.624,701.166,10701.166
20160413,Sell,26.99,-391,10547.813455000001,0,10550.437,550.437,10550.437
20160414,Hold,27.138,0,0.0,0,10550.437,550.437,10550.437
20160415,Buy,27.214,387,-10537.083908999999,387,13.353,545.171,10545.171
20160418,Hold,27.377,0,0.0,387,13.353,608.252,10608.252
20160419,Hold,27.509,0,0.0,387,13.353,659.336,10659.336
20160420,Sell,27.187,-387,10516.108315500001,0,10529.462,529.462,10529.462
20160421,Hold,26.707,0,0.0,0,10529.462,529.462,10529.462
20160422,Hold,26.834,0,0.0,0,10529.462,529.462,10529.462
20160425,Hold,27.04,0,0.0,0,10529.462,529.462,10529.462
20160426,Hold,26.714,0,0.0,0,10529.462,529.462,10529.462
20160427,Buy,27.32,385,-10523.4591,385,6.003,524.203,10524.203
20160428,Hold,27.262,0,0.0,385,6.003,501.873,10501.873
20160429,Hold,27.428,0,0.0,385,6.003,565.783,10565.783
20160502,Hold,27.531,0,0.0,385,6.003,605.438,10605.438
20160503,Sell,27.342,-385,10521.406665,0,10527.409,527.409,10527.409
20160504,Hold,27.475,0,0.0,0,10527.409,527.409,10527.409
20160505,Hold,27.362,0,0.0,0,10527.409,527.409,10527.409
20160506,Buy,27.509,382,-10513.692218999999,382,13.717,522.155,10522.155
20160509,Hold,27.531,0,0.0,382,13.717,530.559,10530.559
20160510,Hold,27.708,0,0.0,382,13.717,598.173,10598.173
20160511,Hold,27.73,0,0.0,382,13.717,606.577,10606.577
20160512,Hold,27.866,0,0.0,382,13.717,658.529,10658.529
20160513,Sell,27.484,-382,10493.638556000002,0,10507.356,507.356,10507.356
20160516,Hold,27.689,0,0.0,0,10507.356,507.356,10507.356
20160517,Hold,27.58,0,0.0,0,10507.356,507.356,10507.356
20160518,Hold,27.003,0,0.0,0,10507.356,507.356,10507.356
20160519,Hold,27.262,0,0.0,0,10507.356,507.356,10507.356
20160520,Hold,27.153,0,0.0,0,10507.356,507.356,10507.356
20160523,Hold,27.138,0,0.0,0,10507.356,507.356,10507.356
20160524,Buy,27.288,384,-10483.831296,384,23.524,502.116,10502.116
20160525,Hold,27.301,0,0.0,384,23.524,507.108,10507.108
20160526,Hold,27.399,0,0.0,384,23.524,544.74,10544.74
20160527,Hold,27.54,0,0.0,384,23.524,598.884,10598.884
20160531,Hold,27.587,0,0.0,384,23.524,616.932,10616.932
20160601,Sell,27.326,-384,10487.937408000002,0,10511.462,511.462,10511.462
20160602,Buy,27.498,382,-10509.488118,382,1.974,506.21,10506.21
20160603,Hold,27.674,0,0.0,382,1.974,573.442,10573.442
20160606,Hold,27.779,0,0.0,382,1.974,613.552,10613.552
20160607,Hold,28.026,0,0.0,382,1.974,707.906,10707.906
20160608,Hold,28.103,0,0.0,382,1.974,737.32,10737.32
20160609,Hold,28.189,0,0.0,382,1.974,770.172,10770.172
20160610,Hold,28.356,0,0.0,382,1.974,833.966,10833.966
20160613,Hold,28.344,0,0.0,382,1.974,829.382,10829.382
20160614,Hold,28.536,0,0.0,382,1.974,902.726,10902.726
20160615,Hold,28.365,0,0.0,382,1.974,837.404,10837.404
20160616,Hold,28.604,0,0.0,382,1.974,928.702,10928.702
20160617,Hold,28.958,0,0.0,382,1.974,1063.93,11063.93
20160620,Hold,28.807,0,0.0,382,1.974,1006.248,11006.248
20160621,Hold,28.97,0,0.0,382,1.974,1068.514,11068.514
20160622,Hold,29.317,0,0.0,382,1.974,1201.068,11201.068
20160623,Hold,29.247,0,0.0,382,1.974,1174.328,11174.328
20160624,Hold,29.134,0,0.0,382,1.974,1131.162,11131.162
20160627,Hold,29.733,0,0.0,382,1.974,1359.98,11359.98
20160628,Hold,29.79,0,0.0,382,1.974,1381.754,11381.754
20160629,Hold,30.121,0,0.0,382,1.974,1508.196,11508.196
20160630,Hold,30.636,0,0.0,382,1.974,1704.926,11704.926
20160701,Hold,30.692,0,0.0,382,1.974,1726.318,11726.318
20160705,Hold,30.667,0,0.0,382,1.974,1716.768,11716.768
20160706,Hold,30.48,0,0.0,382,1.974,1645.334,11645.334
20160707,Sell,30.058,-382,11476.414922,0,11478.389,1478.389,11478.389
20160708,Hold,30.301,0,0.0,0,11478.389,1478.389,11478.389
20160711,Hold,30.252,0,0.0,0,11478.389,1478.389,11478.389
20160712,Hold,30.294,0,0.0,0,11478.389,1478.389,11478.389
20160713,Buy,30.286,378,-11453.832054,378,24.556,1472.664,11472.664
20160714,Hold,30.616,0,0.0,378,24.556,1597.404,11597.404
20160715,Hold,30.581,0,0.0,378,24.556,1584.174,11584.174
20160718,Hold,30.531,0,0.0,378,24.556,1565.274,11565.274
20160719,Hold,30.503,0,0.0,378,24.556,1554.69,11554.69
