,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20210111,Hold,26.799,0,0,0,10000,0.0,10000.0
20210112,Hold,26.725,0,0,0,10000,0.0,10000.0
20210113,Hold,26.595,0,0,0,10000,0.0,10000.0
20210114,Buy,26.873,371,-9974.867941499999,371,25.132,-4.985,9995.015
20210115,Hold,27.181,0,0,371,25.132,109.283,10109.283
20210119,Sell,26.92,-371,9982.326340000001,0,10007.458,7.458,10007.458
20210120,Buy,26.837,372,-9988.355682,372,19.103,2.467,10002.467
20210121,Sell,26.744,-372,9943.793616,0,9962.896,-37.104,9962.896
20210122,Buy,26.697,372,-9936.249641999999,372,26.647,-42.069,9957.931
20210125,Hold,27.013,0,0,372,26.647,75.483,10075.483
20210126,Hold,26.952,0,0,372,26.647,52.791,10052.791
20210127,Sell,26.947,-372,10019.271858,0,10045.919,45.919,10045.919
20210128,Hold,26.715,0,0,0,10045.919,45.919,10045.919
20210129,Hold,26.864,0,0,0,10045.919,45.919,10045.919
20210201,Hold,26.715,0,0,0,10045.919,45.919,10045.919
20210202,Hold,26.465,0,0,0,10045.919,45.919,10045.919
20210203,Buy,26.475,379,-10039.042012499998,379,6.877,40.902,10040.902
20210204,Hold,26.901,0,0,379,6.877,202.356,10202.356
20210205,Hold,26.892,0,0,379,6.877,198.945,10198.945
20210208,Hold,26.604,0,0,379,6.877,89.793,10089.793
20210209,Hold,26.585,0,0,379,6.877,82.592,10082.592
20210210,Hold,26.465,0,0,379,6.877,37.112,10037.112
20210211,Hold,26.549,0,0,379,6.877,68.948,10068.948
20210212,Hold,26.735,0,0,379,6.877,139.442,10139.442
20210216,Hold,26.752,0,0,379,6.877,145.885,10145.885
20210217,Hold,27.431,0,0,379,6.877,403.226,10403.226
20210218,Hold,27.189,0,0,379,6.877,311.508,10311.508
20210219,Sell,26.911,-379,10194.1693655,0,10201.046,201.046,10201.046
20210222,Buy,27.524,370,-10188.971940000001,370,12.074,195.954,10195.954
20210223,Sell,27.197,-370,10057.858555,0,10069.933,69.933,10069.933
20210224,Buy,27.069,371,-10047.6202995,371,22.312,64.911,10064.911
20210225,Sell,26.623,-371,9872.1944335,0,9894.507,-105.493,9894.507
20210226,Hold,26.14,0,0,0,9894.507,-105.493,9894.507
20210301,Hold,26.066,0,0,0,9894.507,-105.493,9894.507
20210302,Buy,26.158,378,-9892.667862,378,1.839,-110.437,9889.563
20210303,Hold,26.706,0,0,378,1.839,96.707,10096.707
20210304,Hold,26.929,0,0,378,1.839,181.001,10181.001
20210305,Hold,27.421,0,0,378,1.839,366.977,10366.977
20210308,Hold,27.755,0,0,378,1.839,493.229,10493.229
20210309,Hold,27.793,0,0,378,1.839,507.593,10507.593
20210310,Hold,27.764,0,0,378,1.839,496.631,10496.631
20210311,Sell,27.755,-378,10486.144305,0,10487.983,487.983,10487.983
20210312,Buy,27.866,376,-10482.854808,376,5.128,482.744,10482.744
20210315,Hold,27.616,0,0,376,5.128,388.744,10388.744
20210316,Hold,27.96,0,0,376,5.128,518.088,10518.088
20210317,Hold,27.913,0,0,376,5.128,500.416,10500.416
20210318,Hold,27.857,0,0,376,5.128,479.36,10479.36
20210319,Sell,27.644,-376,10388.946928000001,0,10394.075,394.075,10394.075
20210322,Buy,27.801,373,-10374.957886499998,373,19.117,388.89,10388.89
20210323,Hold,27.829,0,0,373,19.117,399.334,10399.334
20210324,Hold,27.848,0,0,373,19.117,406.421,10406.421
20210325,Hold,28.108,0,0,373,19.117,503.401,10503.401
20210326,Hold,28.22,0,0,373,19.117,545.177,10545.177
20210329,Hold,28.414,0,0,373,19.117,617.539,10617.539
20210330,Hold,28.452,0,0,373,19.117,631.713,10631.713
20210331,Hold,28.072,0,0,373,19.117,489.973,10489.973
20210401,Hold,28.452,0,0,373,19.117,631.713,10631.713
20210405,Hold,28.507,0,0,373,19.117,652.228,10652.228
20210406,Hold,28.786,0,0,373,19.117,756.295,10756.295
20210407,Hold,28.607,0,0,373,19.117,689.528,10689.528
20210408,Sell,28.371,-373,10577.091808500001,0,10596.209,596.209,10596.209
20210409,Hold,28.334,0,0,0,10596.209,596.209,10596.209
20210412,Hold,28.192,0,0,0,10596.209,596.209,10596.209
20210413,Hold,27.947,0,0,0,10596.209,596.209,10596.209
20210414,Buy,28.117,376,-10577.277995999999,376,18.931,590.923,10590.923
20210415,Hold,28.239,0,0,376,18.931,636.795,10636.795
20210416,Hold,28.324,0,0,376,18.931,668.755,10668.755
20210419,Hold,28.296,0,0,376,18.931,658.227,10658.227
20210420,Hold,28.286,0,0,376,18.931,654.467,10654.467
20210421,Hold,29.552,0,0,376,18.931,1130.483,11130.483
20210422,Hold,29.721,0,0,376,18.931,1194.027,11194.027
20210423,Hold,29.627,0,0,376,18.931,1158.683,11158.683
20210426,Hold,29.117,0,0,376,18.931,966.923,10966.923
20210427,Hold,29.24,0,0,376,18.931,1013.171,11013.171
20210428,Hold,29.391,0,0,376,18.931,1069.947,11069.947
20210429,Hold,29.608,0,0,376,18.931,1151.539,11151.539
20210430,Hold,30.005,0,0,376,18.931,1300.811,11300.811
20210503,Hold,29.835,0,0,376,18.931,1236.891,11236.891
20210504,Hold,30.222,0,0,376,18.931,1382.403,11382.403
20210505,Hold,30.25,0,0,376,18.931,1392.931,11392.931
20210506,Hold,30.401,0,0,376,18.931,1449.707,11449.707
20210507,Hold,30.524,0,0,376,18.931,1495.955,11495.955
20210510,Hold,30.675,0,0,376,18.931,1552.731,11552.731
20210511,Sell,30.354,-376,11407.397448,0,11426.329,1426.329,11426.329
20210512,Hold,30.052,0,0,0,11426.329,1426.329,11426.329
20210513,Hold,30.524,0,0,0,11426.329,1426.329,11426.329
20210514,Hold,31.638,0,0,0,11426.329,1426.329,11426.329
20210517,Hold,28.211,0,0,0,11426.329,1426.329,11426.329
20210518,Hold,27.428,0,0,0,11426.329,1426.329,11426.329
20210519,Hold,27.39,0,0,0,11426.329,1426.329,11426.329
20210520,Hold,28.334,0,0,0,11426.329,1426.329,11426.329
20210521,Buy,28.371,402,-11410.844571,402,15.484,1420.626,11420.626
20210524,Hold,28.05,0,0,402,15.484,1291.584,11291.584
20210525,Sell,27.852,-402,11190.905748000001,0,11206.39,1206.39,11206.39
20210526,Hold,27.994,0,0,0,11206.39,1206.39,11206.39
20210527,Hold,28.05,0,0,0,11206.39,1206.39,11206.39
20210528,Hold,27.814,0,0,0,11206.39,1206.39,11206.39
20210601,Hold,27.663,0,0,0,11206.39,1206.39,11206.39
20210602,Buy,27.814,402,-11186.818613999998,402,19.571,1200.799,11200.799
20210603,Sell,27.606,-402,11092.063194000002,0,11111.634,1111.634,11111.634
20210604,Hold,27.663,0,0,0,11111.634,1111.634,11111.634
20210607,Hold,27.408,0,0,0,11111.634,1111.634,11111.634
20210608,Hold,27.334,0,0,0,11111.634,1111.634,11111.634
20210609,Hold,27.39,0,0,0,11111.634,1111.634,11111.634
20210610,Buy,27.588,402,-11095.921188,402,15.713,1106.089,11106.089
20210611,Hold,27.597,0,0,402,15.713,1109.707,11109.707
20210614,Sell,27.437,-402,11024.159163000002,0,11039.872,1039.872,11039.872
20210615,Buy,27.645,399,-11035.870177499999,399,4.002,1034.357,11034.357
20210616,Sell,27.418,-399,10934.312109,0,10938.314,938.314,10938.314
20210617,Hold,27.031,0,0,0,10938.314,938.314,10938.314
20210618,Hold,27.116,0,0,0,10938.314,938.314,10938.314
20210621,Buy,27.324,400,-10935.0648,400,3.249,932.849,10932.849
20210622,Sell,27.19,-400,10870.562,0,10873.811,873.811,10873.811
20210623,Hold,27.106,0,0,0,10873.811,873.811,10873.811
20210624,Buy,27.096,401,-10870.928747999998,401,2.883,868.379,10868.379
20210625,Hold,27.294,0,0,401,2.883,947.777,10947.777
20210628,Hold,27.19,0,0,401,2.883,906.073,10906.073
20210629,Hold,27.059,0,0,401,2.883,853.542,10853.542
20210630,Hold,27.277,0,0,401,2.883,940.96,10940.96
20210701,Hold,27.485,0,0,401,2.883,1024.368,11024.368
20210702,Hold,27.645,0,0,401,2.883,1088.528,11088.528
20210706,Hold,27.408,0,0,401,2.883,993.491,10993.491
20210707,Sell,27.18,-401,10893.73041,0,10896.613,896.613,10896.613
20210708,Hold,27.16,0,0,0,10896.613,896.613,10896.613
20210709,Buy,27.228,399,-10869.403986,399,27.209,891.181,10891.181
20210712,Hold,27.382,0,0,399,27.209,952.627,10952.627
