,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20150109,Buy,33.946,294,-9985.114061999999,294,14.886,-4.99,9995.01
20150112,Hold,34.283,0,0.0,294,14.886,94.088,10094.088
20150113,Hold,33.841,0,0.0,294,14.886,-35.86,9964.14
20150114,Hold,34.11,0,0.0,294,14.886,43.226,10043.226
20150115,Hold,34.017,0,0.0,294,14.886,15.884,10015.884
20150116,Hold,34.714,0,0.0,294,14.886,220.802,10220.802
20150120,Hold,34.563,0,0.0,294,14.886,176.408,10176.408
20150121,Hold,34.729,0,0.0,294,14.886,225.212,10225.212
20150122,Sell,34.563,-294,10156.441239000002,0,10171.327,171.327,10171.327
20150123,Hold,33.914,0,0.0,0,10171.327,171.327,10171.327
20150126,Hold,33.648,0,0.0,0,10171.327,171.327,10171.327
20150127,Hold,33.796,0,0.0,0,10171.327,171.327,10171.327
20150128,Hold,33.078,0,0.0,0,10171.327,171.327,10171.327
20150129,Buy,33.078,307,-10160.023473000001,307,11.304,166.25,10166.25
20150130,Hold,33.342,0,0.0,307,11.304,247.298,10247.298
20150202,Hold,34.135,0,0.0,307,11.304,490.749,10490.749
20150203,Hold,34.403,0,0.0,307,11.304,573.025,10573.025
20150204,Hold,34.682,0,0.0,307,11.304,658.678,10658.678
20150205,Hold,34.822,0,0.0,307,11.304,701.658,10701.658
20150206,Hold,35.398,0,0.0,307,11.304,878.49,10878.49
20150209,Hold,35.547,0,0.0,307,11.304,924.233,10924.233
20150210,Hold,35.645,0,0.0,307,11.304,954.319,10954.319
20150211,Hold,36.006,0,0.0,307,11.304,1065.146,11065.146
20150212,Sell,35.66,-307,10942.14619,0,10953.45,953.45,10953.45
20150213,Hold,35.381,0,0.0,0,10953.45,953.45,10953.45
20150217,Hold,35.524,0,0.0,0,10953.45,953.45,10953.45
20150218,Hold,35.185,0,0.0,0,10953.45,953.45,10953.45
20150219,Hold,35.248,0,0.0,0,10953.45,953.45,10953.45
20150220,Buy,35.32,309,-10919.33694,309,34.113,947.993,10947.993
20150223,Sell,35.128,-309,10849.124724000001,0,10883.238,883.238,10883.238
20150224,Buy,35.627,305,-10871.6681175,305,11.57,877.805,10877.805
20150225,Hold,35.407,0,0.0,305,11.57,810.705,10810.705
20150226,Hold,35.524,0,0.0,305,11.57,846.39,10846.39
20150227,Hold,35.452,0,0.0,305,11.57,824.43,10824.43
20150302,Hold,35.691,0,0.0,305,11.57,897.325,10897.325
20150303,Sell,35.771,-305,10904.699922500002,0,10916.269,916.269,10916.269
20150304,Hold,35.516,0,0.0,0,10916.269,916.269,10916.269
20150305,Hold,34.997,0,0.0,0,10916.269,916.269,10916.269
20150306,Hold,34.832,0,0.0,0,10916.269,916.269,10916.269
20150309,Hold,34.723,0,0.0,0,10916.269,916.269,10916.269
20150310,Hold,34.33,0,0.0,0,10916.269,916.269,10916.269
20150311,Buy,34.622,315,-10911.382964999999,315,4.887,910.817,10910.817
20150312,Hold,35.012,0,0.0,315,4.887,1033.667,11033.667
20150313,Hold,35.335,0,0.0,315,4.887,1135.412,11135.412
20150316,Hold,35.372,0,0.0,315,4.887,1147.067,11147.067
