,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20160111,Hold,1141.83,0,0,0,10000,0.0,10000.0
20160112,Hold,1155.99,0,0,0,10000,0.0,10000.0
20160113,Hold,1098.21,0,0,0,10000,0.0,10000.0
20160114,Hold,1076.0,0,0,0,10000,0.0,10000.0
20160115,Hold,1099.42,0,0,0,10000,0.0,10000.0
20160119,Hold,1075.0,0,0,0,10000,0.0,10000.0
20160120,Hold,1084.36,0,0,0,10000,0.0,10000.0
20160121,Hold,1111.83,0,0,0,10000,0.0,10000.0
20160122,Buy,1117.41,8,-8943.74964,8,1056.25,-4.47,9995.53
20160125,Sell,1097.11,-8,8772.49156,0,9828.742,-171.258,9828.742
20160126,Hold,1079.58,0,0,0,9828.742,-171.258,9828.742
20160127,Hold,1058.79,0,0,0,9828.742,-171.258,9828.742
20160128,Hold,1045.4,0,0,0,9828.742,-171.258,9828.742
20160129,Buy,1063.0,9,-9571.7835,9,256.958,-176.042,9823.958
20160201,Hold,1070.0,0,0,9,256.958,-113.042,9886.958
20160202,Hold,1070.25,0,0,9,256.958,-110.792,9889.208
20160203,Sell,1044.79,-9,9398.408445000001,0,9655.367,-344.633,9655.367
20160204,Buy,1063.1,9,-9572.683949999999,9,82.683,-349.417,9650.583
20160205,Sell,996.49,-9,8963.925795000001,0,9046.609,-953.391,9046.609
20160208,Hold,958.43,0,0,0,9046.609,-953.391,9046.609
20160209,Buy,1004.92,8,-8043.379679999999,8,1003.229,-957.411,9042.589
20160210,Hold,1054.0,0,0,8,1003.229,-564.771,9435.229
20160211,Hold,1066.88,0,0,8,1003.229,-461.731,9538.269
20160212,Hold,1075.89,0,0,8,1003.229,-389.651,9610.349
20160216,Hold,1245.0,0,0,8,1003.229,963.229,10963.229
20160217,Hold,1245.0,0,0,8,1003.229,963.229,10963.229
20160218,Hold,1238.28,0,0,8,1003.229,909.469,10909.469
20160219,Hold,1286.56,0,0,8,1003.229,1295.709,11295.709
20160222,Hold,1278.3,0,0,8,1003.229,1229.629,11229.629
20160223,Sell,1248.1,-8,9979.8076,0,10983.037,983.037,10983.037
20160224,Hold,1263.25,0,0,0,10983.037,983.037,10983.037
20160225,Hold,1268.75,0,0,0,10983.037,983.037,10983.037
20160226,Hold,1250.3,0,0,0,10983.037,983.037,10983.037
20160229,Buy,1283.59,8,-10273.85436,8,709.182,977.902,10977.902
20160301,Hold,1297.36,0,0,8,709.182,1088.062,11088.062
20160302,Hold,1296.68,0,0,8,709.182,1082.622,11082.622
20160303,Hold,1306.53,0,0,8,709.182,1161.422,11161.422
20160304,Hold,1281.4,0,0,8,709.182,960.382,10960.382
20160307,Sell,1284.0,-8,10266.864000000001,0,10976.046,976.046,10976.046
20160308,Hold,1280.0,0,0,0,10976.046,976.046,10976.046
20160309,Buy,1295.81,8,-10371.66324,8,604.383,970.863,10970.863
20160310,Hold,1307.4,0,0,8,604.383,1063.583,11063.583
20160311,Hold,1320.22,0,0,8,604.383,1166.143,11166.143
20160314,Hold,1315.15,0,0,8,604.383,1125.583,11125.583
20160315,Hold,1328.2,0,0,8,604.383,1229.983,11229.983
20160316,Hold,1341.7,0,0,8,604.383,1337.983,11337.983
20160317,Hold,1353.0,0,0,8,604.383,1428.383,11428.383
20160318,Sell,1340.95,-8,10722.236200000001,0,11326.619,1326.619,11326.619
20160321,Hold,1311.0,0,0,0,11326.619,1326.619,11326.619
20160322,Hold,1322.91,0,0,0,11326.619,1326.619,11326.619
20160323,Hold,1300.0,0,0,0,11326.619,1326.619,11326.619
20160324,Hold,1301.35,0,0,0,11326.619,1326.619,11326.619
20160328,Hold,1281.2,0,0,0,11326.619,1326.619,11326.619
