,Action,Price,Position,Cash,Pos_Bal,Cash_Bal,Cum_Profit,Total_Bal
20170110,Hold,78.828,0,0,0,10000,0.0,10000.0
20170111,Buy,79.22,126,-9986.71086,126,13.289,-4.991,9995.009
20170112,Sell,78.494,-126,9885.298878000001,0,9898.588,-101.412,9898.588
20170113,Buy,79.107,125,-9893.3191875,125,5.269,-106.356,9893.644
20170117,Hold,78.953,0,0,125,5.269,-125.606,9874.394
20170118,Hold,80.21,0,0,125,5.269,31.519,10031.519
20170119,Hold,81.313,0,0,125,5.269,169.394,10169.394
20170120,Hold,80.623,0,0,125,5.269,83.144,10083.144
20170123,Hold,80.811,0,0,125,5.269,106.644,10106.644
20170124,Hold,81.233,0,0,125,5.269,159.394,10159.394
20170125,Hold,82.193,0,0,125,5.269,279.394,10279.394
20170126,Hold,82.366,0,0,125,5.269,301.019,10301.019
20170127,Hold,82.229,0,0,125,5.269,283.894,10283.894
20170130,Sell,81.665,-125,10203.020937500001,0,10208.29,208.29,10208.29
20170131,Hold,80.946,0,0,0,10208.29,208.29,10208.29
20170201,Hold,80.86,0,0,0,10208.29,208.29,10208.29
20170202,Hold,81.214,0,0,0,10208.29,208.29,10208.29
20170203,Buy,81.878,124,-10157.948435999999,124,50.341,203.213,10203.213
20170206,Hold,81.971,0,0,124,50.341,214.745,10214.745
20170207,Hold,82.126,0,0,124,50.341,233.965,10233.965
20170208,Hold,82.929,0,0,124,50.341,333.537,10333.537
20170209,Hold,83.34,0,0,124,50.341,384.501,10384.501
20170210,Hold,83.199,0,0,124,50.341,367.017,10367.017
20170213,Hold,83.648,0,0,124,50.341,422.693,10422.693
20170214,Hold,83.896,0,0,124,50.341,453.445,10453.445
20170215,Hold,85.362,0,0,124,50.341,635.229,10635.229
20170216,Hold,85.537,0,0,124,50.341,656.929,10656.929
20170217,Hold,84.827,0,0,124,50.341,568.889,10568.889
20170221,Sell,84.311,-124,10449.336718,0,10499.678,499.678,10499.678
20170222,Hold,84.423,0,0,0,10499.678,499.678,10499.678
20170223,Hold,83.666,0,0,0,10499.678,499.678,10499.678
20170224,Hold,83.608,0,0,0,10499.678,499.678,10499.678
20170227,Hold,83.934,0,0,0,10499.678,499.678,10499.678
20170228,Hold,84.115,0,0,0,10499.678,499.678,10499.678
20170301,Buy,84.789,123,-10434.2615235,123,65.417,494.464,10494.464
20170302,Sell,83.964,-123,10322.408214000001,0,10387.825,387.825,10387.825
20170303,Hold,83.234,0,0,0,10387.825,387.825,10387.825
20170306,Hold,83.309,0,0,0,10387.825,387.825,10387.825
20170307,Hold,82.627,0,0,0,10387.825,387.825,10387.825
20170308,Hold,83.099,0,0,0,10387.825,387.825,10387.825
20170309,Buy,83.617,124,-10373.692254,124,14.132,382.64,10382.64
20170310,Hold,83.417,0,0,124,14.132,357.84,10357.84
20170313,Hold,83.503,0,0,124,14.132,368.504,10368.504
20170314,Sell,83.328,-124,10327.505664,0,10341.638,341.638,10341.638
20170315,Buy,84.423,122,-10304.755803,122,36.882,336.488,10336.488
20170316,Hold,84.973,0,0,122,36.882,403.588,10403.588
20170317,Hold,84.927,0,0,122,36.882,397.976,10397.976
